,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cote d'Ivoire,,,,,0.3339737,0.3206204,0.3079735,0.2957168,0.2840348,0.273114,0.2630473,0.2537256,0.2454556,0.2375999,0.2299649,,,,,0.244685,0.2526096,,0.2401438,0.2339148,,
Croatia,,,,,,,,5.0524106,3.7951474,3.3267189,7.1300506,5.1850294,4.7848537,4.7856809,4.9754746,5.1297096,3.4860146,3.1463583,1.5786889,1.5001255,1.5512056,1.0606627,1.0531145,1.1032787,,
Cuba,4.0454924,,,,6.7995163,6.6927513,6.5992253,3.8387968,3.8041531,3.0170457,2.6521031,2.5278292,1.6715086,1.6674284,1.9273054,1.777749,1.5220838,1.5199156,1.5212364,1.5722005,1.5853349,1.5741281,1.5367843,1.4953835,,
Cyprus,3.5384835,,,,4.7916723,3.3122468,3.2751258,3.2487495,,,4.3108599,4.1821831,3.0760359,3.0598511,3.0310986,2.9864667,2.858405,2.624798,2.533012,2.6989555,2.611394,2.5577187,2.4947259,2.4549129,,
Czech Rep.,,,,,,,,,2.0997306,1.7476312,1.7815234,1.4668252,1.3104424,1.2562548,1.1526286,1.2294323,1.1575802,1.0744678,1.2237572,0.5280746,0.5411031,0.5002322,0.5184616,0.5157058,,
Denmark,1.0607757,,,,1.0755003,1.0643303,1.0294081,0.9593275,0.932119,1.007086,1.173203,1.1597686,1.1512464,1.1282621,0.9384354,0.761514,0.744168,0.7851828,0.7944964,0.7244372,0.7243287,1.0234317,1.0234652,1.012373,,
Djibouti,2.0783625,,,,2.0307275,1.9288863,1.3902084,3.6106887,3.5271287,3.4548025,5.2696757,5.0708736,4.8536806,4.6349519,4.4391584,4.2678229,4.1197417,3.8932951,3.7817582,3.2871352,3.7694517,,3.2785329,3.4515458,,
Dominican Rep.,0.8761339,,,,0.7385292,0.7174121,0.6995421,0.7150433,0.6980037,0.6805333,1.1915393,1.1639624,1.1372537,1.1114436,1.0865841,1.0610527,1.0365536,1.0145777,0.9918658,0.9576294,0.962119,1.5294277,1.4988042,1.469369,,
Ecuador,1.4115116,,,,1.3623314,1.5241499,1.4722831,1.5219822,1.4670447,1.4188994,1.3823007,1.3423589,1.3052434,1.269543,1.2299042,1.207594,1.2123381,1.1850926,1.1571684,0.877526,0.8789163,1.0432754,1.0378415,1.0179463,,
Egypt,2.9993109,,,,2.7378961,2.5776424,2.5138634,2.3933807,2.3358697,2.3115713,3.1998721,3.4406215,3.3987112,3.3104213,3.2222475,3.1331981,3.4528141,3.3817773,3.3221081,3.3073464,3.2366055,3.4157623,3.3607067,3.2908071,,
El Salvador,2.4125637,,,,2.3957577,2.863837,3.0498635,2.4314426,2.3375231,1.3835948,1.7692179,1.8743787,1.8543732,1.6167125,1.611539,1.2682968,1.2685149,1.2687968,1.1736333,0.6479522,0.6770274,1.1611105,1.3462608,1.321155,,
Equatorial Guinea,1.6482207,,,,0.671616,0.6645585,0.6563004,0.6488507,0.6408781,0.6313012,0.9921032,0.9713457,0.959564,0.9213921,0.8926527,0.8619097,0.8295122,1.1460891,0.6222684,0.4599374,0.4423337,,0.4115783,0.3976544,,
Eritrea,,,,,,,,,4.8244022,4.8972182,4.8642504,4.779385,3.8806454,3.8097704,15.3718024,14.4600632,11.7643175,11.0889487,12.2251665,11.5078278,11.0017115,,10.1518246,9.8201265,,
Estonia,,,,,,,,0.3768255,0.6569027,0.5486401,0.7839697,0.7911695,0.9126144,1.0585613,1.1523856,1.1587492,1.1122829,1.25912,1.2175769,0.8989814,1.1976212,1.0142315,1.0115911,0.9984276,,
Ethiopia,1.1717919,,,,1.196915,1.1606352,0.5387758,0.5210463,0.5065328,0.4921525,0.4785938,0.4664037,0.4537082,0.4409278,1.1649038,1.2159598,0.8390748,0.8089148,0.5013197,0.5417451,0.5250162,,0.3730115,0.3617085,,
Fiji,1.1319614,,,,1.6009112,1.9682698,1.9226253,1.870691,1.8162634,1.4136446,1.3413593,1.2097432,1.191892,1.1452574,1.1369736,1.1220167,1.110131,1.1012119,1.0890765,0.9260784,1.2199384,1.2083318,1.1919368,1.1772684,,
Finland,1.417069,,,,1.4828336,1.1818737,1.2395012,1.3012154,1.2316017,1.4011515,1.3925687,1.4604643,1.3701581,1.3889466,1.3230337,1.3111153,1.3145785,1.2904791,1.1171947,1.1599213,1.1802887,1.2011306,1.1894008,1.1774157,,
France,1.8876311,,,,2.2138792,2.196843,2.1673478,2.0709741,1.9972383,1.9919375,1.9689203,1.9025552,1.8332472,1.740343,1.5696556,1.4758503,1.4176445,1.3515218,1.3157397,1.2956704,1.2887346,1.2604657,1.2426982,1.2337802,,
Gabon,0.6877324,,,,2.5857466,2.265762,2.4531177,1.6656246,1.6173342,1.3477508,2.0717457,2.0114382,1.9530019,1.8938504,1.8292259,1.2479798,1.2108333,1.1719214,1.1359421,0.9859898,1.1148355,,1.0496732,1.0189063,,
Gambia,0.1462593,,,,0.5204084,0.4998353,0.4804942,0.2311144,0.2224533,0.2141851,0.164801,0.1587379,0.1529536,0.1474671,0.1424806,0.1378008,0.1332358,0.1287679,0.1248608,0.1211441,0.1174423,,0.1385046,0.1345905,,
Georgia,,,,,,,,,0.9810921,0.2834232,0.5717119,0.6101633,1.5893646,1.5952463,1.337896,1.418292,1.1707953,1.2426192,1.2209906,0.9415014,0.9914458,1.4325153,1.4420779,1.4507353,,
Germany,1.3127438,,,,1.3432377,1.4048214,1.1429999,1.1072148,1.002801,0.9051005,0.9156801,0.9616072,0.8647235,0.8298014,0.8187518,0.5476158,0.7619215,0.7300042,0.6978844,0.6994748,0.6848028,0.5871924,0.5778986,0.5758096,,
Ghana,0.2966242,,,,0.2770406,0.1509318,0.1458613,0.1097457,0.1055686,0.1015956,0.1789149,0.1953489,0.1039524,0.1003174,0.0968,0.0935,0.0795,0.0772,0.075,0.073,0.0711,,0.1349264,0.1314868,,
Greece,4.975178,,,,4.8274392,4.8032832,4.9577193,4.8859777,4.9459391,4.6600771,4.4710778,4.2947571,3.5626686,3.600122,3.4797665,3.3281415,3.3663987,3.6954386,3.6474879,3.2869381,3.2957568,3.1198297,3.1118209,3.0932506,,
Guatemala,1.1572621,,,,1.4239347,1.3913504,1.3572318,1.3567028,1.3251909,1.0001078,1.6229377,1.582104,1.3782518,1.0973951,1.0611714,1.3364278,1.2393157,1.2038873,1.1707885,1.0820802,1.0204794,0.7040641,0.6822441,0.6608385,,
Guinea,0.3978479,,,,0.539729,0.521119,0.5012141,0.4807968,0.4611432,0.3548081,0.5512768,0.5350596,0.521891,0.5098437,0.4987595,0.488096,0.4287394,0.4682671,0.2921391,0.2556502,0.2957946,,0.4119348,0.4026995,,
Guinea-Bissau,2.3317123,,,,2.4475346,2.852968,2.7719799,2.4612032,2.3843189,1.4748323,1.8906432,1.873635,1.8279267,1.769718,1.7490977,1.7176471,2.0439597,1.9968956,2.4500755,1.5203734,1.4870003,1.4570039,1.4258602,0.9301079,,
Guyana,2.4470418,,,,1.4624795,1.4486351,1.4298849,0.7023881,0.6901407,0.6748935,1.0264589,1.0074654,0.9920557,0.9817434,0.9699326,0.9613196,0.9513227,0.9429414,0.9353937,0.5975598,0.8922147,0.8883357,0.8834538,0.8776657,,
Haiti,0.2748519,,,,0.331352,0.2888832,0.2827307,0.2797747,0.2741605,,0.2304602,0.2235638,0.1704576,0.1590813,0.1543349,0.1498481,0.2280582,0.1416386,0.1378494,0,0,0.1297589,0,0,,
Honduras,1.1420354,,,,1.1409136,1.0475428,0.9575591,0.9198861,0.8895041,0.8631932,1.194353,1.1428153,1.1040435,0.6306416,0.6103097,0.6057958,0.6005529,0.589917,0.7304953,0.7971024,0.7788761,0.7621301,0.7360095,0.7108232,,
Hungary,2.2118585,,,,2.3820337,2.0691239,1.9234157,1.7034309,1.4753003,1.4075177,1.7483088,1.9086268,1.8425948,1.7408727,1.5686019,1.3885627,1.1520704,1.1420879,1.1233987,1.0938134,1.0308645,1.0217031,0.860201,0.8668624,,
Iceland,,,,,,,,,,,0.0623,0.0628,0.0753,0.0734,0.0591,0.0575566,0.0569,0.0569145,0.056,0,0,0.0696,0.0672,0.0661,,
India,0.4451547,,,,0.4057637,0.3964909,0.3912146,0.3827099,0.3749496,0.3667937,0.6102517,0.6192597,0.6113147,0.6083282,0.5973264,0.6154027,0.5982671,0.5964595,0.5918414,0.6306851,0.7197848,0.5992388,0.5843079,0.5739204,,
Indonesia,0.449543,,,,0.3889331,0.3777194,0.3636538,0.3630232,0.3400133,0.3437316,0.5465576,0.5578215,0.5449276,0.5563421,0.5245586,0.5074151,0.4989341,0.4909432,0.4846816,0.5549699,0.5436557,0.5335365,0.524561,0.5159403,,
Iran,4.6051833,,,,3.9916862,2.8313295,2.9220353,3.2335174,3.1396879,3.0389162,4.2314767,4.6033146,4.4298032,3.9961663,3.6556029,3.3618415,2.3716415,2.3091845,2.3100045,1.7700428,2.1749687,2.1415806,2.0318526,2.0263996,,
Iraq,27.0283633,,,,23.8722374,32.2030318,10.6943155,8.8945536,8.6081726,8.7011811,8.0967444,8.3042345,8.2182493,8.5926501,8.2878518,8.0316058,7.6064191,6.8336463,6.6369917,2.678251,3.3012872,7.0012879,4.9810257,7.7379125,,
Ireland,1.0324733,,,,0.9822992,0.9682668,0.9513838,0.9552983,0.9327364,1.1890121,0.8805651,0.8393199,0.8188136,0.7068271,0.6766127,0.6527275,0.5817722,0.565967,0.5480181,0.5121008,0.4858577,0.4673883,0.4537374,0.4500244,,
Israel,9.715078,,,,11.582518,11.2392621,10.479287,9.5270287,9.0980053,8.9101313,8.3117582,8.2016411,7.986881,7.7302227,7.4042924,7.1849388,6.6579102,6.4644286,6.513018,6.384569,6.2467731,6.4026211,6.189184,5.8731426,,
Italy,1.6901396,,,,2.1322889,2.0800059,1.9802072,2.0353044,1.9568552,1.9100363,2.5781501,2.5485584,2.5428951,2.4062764,2.246417,2.165709,2.0664726,1.98946,1.8875743,1.8046425,1.8095585,1.7753735,1.7570611,1.7293464,,
Jamaica,0.196001,,,,0.2693999,0.2673448,0.2639686,0.260359,0.2571853,0.2543669,0.296669,0.2962694,0.294921,0.2955141,0.2564035,0.2545519,0.2543973,0.2552803,0.2557836,0.1697105,0.2516167,0.2488232,0.2462579,0.2437395,,
Japan,0.4076838,,,,0.3942013,0.3914055,0.3844621,0.3672531,0.3655253,0.3501329,0.3759894,0.3675423,0.3642196,0.3740879,0.3758239,0.3678513,0.3735861,0.3755824,0.3765437,0.3772451,0.4081455,0.3782766,0.3615448,0.3618584,,
Jordan,11.7029693,,,,27.0357207,13.3603643,11.3421063,10.3868515,9.4528435,8.7498118,10.6266122,10.1123809,10.1290594,9.7588627,9.578287,10.3509422,7.4451595,7.2811682,7.0883021,6.847375,6.6792203,6.4410053,6.1692304,5.9096991,,
Kazakhstan,,,,,,,,,0.1902033,0.2302937,0.964708,0.974408,0.9176143,1.1938375,1.3368675,1.3047782,1.2930403,1.2277734,1.2928856,1.2687481,1.2687161,0.9964733,0.9756412,0.9562696,,
Kenya,0.1693554,,,,0.2113901,0.2031395,0.1949779,0.2244198,0.2150417,0.1893537,0.2418758,0.2332556,0.2253324,0.2179699,0.2110211,0.1899296,0.1986728,0.1921301,0.184285,0.1781893,0.1731369,,0.1639091,0.1595738,,
"Korea, Dem. Rep.",9.5826643,,,,10.5955141,11.9903078,11.795714,11.6354475,10.5538853,10.4304353,11.6755059,10.8662363,11.4697114,11.3924697,11.2886134,11.1810887,11.3115822,11.1767707,11.0494417,11.1125126,10.9978385,10.8623277,10.7579687,10.6385211,,
"Korea, Rep.",3.6572029,,,,3.4804525,3.392,3.8242979,3.7487904,3.6971541,3.5944167,2.9909961,3.0543911,3.0223727,3.0775746,3.0449827,3.0340517,2.993761,2.9586928,2.9561509,2.9261312,2.8966335,2.8695932,2.8403292,2.8339665,,
Kuwait,1.8245054,,,,2.4560559,0.8159435,1.7725595,,,,2.4409387,2.176223,2.000885,1.9403161,1.85787,1.7793056,1.7165308,1.7905851,1.7326887,1.6086554,1.7144369,1.6778577,1.6404345,1.6095482,,
Kyrgyzstan,,,,,,,,0.6436753,0.6445057,0.6990606,0.3717583,0.6258378,0.7259552,0.7112111,0.5986561,0.6749786,0.665277,0.7444753,0.7348542,0.7736094,0.7881372,0.8907449,0.8626063,0.8377678,,
Laos,3.2067661,,,,2.9726856,2.843745,2.6613407,1.8101042,1.7624838,2.0933023,6.2256748,6.0762878,5.5926096,5.4646234,5.3413669,5.219397,5.0988383,4.9859389,4.8734491,4.750905,4.6376824,4.5244217,4.4120845,4.3015761,,
Latvia,,,,,,,,0.3653784,0.3805076,0.4747088,0.9272903,1.0462128,0.6983184,0.7576604,0.8437281,0.7785543,0.9049139,0.7656674,0.7218867,0.4416114,0.4413154,1.4590807,1.4312274,1.3164321,,
Lebanon,2.3829375,,,,2.1173431,4.22222,4.1890186,4.0721276,3.8407267,4.9386398,5.965207,6.2140389,6.6630102,6.0644751,7.0381246,6.5205856,7.038653,6.8333117,6.6679563,6.4993825,6.3454811,5.5677838,5.4642768,5.4065355,,
Lesotho,0.3287964,,,,0.3096863,0.3059567,0.3017777,0.2979806,0.2930924,0.2884239,0.2822756,0.275409,0.2680731,0.2600383,0.2529251,0.2469942,0.241916,0.2375195,0.2336363,0.2303581,0.2265982,0.2235799,0.2207106,0.2176526,,
Liberia,0.7773032,,,,0.8103408,0.9469383,0.6109739,0.2539075,,,2.7454109,2.7175011,2.4990509,1.44912,0.5043672,1.3356995,1.2746829,1.2286953,1.1955926,0,1.1185468,0.1430009,0.1363809,0.1299529,,
Libya,7.7817572,,,,7.7946202,7.3232404,7.1206487,6.7162576,6.4099465,5.7799588,5.489693,4.2752525,4.0833542,3.8964212,3.7270683,4.1770892,4.0293044,3.8898496,3.7419248,3.6164422,3.5216062,3.4387729,3.3736019,3.3116742,,
Lithuania,,,,,,,,0.5344255,0.5409201,0.5493837,0.4973402,0.5626929,0.5804978,0.8774985,0.934161,0.9861137,1.0422388,1.6638076,1.5967644,1.712775,1.8063121,1.509831,1.4983614,1.4878309,,
Luxembourg,0.4505495,,,,0.6298933,0.6249903,0.6033309,0.586189,0.5871762,0.5825615,0.8330933,0.8154006,0.7807515,0.7695043,0.7705718,0.7423672,0.7906801,0.7677441,0.7635891,0.7440614,0.7210915,0.7045906,0.6973787,0.7313362,,
"Macedonia, FYR",,,,,,,,1.2258788,1.2276546,1.2293148,2.1983473,2.1908268,2.8023855,3.3585225,2.8493162,2.8360496,3.0674651,2.3445693,2.3703362,2.0397015,2.2025511,2.1419128,2.1074683,2.101467,,
Madagascar,0.456758,,,,0.40395,0.3917133,0.3787497,0.3669221,0.3555123,0.344325,0.4536236,0.4398648,0.4273888,0.4153599,0.4038992,0.3918707,0.2884772,0.2786499,0.2705094,0.2549014,0.2587566,,0.2428261,0.2351846,,
Malawi,0.1673947,,,,0.1866364,0.1786802,0.1982455,0.2429136,0.2397479,0.2366218,0.2207375,0.2449523,0.1322364,0.1282714,0.1246288,0.1211297,0.1334838,0.1299083,0.126928,0.1093201,0.1241291,0.1210734,0.1177803,0.1145925,,
Malaysia,1.9197377,,,,1.7175672,1.8561262,1.7700467,1.7163811,1.4981822,1.4543544,1.7199207,1.6645322,1.5119688,1.4452102,1.3475466,1.1939193,1.2058489,1.1716126,1.1826814,1.2109589,1.2292345,1.1945333,1.1677993,1.1421267,,
Maldives,,,,,,,,,,,,,,6.2120161,5.8940085,5.5855593,,,,,,,,,,
Mali,0.2099173,,,,0.3260279,0.5211678,0.5126724,0.4672392,0.4594392,0.4515887,0.5630131,0.5539053,0.5439082,0.5342816,0.5257204,0.5136238,0.5027521,0.4884582,0.3813181,0.3337778,0.354429,0.3446156,0.3352847,0.3269778,,
Malta,0.6412835,,,,1.5554215,1.5346193,1.529365,1.5166274,1.4869368,1.4786299,1.3547618,1.385859,1.3368751,1.2917918,1.2539027,1.3459324,1.3089384,1.2958123,1.2863673,1.233584,1.2118871,1.1937515,1.163052,1.1443188,,
Mauritania,1.3184902,,,,2.2333843,2.3017312,2.233923,2.0389448,1.978757,1.313531,2.3995736,2.3215173,2.2298214,2.1524779,2.0800371,2.0083259,1.9273024,1.8646663,1.7985049,1.6797173,1.70418,1.6555693,1.6006716,1.5512617,,
Mauritius,0.2482643,,,,0.2286869,0.2246254,0.2206129,0.216362,0.2120693,0.2079543,0.3692184,0.363432,0.3568317,0.3516186,0.3452186,0.3406034,0.298034,0.3720078,0.3707845,0,0.3634295,,0.357442,0.3495439,,
Mexico,0.5155533,,,,0.5312857,0.5846694,0.5669504,0.5448301,0.5241287,0.5121829,0.5389595,0.5291113,0.5046462,0.4953627,0.5001851,0.5258467,0.5118601,0.5023636,0.4971985,0.4763681,0.4711933,0.6255444,0.6265414,0.6123401,,
Moldova,,,,,,,,0.430261,0.6253666,0.5339683,0.7507065,0.761355,0.7306132,0.7454241,0.7403258,0.6946772,0.6409171,0.6012915,0.6178519,0.5711787,0.671658,0.5396466,0.6081727,0.5415062,,
Mongolia,4.179317,,,,3.7598168,3.5468638,3.3348889,2.1974031,1.8470866,1.8201843,3.1026241,3.2727045,1.4236107,1.5864752,1.4800442,1.4369823,1.3959144,1.3537008,1.2722913,1.1714927,1.2137118,1.1874416,1.163285,1.2118685,,
Morocco,2.187186,,,,2.5576752,2.4869445,2.4344936,2.348933,2.2759583,2.238321,2.6200435,2.5528025,2.4892391,2.426586,2.3496125,2.3544854,2.4412752,2.4054164,2.310413,2.2760555,2.2572435,2.1737277,2.1246647,2.0858528,,
Mozambique,0.244575,,,,1.0508919,1.0384552,1.0100082,0.7422605,0.7060342,0.1481047,0.154817,0.1370646,0.0739,0.072,0.0703,0.0684,0.1205538,0.1176689,0.0855,0.1120831,0.1095142,0.1071577,0.1047437,0.1022692,,
