Natural Gas Proved reserves total (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Peru,"28,800,000","28,800,000","24,300,000","23,400,000","22,500,000","24,300,000","49,500,000","306,000,000","306,000,000","306,000,000","305,100,000","308,700,000","293,400,000","298,800,000","306,000,000","180,900,000","180,900,000","178,200,000","222,300,000","222,300,000","222,300,000","222,300,000","222,300,000","222,300,000","292,500,000","300,600,000","298,422,049","301,234,650","301,234,650"
Poland,"93,600,000","90,000,000","87,300,000","84,600,000","81,900,000","86,400,000","148,500,000","146,700,000","153,900,000","147,600,000","143,100,000","137,700,000","142,200,000","139,500,000","139,500,000","137,700,000","134,100,000","139,500,000","126,900,000","131,400,000","107,100,000","103,500,000","104,400,000","99,000,000","98,100,000","95,400,000","101,700,000","99,000,000","99,000,000"
Qatar,"2,520,000,000","2,547,000,000","2,830,500,000","3,060,000,000","3,852,000,000","3,996,000,000","3,996,000,000","3,996,000,000","4,158,900,000","4,158,000,000","4,153,500,000","5,785,200,000","6,041,700,000","6,363,000,000","6,363,000,000","7,650,000,000","7,650,000,000","7,650,000,000","9,810,000,000","10,041,300,000","12,998,700,000","23,204,700,000","23,204,700,000","22,808,700,000","22,824,900,000","23,072,400,000","22,988,485,326","22,918,426,607","22,918,426,607"
Romania,"270,000,000","252,000,000","229,500,000","207,000,000","189,000,000","243,000,000","211,500,000","178,200,000","148,500,000","119,700,000","94,500,000","432,900,000","419,400,000","400,500,000","382,500,000","366,300,000","350,100,000","336,600,000","324,000,000","313,200,000","301,500,000","289,800,000","279,900,000","274,500,000","265,500,000","565,200,000","565,200,000","565,200,000","566,100,000"
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"39,437,104,169","39,160,181,091","38,199,095,116","38,036,199,188","38,117,647,152","38,280,543,080","39,095,022,720","38,932,126,792","38,948,416,385","38,943,529,507","38,983,764,801","38,971,547,607"
Saudi Arabia,"2,864,907,000","3,011,472,000","3,088,953,000","3,189,573,000","3,247,209,000","3,318,300,000","3,618,900,000","3,770,550,000","4,518,000,000","4,696,560,000","4,700,430,000","4,698,540,000","4,723,920,000","4,723,920,000","4,734,000,000","4,990,050,000","5,123,970,000","5,293,800,000","5,461,200,000","5,531,400,000","5,670,900,000","5,810,004,000","5,981,400,000","6,078,600,000","6,081,300,000","6,139,800,000","6,365,700,000","6,574,000,252","6,812,464,941"
Syria,"81,000,000","81,000,000","92,700,000","93,600,000","93,600,000","111,600,000","127,800,000","112,500,000","101,700,000","141,300,000","163,800,000","180,000,000","180,000,000","204,300,000","211,500,000","211,500,000","211,500,000","214,200,000","214,200,000","216,900,000","216,900,000","216,900,000","225,000,000","261,000,000","261,000,000","261,000,000","261,000,000","255,600,000","255,600,000"
Thailand,"262,800,000","361,800,000","315,000,000","151,200,000","189,000,000","196,200,000","183,600,000","165,600,000","175,500,000","206,100,000","201,600,000","221,400,000","207,900,000","162,900,000","157,500,000","158,400,000","176,400,000","184,500,000","378,000,000","310,500,000","324,000,000","340,200,000","396,900,000","376,200,000","318,600,000","273,600,000","297,900,000","285,300,000","273,600,000"
Trinidad and Tobago,"267,300,000","306,000,000","300,600,000","285,300,000","279,900,000","285,300,000","278,100,000","272,700,000","264,600,000","257,400,000","226,800,000","214,200,000","209,700,000","207,000,000","257,400,000","314,100,000","410,400,000","465,300,000","504,000,000","544,500,000","501,300,000","518,400,000","530,100,000","478,800,000","478,800,000","477,000,000","432,000,000","433,171,350","433,171,350"
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,361,990,956","2,256,108,603","2,182,805,435","2,182,805,435","2,182,805,435","2,182,805,435","2,182,805,435","2,182,805,435","2,182,805,435","2,182,805,435","2,182,805,435","7,149,990,968"
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"855,203,622","916,289,595","908,144,799","904,072,400","904,072,400","904,072,400","900,000,002","904,072,400","895,927,604","895,927,604","838,914,029","830,769,233"
United Arab Emirates,"2,133,000,000","2,276,100,000","2,675,700,000","2,744,100,000","2,797,200,000","2,833,200,000","4,872,780,000","5,115,600,000","5,096,700,000","5,085,000,000","5,060,700,000","5,213,700,000","5,215,500,000","5,215,500,000","6,099,300,000","5,273,100,000","5,205,600,000","5,456,700,000","5,396,400,000","5,395,500,000","5,394,600,000","5,452,200,000","5,448,600,000","5,442,300,000","5,474,700,000","5,503,500,000","5,796,900,000","5,793,300,000","5,788,800,000"
United Kingdom,"665,100,000","597,600,000","569,700,000","640,800,000","652,500,000","583,200,000","570,600,000","579,600,000","531,000,000","504,000,000","490,500,000","486,000,000","549,000,000","567,000,000","594,000,000","630,000,000","684,000,000","688,500,000","679,500,000","1,138,500,000","1,077,300,000","990,000,000","898,200,000","814,500,000","743,400,000","432,900,000","370,800,000","308,700,000","308,700,000"
United States,"5,072,083,023","5,141,122,335","5,135,566,569","5,103,327,836","5,032,377,136","4,928,040,871","4,882,600,822","4,771,103,225","4,282,119,364","4,258,978,834","4,315,810,752","4,257,602,635","4,205,434,502","4,139,173,073","4,175,412,978","4,208,773,059","4,242,617,358","4,261,705,747","4,180,611,952","4,266,369,532","4,521,756,370","4,675,508,371","4,764,349,656","4,817,817,532","4,906,225,570","5,208,785,449","5,379,536,054","6,058,486,335","6,058,486,335"
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,425,339,370","1,425,339,370","1,425,339,370","1,506,787,334","1,506,787,334","1,506,787,334","1,514,932,130","1,514,932,130","1,506,787,334","1,523,076,927","1,429,411,768","1,421,266,972"
Venezuela,"1,136,169,000","1,228,590,000","1,324,098,000","1,406,097,000","1,499,670,000","1,561,320,000","2,359,800,000","2,554,200,000","2,570,400,000","2,693,430,000","3,086,100,000","3,223,620,000","3,323,700,000","3,323,700,000","3,568,545,000","3,658,230,000","3,646,350,000","3,708,720,000","3,732,717,600","3,737,176,200","3,737,176,200","3,762,000,000","3,762,900,000","3,797,100,000","3,858,300,000","3,883,500,000","4,237,200,000","4,354,200,000","4,354,200,000"
Vietnam,-,-,-,-,-,-,-,-,-,-,"13,500,000","13,500,000","95,400,000","95,400,000","120,600,000","132,300,000","153,900,000","153,000,000","153,000,000","153,000,000","153,000,000","173,700,000","207,000,000","198,000,000","198,000,000","198,000,000","198,000,000","429,703,174","501,320,370"
"Yemen, Rep.",-,-,-,-,-,-,"15,300,000","101,700,000","140,400,000","178,200,000","220,500,000","356,400,000","386,100,000","386,100,000","386,100,000","382,500,000","431,100,000","431,100,000","431,100,000","431,100,000","431,100,000","431,100,000","431,100,000","431,100,000","431,100,000","431,100,000","436,500,000","439,200,000","441,000,000"
