Total 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Indonesia,12.12961763,11.36935497,10.4460611,11.21476452,12.03633222,12.17029118,12.25790167,12.05935435,11.6390245,11.13669831,10.17400793,9.384978925,8.801076911,8.574400472,8.022280178,7.36420712,6.718210147,6.458009289,6.335780121,6.207165951,6.017472432
Iran,10.25246852,10.60352054,11.9148544,12.44474805,12.30341955,12.43702015,12.43388934,11.56642432,13.06623894,14.41064883,12.29074495,10.363734,7.068742757,7.369136471,7.881632214,7.714643132,7.126099381,6.163931589,5.712141868,5.740567509,5.855117298
Iraq,10.66620038,10.47475509,9.899933289,14.11042945,11.59647405,11.99234354,13.38515296,13.32877649,13.45834716,12.78969957,12.29208925,12.18968021,12.74033114,11.8737112,11.20861092,10.41596742,9.904310133,9.523719702,9.102886152,8.583499744,8.068196025
Ireland,8.82452004,9.5172886,10.23288638,9.874826147,10.01692047,10.00314564,9.997059688,9.88700565,9.815078236,9.229490022,7.674113009,6.545628285,6.210503378,6.631191158,6.995724835,6.759776536,6.082899695,5.544005544,5.312552371,5.41903987,5.607625099
Israel,8.657664813,8.347627216,10.83254494,11.53996101,10.35554021,9.591897528,9.614873838,10.2851572,10.06205674,9.491903964,8.907148726,8.46038864,8.717737507,8.729550102,8.488862131,7.89143574,7.365223994,7.037728027,6.867337785,6.713610495,6.469483568
Italy,8.993659147,7.861223642,8.555847304,7.580996038,7.644589377,8.249945617,8.173196462,7.694741839,6.33169003,5.261685837,4.897223098,4.830678989,4.612466305,4.804963369,4.901668653,4.558480506,4.228379513,4.148534467,4.217145396,4.388768898,4.568474547
Jamaica,10.67615658,10.49902787,10.68139963,10.73863636,13.32263242,14.90312966,13.40834505,12.45102307,10.95600677,10.98500203,10.63498247,10.982009,10.32210835,9.045226131,8.6450247,8.376963351,8.182451253,7.808123249,7.277245296,6.811594203,6.450410142
Japan,10.45749266,10.59865917,11.93084872,9.431826294,7.6238894,7.391214757,7.62789503,8.374135706,6.967286306,6.001179828,5.188511716,4.727418241,4.641878484,4.497937054,4.216263423,3.934067936,3.730072217,3.693738844,3.754838122,3.84426245,3.889511893
Jordan,12.28813559,12.66968326,12.82051282,11.92411924,11.82994455,12.44834711,14.1509434,13.89504804,13.55671688,12.6394052,12.26045745,11.91588785,10.89476124,10.21992238,10.15822364,9.53146248,8.601276843,7.902835788,7.356490713,6.888552698,6.503271165
Kazakhstan,14.76950619,7.944451395,8.934467234,10.76587168,12.27401022,12.14007782,10.11394102,10.01901141,9.662391094,9.770800628,10.73960144,9.142368196,6.900711021,7.219152855,8.716967595,8.41066604,7.665545634,6.786655967,6.283998187,6.286163699,6.465710444
Kenya,10.7636603,9.756446991,11.32773939,12.64863727,12.89892435,12.98961424,13.04802312,13.35199796,13.5865159,13.80037829,13.61872654,12.32689301,11.92766072,12.21786699,12.72629435,12.28374904,11.42934,10.68138627,10.23631541,9.937128886,9.563282988
"Korea, Dem. Rep.",15.691107,15.24244627,12.48629887,7.816558442,11.57436653,10.72739718,13.12217195,11.52058965,7.510175717,8.591951377,8.162729659,8.755525332,7.861609004,6.692622951,6.180703947,6.184582322,6.38684689,6.324360647,5.975192812,5.634764448,5.528865728
"Korea, Rep.",12.71146739,12.38248217,11.25693087,12.14864389,13.97353521,13.03821895,11.85562882,11.07544934,9.227118329,8.346583656,6.685044797,7.278461053,6.519318791,4.951884931,4.571913655,4.458006628,4.321816628,4.270874207,4.195035311,4.079449962,3.956712117
Kuwait,9.803921569,8.585858586,7.913669065,8.315565032,10.06711409,10.91269841,11.11111111,10.1744186,10.13545072,8.347826087,7.989228007,7.26194887,7.142857143,6.988451288,7.127371274,6.666666667,6.13152352,5.743838028,5.577523413,5.577610163,5.610687023
Kyrgyzstan,11.73087982,6.996317728,7.642725599,10.57542768,12.8836425,13.03030303,11.2703224,11.06404186,10.76467911,11.48148148,12.06861756,11.22175412,9.65939809,8.476595745,9.209030372,8.984007526,8.191960874,7.242256472,6.548933039,6.483100233,6.481616044
Laos,11.28451381,11.06405506,11.53483992,12.4842899,11.99851412,11.81102362,12.41890639,12.74617068,12.14931051,12.26866292,12.82858201,13.13148495,12.78744562,10.54204012,10.24970584,9.997582205,9.804586016,9.376664891,8.678481013,8.014713,7.593523171
Latvia,9.286813751,8.138957816,6.839622642,7.193292145,7.376006783,7.163207163,6.523468576,6.974041069,6.538895152,7.180104292,8.055672712,5.897771953,4.281891169,4.553734062,5.204460967,5.619047619,5.615234375,5.273731793,4.685890834,4.480759093,4.859611231
