"40-59 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bosnia and Herzegovina,447000,485000,462000,485000,597000,720000,858000,905000,975000,794000,940000,1072000,1123000,1110000,1084000,1070000,1080000,1032000,979000,872000,754000
Botswana,56000,58000,61000,70000,78000,94000,113000,130000,152000,195000,238000,266000,292000,309000,349000,418000,498000,566000,609000,625000,648000
Brazil,7852000,9133000,10234000,11737000,13607000,15411000,17804000,20089000,23174000,27611000,32724000,38992000,44199000,48558000,53167000,57615000,60999000,62832000,63825000,63409000,61623000
Brunei,9000,10000,12000,15000,20000,26000,24000,30000,34000,45000,60000,73000,88000,100000,114000,128000,139000,153000,162000,167000,171000
Bulgaria,1574000,1748000,1780000,1985000,2135000,2271000,2376000,2335000,2276000,2193000,2192000,2180000,2091000,2062000,2070000,2051000,2004000,1824000,1557000,1350000,1201000
Burkina Faso,607000,673000,735000,783000,818000,842000,867000,917000,986000,1081000,1246000,1519000,1870000,2304000,2799000,3353000,3957000,4645000,5429000,6371000,7767000
Burundi,359000,393000,423000,447000,467000,454000,476000,538000,618000,721000,800000,951000,1132000,1274000,1512000,1900000,2364000,2762000,3041000,3203000,3374000
Cambodia,610000,680000,761000,857000,964000,996000,856000,1009000,1230000,1502000,1828000,2150000,2476000,2766000,2987000,3736000,4536000,5439000,6152000,6164000,6164000
Cameroon,703000,766000,839000,922000,1017000,1128000,1259000,1397000,1569000,1778000,2008000,2258000,2532000,2882000,3389000,4065000,4846000,5662000,6380000,7152000,8024000
Canada,2802000,3200000,3657000,4068000,4522000,4763000,5012000,5367000,6194000,7242000,8529000,9720000,10121000,10278000,10242000,10198000,10521000,10927000,11005000,10885000,10751000
Cape Verde,24000,27000,33000,34000,35000,35000,38000,38000,36000,38000,45000,64000,82000,95000,111000,129000,149000,171000,187000,193000,188000
Central African Rep.,232000,243000,252000,269000,293000,315000,345000,381000,406000,450000,503000,550000,608000,679000,765000,881000,1025000,1179000,1352000,1519000,1670000
Chad,407000,444000,482000,526000,565000,608000,640000,689000,766000,884000,1026000,1202000,1363000,1544000,1796000,2141000,2567000,3074000,3658000,4340000,5096000
Channel Islands,26000,27000,30000,29000,30000,29000,30000,31000,34000,37000,40000,45000,47000,48000,47000,43000,40000,37000,38000,38000,35000
Chile,1099000,1178000,1265000,1365000,1490000,1636000,1793000,2039000,2325000,2727000,3300000,3911000,4389000,4727000,4783000,4839000,5061000,5310000,5464000,5387000,5191000
China,105296000,106147000,112542000,120600000,133081000,149405000,164970000,177761000,199364000,237879000,271240000,321521000,378837000,409847000,418646000,415403000,414539000,402909000,402613000,388357000,355174000
Colombia,1705000,1953000,2193000,2468000,2720000,2980000,3307000,3743000,4515000,5614000,6950000,8508000,9990000,11039000,12096000,12966000,13735000,14699000,15338000,15777000,16099000
Comoros,23000,28000,30000,32000,34000,36000,41000,44000,48000,57000,69000,84000,102000,121000,145000,178000,203000,222000,241000,258000,288000
"Congo, Dem. Rep.",1610000,1799000,2040000,2318000,2678000,3070000,3523000,4003000,4595000,5362000,5862000,6630000,7617000,8890000,10487000,12545000,15155000,18313000,21952000,26011000,30026000
"Congo, Rep.",125000,137000,153000,171000,193000,216000,242000,274000,310000,351000,379000,422000,472000,565000,700000,851000,1019000,1184000,1322000,1459000,1587000
Costa Rica,166000,182000,204000,219000,244000,270000,304000,359000,431000,547000,709000,897000,1056000,1164000,1268000,1378000,1513000,1636000,1696000,1694000,1635000
Cote d'Ivoire,340000,400000,479000,587000,730000,925000,1175000,1465000,1762000,2099000,2419000,2644000,2911000,3308000,3910000,4666000,5571000,6585000,7597000,8698000,9793000
Croatia,914000,951000,885000,900000,966000,1062000,1180000,1171000,1178000,1229000,1212000,1270000,1264000,1227000,1203000,1190000,1171000,1138000,1076000,983000,924000
Cuba,1025000,1200000,1336000,1395000,1451000,1536000,1689000,1919000,2172000,2412000,2663000,2927000,3333000,3599000,3564000,3272000,3020000,2813000,2789000,2725000,2465000
Cyprus,91000,102000,107000,108000,114000,112000,121000,128000,147000,168000,196000,220000,236000,247000,257000,275000,293000,314000,315000,305000,295000
Czech Rep.,2440000,2593000,2408000,2430000,2359000,2273000,2367000,2361000,2548000,2767000,2911000,2903000,2823000,2902000,3119000,3191000,3232000,3044000,2676000,2474000,2361000
Denmark,1049000,1119000,1155000,1185000,1167000,1133000,1130000,1190000,1313000,1404000,1483000,1521000,1523000,1538000,1502000,1392000,1311000,1298000,1324000,1379000,1396000
Djibouti,8000,8000,11000,14000,19000,28000,42000,52000,73000,82000,100000,116000,134000,157000,181000,211000,249000,287000,320000,345000,364000
Dominican Rep.,289000,334000,394000,472000,569000,679000,788000,903000,1024000,1184000,1408000,1682000,1970000,2221000,2426000,2620000,2816000,3021000,3181000,3306000,3393000
Ecuador,539000,580000,631000,699000,787000,891000,1030000,1189000,1388000,1685000,1994000,2326000,2670000,2966000,3257000,3541000,3823000,4106000,4392000,4585000,4658000
Egypt,3398000,3770000,4197000,4690000,5226000,5864000,6508000,7036000,8218000,9541000,11207000,13258000,15020000,16979000,19603000,22925000,26908000,29374000,30977000,31953000,32484000
El Salvador,301000,332000,370000,424000,470000,539000,608000,676000,760000,861000,931000,997000,1084000,1187000,1285000,1384000,1531000,1745000,1963000,2060000,2087000
Equatorial Guinea,42000,43000,45000,47000,50000,41000,33000,39000,41000,52000,74000,103000,126000,133000,129000,132000,151000,180000,219000,253000,283000
Eritrea,142000,156000,177000,203000,236000,273000,335000,370000,409000,389000,409000,458000,536000,736000,1032000,1319000,1584000,1764000,1886000,2116000,2422000
Estonia,255000,278000,287000,291000,319000,341000,383000,387000,384000,367000,355000,363000,358000,352000,348000,355000,373000,358000,328000,295000,270000
Ethiopia,2431000,2720000,3074000,3445000,3883000,4392000,4705000,5431000,6330000,7274000,8212000,9338000,10679000,12414000,14513000,17089000,20476000,24724000,29342000,33978000,38646000
Fiji,31000,36000,46000,57000,67000,77000,87000,101000,111000,129000,148000,165000,173000,175000,182000,194000,207000,228000,241000,244000,246000
Finland,904000,988000,1013000,1043000,1059000,1058000,1095000,1131000,1282000,1416000,1509000,1567000,1494000,1408000,1370000,1344000,1329000,1367000,1346000,1311000,1293000
France,11032000,11328000,10544000,10999000,11283000,11651000,12493000,12110000,13059000,14086000,15328000,16793000,16896000,16940000,16513000,16165000,15871000,15424000,15460000,15553000,15676000
French Guiana,5000,6000,7000,7000,8000,9000,11000,14000,19000,25000,32000,39000,49000,58000,62000,67000,74000,83000,96000,107000,117000
French Polynesia,9000,10000,11000,12000,15000,18000,21000,26000,30000,36000,45000,56000,65000,72000,77000,80000,85000,89000,93000,94000,90000
Gabon,104000,104000,105000,105000,108000,110000,109000,111000,121000,142000,168000,200000,233000,266000,303000,350000,406000,473000,532000,577000,612000
Gambia,40000,44000,50000,59000,69000,84000,101000,120000,144000,164000,190000,220000,254000,296000,342000,390000,446000,521000,614000,720000,829000
Georgia,698000,790000,802000,829000,973000,1075000,1287000,1271000,1210000,1132000,1082000,1175000,1171000,1131000,1060000,996000,1035000,1053000,983000,898000,799000
Germany,19521000,20227000,18809000,18172000,17653000,17502000,20167000,20616000,20894000,21805000,21938000,23677000,25646000,25170000,23793000,21804000,20194000,19587000,19042000,18020000,16661000
Ghana,637000,752000,886000,1020000,1125000,1276000,1399000,1652000,1930000,2216000,2575000,3016000,3510000,4146000,4866000,5662000,6522000,7418000,8269000,9092000,9931000
Greece,1539000,1721000,1815000,1893000,2118000,2222000,2466000,2536000,2522000,2609000,2738000,2979000,3168000,3334000,3453000,3475000,3294000,3068000,2812000,2634000,2590000
Grenada,11000,12000,12000,12000,13000,13000,12000,12000,13000,14000,14000,18000,18000,21000,22000,23000,29000,31000,29000,27000,22000
Guadeloupe,33000,37000,44000,48000,52000,52000,54000,62000,72000,84000,99000,117000,128000,132000,126000,123000,121000,121000,125000,122000,119000
Guam,7000,7000,9000,10000,13000,14000,16000,18000,22000,28000,32000,39000,44000,47000,49000,49000,49000,53000,59000,61000,63000
Guatemala,400000,450000,505000,586000,702000,824000,927000,1014000,1130000,1256000,1390000,1581000,1799000,2110000,2550000,3105000,3723000,4440000,5182000,5930000,6662000
Guinea,402000,442000,487000,535000,578000,575000,626000,706000,807000,988000,1115000,1220000,1373000,1595000,1869000,2214000,2641000,3141000,3692000,4305000,4983000
Guinea-Bissau,80000,89000,96000,98000,99000,104000,119000,132000,144000,177000,194000,211000,217000,256000,294000,332000,385000,425000,490000,573000,666000
Guyana,60000,68000,77000,86000,91000,93000,97000,94000,96000,107000,124000,159000,175000,182000,175000,167000,152000,147000,156000,154000,148000
Haiti,502000,574000,628000,664000,701000,746000,816000,896000,962000,1072000,1196000,1349000,1534000,1696000,1948000,2330000,2729000,3129000,3455000,3621000,3763000
Honduras,214000,237000,255000,293000,330000,373000,424000,469000,536000,637000,763000,921000,1100000,1293000,1543000,1851000,2196000,2571000,2890000,3122000,3294000
"Hong Kong, China",299000,431000,573000,700000,791000,910000,995000,1030000,1152000,1415000,1830000,2275000,2458000,2538000,2469000,2373000,2367000,2421000,2403000,2240000,2126000
Hungary,2360000,2554000,2404000,2520000,2567000,2556000,2698000,2618000,2603000,2770000,2853000,2762000,2719000,2686000,2817000,2912000,2904000,2782000,2505000,2342000,2226000
Iceland,29000,31000,34000,37000,38000,41000,43000,44000,50000,58000,68000,78000,87000,94000,99000,102000,105000,105000,102000,97000,95000
India,60553000,65945000,71168000,78106000,86056000,96086000,107632000,118828000,132008000,154234000,179190000,207547000,237113000,263278000,293708000,327216000,362343000,397306000,424142000,443907000,454601000
Indonesia,11483000,12626000,13814000,15170000,17093000,19542000,22582000,25453000,27820000,31249000,36279000,42786000,50802000,58587000,65296000,70980000,74479000,76227000,76779000,76993000,76945000
Iran,2765000,2975000,3243000,3526000,3874000,5060000,5463000,5986000,6692000,7897000,10089000,12019000,14502000,16783000,19874000,24701000,28921000,30703000,29169000,26065000,23744000
Iraq,1093000,1201000,1293000,1345000,1402000,1499000,1629000,1811000,1925000,2458000,2917000,3487000,4353000,5323000,6636000,8010000,9338000,10826000,12549000,14183000,15623000
Ireland,634000,663000,641000,640000,629000,620000,621000,637000,705000,793000,910000,1032000,1144000,1286000,1447000,1562000,1608000,1571000,1500000,1480000,1533000
Israel,253000,385000,444000,533000,558000,595000,634000,663000,785000,1053000,1263000,1443000,1536000,1668000,1817000,1972000,2111000,2196000,2312000,2462000,2617000
Italy,10434000,11656000,11578000,12411000,12803000,13077000,14290000,14156000,14381000,14543000,14835000,16155000,17319000,18511000,18757000,17790000,16238000,14699000,13659000,13332000,13361000
Jamaica,242000,276000,275000,274000,278000,288000,283000,297000,317000,356000,413000,505000,577000,621000,617000,599000,597000,635000,684000,694000,680000
Japan,14543000,16306000,17591000,19406000,22455000,25896000,29101000,32154000,35456000,36551000,35962000,34938000,33029000,33922000,34641000,34182000,32191000,28603000,26240000,24527000,23267000
Jordan,65000,82000,105000,127000,187000,228000,263000,312000,356000,492000,591000,713000,967000,1234000,1531000,1844000,2076000,2264000,2433000,2543000,2702000
Kazakhstan,1230000,1473000,1640000,1797000,2184000,2337000,2913000,2874000,2924000,3126000,3042000,3542000,3770000,3887000,3987000,4187000,4641000,4829000,4686000,4524000,4490000
Kenya,973000,1044000,1118000,1217000,1359000,1554000,1741000,1923000,2259000,2817000,3468000,4129000,4730000,5549000,6776000,8360000,10168000,11734000,13207000,14907000,17091000
"Korea, Dem. Rep.",656000,856000,1196000,1687000,2202000,2764000,3526000,4193000,4670000,4635000,4954000,5259000,6156000,7267000,7143000,7286000,6959000,6927000,7295000,7091000,6785000
"Korea, Rep.",3013000,3297000,3771000,4125000,4627000,5335000,6365000,7240000,8321000,9514000,11305000,13210000,14929000,16104000,15813000,15352000,14273000,13551000,13035000,11778000,10923000
Kuwait,20000,24000,31000,51000,79000,119000,183000,246000,309000,276000,441000,537000,704000,927000,1129000,1267000,1309000,1294000,1262000,1266000,1318000
Kyrgyzstan,353000,369000,358000,378000,470000,534000,643000,625000,609000,638000,761000,968000,1100000,1218000,1309000,1433000,1637000,1783000,1853000,1832000,1817000
Laos,253000,289000,326000,362000,399000,434000,457000,479000,511000,583000,678000,805000,953000,1111000,1281000,1492000,1772000,2086000,2409000,2578000,2689000
Latvia,452000,485000,506000,511000,557000,589000,666000,685000,669000,627000,610000,610000,617000,611000,597000,596000,631000,606000,548000,481000,414000
Lebanon,255000,278000,291000,324000,361000,410000,434000,430000,424000,564000,693000,821000,952000,1075000,1175000,1270000,1338000,1391000,1426000,1381000,1322000
Lesotho,111000,121000,128000,136000,142000,155000,169000,190000,202000,212000,238000,250000,237000,227000,243000,287000,346000,403000,448000,474000,492000
Liberia,121000,135000,153000,173000,195000,221000,250000,282000,269000,236000,357000,442000,564000,646000,749000,876000,1033000,1233000,1443000,1665000,1899000
Libya,144000,149000,180000,222000,256000,302000,381000,465000,547000,652000,797000,965000,1185000,1475000,1797000,2168000,2351000,2392000,2393000,2373000,2510000
Lithuania,587000,595000,579000,600000,655000,741000,846000,874000,870000,844000,855000,907000,920000,913000,857000,820000,831000,827000,795000,717000,628000
Luxembourg,81000,88000,85000,84000,84000,88000,92000,94000,97000,104000,115000,131000,147000,157000,161000,162000,164000,171000,179000,186000,192000
"Macao, China",36000,36000,33000,36000,43000,44000,42000,44000,60000,87000,123000,161000,191000,206000,199000,194000,195000,187000,178000,159000,138000
"Macedonia, FYR",192000,223000,220000,241000,279000,320000,372000,390000,419000,453000,491000,530000,558000,566000,579000,593000,599000,599000,571000,526000,478000
Madagascar,725000,770000,803000,849000,898000,997000,1101000,1197000,1312000,1542000,1850000,2243000,2716000,3240000,3846000,4418000,5203000,6154000,7242000,8458000,9562000
Malawi,347000,378000,435000,489000,560000,644000,749000,872000,1097000,1204000,1384000,1582000,1738000,1927000,2298000,2728000,3265000,4059000,4942000,5904000,6926000
Malaysia,883000,1016000,1155000,1302000,1434000,1618000,1905000,2179000,2667000,3343000,4204000,5183000,5992000,6691000,7278000,7980000,8741000,9490000,10081000,10433000,10643000
Maldives,16000,16000,17000,18000,19000,20000,21000,23000,25000,27000,32000,39000,52000,64000,78000,98000,117000,132000,136000,129000,119000
Mali,647000,711000,780000,847000,907000,959000,1008000,1063000,1108000,1144000,1225000,1367000,1578000,1859000,2166000,2576000,3058000,3590000,4165000,4795000,5541000
Malta,61000,60000,59000,58000,60000,65000,68000,75000,87000,100000,109000,115000,109000,111000,114000,119000,127000,127000,122000,114000,104000
Martinique,37000,41000,45000,49000,54000,54000,59000,63000,70000,79000,91000,109000,118000,120000,112000,103000,99000,98000,102000,102000,98000
Mauritania,87000,103000,119000,138000,157000,179000,202000,224000,248000,280000,332000,402000,486000,584000,693000,807000,924000,1041000,1162000,1296000,1436000
Mauritius,63000,71000,82000,95000,110000,131000,145000,163000,191000,223000,260000,301000,342000,371000,387000,389000,375000,376000,377000,375000,369000
Mayotte,4000,4000,4000,4000,4000,5000,5000,8000,10000,14000,18000,21000,27000,34000,42000,52000,63000,75000,89000,98000,103000
Mexico,3974000,4491000,4930000,5648000,6551000,7518000,8579000,9767000,11149000,13367000,16078000,19039000,22766000,26979000,30415000,32682000,33860000,34200000,34496000,34784000,34563000
"Micronesia, Fed. Sts.",5000,5000,6000,7000,8000,8000,8000,9000,10000,13000,15000,17000,18000,16000,17000,20000,23000,28000,34000,34000,35000
Moldova,457000,554000,590000,662000,752000,815000,926000,903000,896000,965000,1013000,1041000,1009000,925000,860000,862000,961000,998000,932000,802000,673000
Mongolia,111000,120000,133000,149000,169000,193000,225000,260000,256000,268000,339000,438000,542000,652000,744000,831000,947000,1000000,995000,947000,881000
Montenegro,68000,71000,71000,78000,87000,101000,125000,124000,130000,147000,166000,163000,167000,165000,166000,169000,176000,175000,173000,167000,156000
Morocco,1176000,1328000,1508000,1705000,1924000,2248000,2643000,2934000,3220000,3788000,4678000,5664000,6545000,7382000,8080000,9157000,10168000,10856000,11157000,10950000,10827000
Mozambique,948000,1023000,1113000,1219000,1338000,1476000,1646000,1778000,1744000,2010000,2296000,2604000,2905000,3209000,3532000,3942000,4528000,5277000,6223000,7425000,8622000
Myanmar,2995000,3253000,3605000,3943000,4363000,4754000,4988000,5224000,5618000,6702000,8086000,9464000,10944000,12361000,13726000,15165000,16173000,16588000,16613000,16442000,16428000
Namibia,76000,82000,91000,102000,115000,126000,130000,139000,166000,194000,233000,275000,320000,364000,415000,477000,560000,653000,727000,784000,836000
Nepal,1219000,1336000,1453000,1579000,1733000,1942000,2192000,2469000,2694000,3004000,3410000,3930000,4631000,5431000,6387000,7482000,8706000,10060000,11388000,12390000,12932000
Netherlands,2212000,2389000,2517000,2680000,2785000,2890000,3030000,3181000,3618000,3994000,4395000,4771000,4895000,4907000,4690000,4377000,4124000,4051000,4124000,4220000,4195000
Netherlands Antilles,19000,21000,23000,25000,26000,28000,30000,34000,39000,43000,49000,55000,65000,69000,71000,72000,69000,63000,55000,47000,44000
New Caledonia,12000,14000,14000,16000,18000,20000,23000,27000,32000,36000,44000,53000,61000,70000,76000,79000,84000,87000,92000,95000,95000
New Zealand,414000,466000,509000,556000,586000,603000,615000,648000,714000,835000,968000,1105000,1178000,1210000,1195000,1175000,1197000,1252000,1297000,1315000,1318000
Nicaragua,165000,187000,212000,248000,290000,332000,375000,411000,435000,524000,639000,760000,909000,1050000,1217000,1435000,1654000,1880000,2027000,2077000,2113000
Niger,268000,327000,388000,448000,510000,607000,750000,861000,976000,1126000,1351000,1621000,1860000,2193000,2590000,3028000,3651000,4416000,5380000,6618000,8363000
Nigeria,5444000,5835000,6368000,7075000,7872000,8791000,9982000,11180000,12473000,14120000,15955000,17917000,20146000,22951000,26879000,31762000,37277000,43133000,49228000,55899000,63285000
Norway,812000,876000,926000,964000,952000,904000,856000,854000,948000,1058000,1173000,1263000,1326000,1389000,1397000,1387000,1372000,1389000,1436000,1467000,1482000
Oman,65000,71000,74000,79000,85000,98000,127000,182000,243000,305000,321000,421000,502000,596000,724000,876000,1009000,1121000,1204000,1223000,1241000
Pakistan,8255000,8392000,8521000,8770000,9231000,10152000,11485000,13524000,15567000,17608000,20536000,23861000,28066000,33097000,38873000,45905000,54735000,62938000,70204000,76434000,81377000
Panama,135000,151000,164000,183000,205000,229000,262000,304000,359000,430000,520000,623000,740000,855000,942000,1012000,1069000,1115000,1180000,1243000,1288000
Papua New Guinea,264000,281000,296000,300000,348000,383000,403000,444000,513000,608000,722000,896000,1084000,1285000,1464000,1636000,1838000,2082000,2417000,2755000,3078000
Paraguay,173000,205000,241000,280000,324000,362000,415000,477000,561000,688000,822000,970000,1099000,1207000,1364000,1591000,1844000,2101000,2304000,2427000,2514000
Peru,1166000,1286000,1406000,1567000,1772000,2049000,2381000,2733000,3134000,3615000,4203000,4901000,5620000,6394000,7236000,7993000,8766000,9456000,9941000,10324000,10507000
Philippines,2815000,3239000,3633000,4098000,4468000,5098000,5918000,6979000,8295000,9987000,11962000,14179000,16604000,18971000,21633000,24462000,27564000,30666000,33209000,35198000,36817000
Poland,5474000,6097000,6091000,6566000,6978000,7484000,8163000,7949000,8370000,9338000,10367000,11018000,10680000,10234000,10207000,10913000,11424000,11183000,10146000,8736000,7785000
Portugal,1700000,1810000,1892000,1963000,1960000,2044000,2251000,2247000,2338000,2425000,2581000,2819000,2983000,3151000,3266000,3234000,3086000,2844000,2603000,2461000,2399000
Puerto Rico,288000,316000,358000,441000,454000,479000,561000,634000,723000,823000,903000,979000,1007000,1032000,1059000,1073000,1080000,1088000,1074000,1030000,994000
Qatar,4000,5000,6000,10000,14000,24000,33000,55000,94000,106000,151000,196000,326000,456000,489000,592000,682000,721000,713000,672000,636000
Reunion,37000,43000,50000,55000,67000,71000,78000,88000,102000,122000,145000,182000,214000,229000,234000,232000,235000,245000,258000,270000,276000
Romania,3595000,3983000,3888000,4190000,4604000,4961000,5632000,5499000,5429000,5496000,5515000,5485000,5796000,5859000,6098000,6386000,6325000,5848000,5204000,4757000,4206000
Russia,20535000,24366000,25096000,25883000,29867000,31374000,36693000,34949000,33945000,36654000,38260000,41918000,40928000,39029000,37270000,37920000,40343000,38559000,34783000,30546000,27059000
Rwanda,263000,301000,347000,380000,443000,509000,643000,646000,703000,554000,900000,1076000,1240000,1412000,1659000,2142000,2744000,3180000,3582000,3925000,4346000
Saint Lucia,13000,13000,13000,14000,14000,14000,15000,16000,19000,21000,25000,31000,36000,42000,46000,51000,54000,59000,61000,58000,56000
Saint Vincent and the Grenadines,9000,9000,11000,12000,10000,9000,11000,13000,13000,15000,18000,21000,24000,27000,27000,27000,28000,29000,30000,31000,32000
Samoa,9000,11000,11000,14000,16000,16000,17000,17000,20000,21000,23000,26000,30000,29000,28000,25000,27000,34000,44000,51000,52000
Sao Tome and Principe,9000,8000,10000,10000,10000,11000,14000,13000,13000,14000,14000,18000,19000,22000,29000,37000,45000,54000,60000,67000,74000
Saudi Arabia,486000,527000,576000,653000,758000,931000,1175000,1358000,1759000,2175000,2718000,3656000,4808000,5923000,7077000,7868000,8642000,9508000,10164000,10948000,11452000
Senegal,348000,394000,450000,519000,609000,705000,794000,886000,966000,1025000,1123000,1267000,1503000,1848000,2269000,2758000,3295000,3889000,4505000,5161000,5907000
Serbia,1443000,1550000,1489000,1599000,1825000,2095000,2366000,2338000,2343000,2543000,2564000,2605000,2648000,2597000,2649000,2737000,2784000,2727000,2581000,2439000,2300000
Sierra Leone,312000,340000,371000,406000,440000,477000,519000,567000,622000,577000,587000,684000,771000,889000,1040000,1215000,1395000,1579000,1811000,2116000,2469000
Singapore,154000,211000,263000,284000,319000,352000,403000,486000,587000,818000,1146000,1422000,1696000,1714000,1580000,1433000,1356000,1415000,1475000,1448000,1339000
Slovak Republic,797000,885000,853000,909000,979000,1007000,1081000,1061000,1112000,1256000,1399000,1497000,1515000,1524000,1595000,1668000,1726000,1678000,1511000,1334000,1207000
Slovenia,359000,371000,342000,346000,367000,400000,449000,449000,464000,509000,549000,594000,609000,605000,609000,606000,597000,565000,514000,470000,447000
Solomon Islands,14000,15000,15000,18000,21000,24000,28000,33000,37000,43000,51000,61000,74000,94000,116000,138000,159000,181000,205000,227000,249000
Somalia,352000,382000,413000,449000,487000,530000,799000,774000,795000,812000,937000,1079000,1238000,1440000,1705000,1914000,2195000,2516000,2918000,3500000,4123000
South Africa,2231000,2448000,2723000,3007000,3281000,3664000,4088000,4691000,5348000,6589000,7681000,8630000,9298000,9487000,9662000,10227000,11013000,11724000,12313000,12770000,13142000
Spain,6021000,6465000,6674000,7287000,7762000,8359000,8684000,8720000,8820000,9010000,9921000,11271000,12634000,14179000,15416000,15563000,14753000,13418000,11884000,11150000,11218000
Sri Lanka,1101000,1260000,1451000,1679000,1937000,2164000,2404000,2642000,3022000,3432000,4053000,4905000,5270000,5198000,5234000,5500000,5588000,5724000,5553000,5322000,5288000
Sudan,1224000,1365000,1544000,1751000,1982000,2289000,2669000,3127000,3558000,4077000,4683000,5330000,6186000,7272000,8575000,10039000,11639000,13393000,15213000,16847000,18282000
Suriname,32000,36000,38000,42000,48000,45000,53000,58000,62000,70000,82000,100000,117000,132000,137000,144000,149000,151000,161000,167000,167000
Swaziland,38000,41000,46000,52000,58000,64000,73000,83000,100000,114000,132000,137000,142000,140000,147000,175000,224000,279000,321000,344000,359000
Sweden,1836000,1961000,2049000,2091000,2035000,1930000,1878000,1960000,2134000,2288000,2393000,2435000,2442000,2489000,2489000,2453000,2467000,2535000,2520000,2528000,2513000
Switzerland,1230000,1305000,1316000,1359000,1398000,1446000,1509000,1604000,1737000,1850000,1985000,2160000,2264000,2293000,2226000,2117000,2041000,2052000,2081000,2066000,2039000
Syria,504000,525000,573000,656000,762000,879000,1000000,1126000,1283000,1566000,1932000,2493000,3314000,4075000,5014000,6186000,7245000,7958000,8423000,8835000,9440000
Tajikistan,294000,328000,320000,331000,401000,483000,590000,600000,607000,640000,722000,924000,1103000,1263000,1380000,1565000,1935000,2309000,2633000,2822000,2877000
Tanzania,948000,1091000,1259000,1456000,1688000,1969000,2280000,2654000,3110000,3650000,4127000,4587000,5166000,6064000,7271000,8720000,10404000,12205000,14184000,16654000,19729000
Thailand,2868000,3310000,3728000,4245000,4970000,5857000,6896000,8365000,9748000,11451000,14168000,16770000,18853000,19913000,20081000,19916000,19636000,19484000,19221000,18888000,18638000
Timor-Leste,62000,65000,72000,80000,89000,100000,72000,86000,100000,119000,112000,133000,150000,174000,188000,230000,286000,355000,447000,511000,593000
