Aid received per person (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7744762249,6.507359548,32.47711752,58.12723747,67.50801152,92.1005553,52.99479781,62.46178558,67.68212503,70.18306959,69.02906573,97.87110181,82.92616304,82.74309642,55.5585635,70.20226435,113.870979,98.28562817,170.4938672,110.8706395
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,191.0201491,645.3827121,338.1853469,315.8722101,398.6825288,482.4046213,386.2813651,439.0358199,342.5516377,237.8781168,321.2031423,235.1057555,294.3835793,129.6831631,-83.44451731,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0412597992,1.006502303,3.18478986,19.61827037,15.55497723,12.41272704,23.48610978,15.19651207,21.22326266,17.28499366,28.32626492,42.74499966,36.51886666,21.15933305,25.80003217,24.32539145,26.24893664,26.82748705,25.904069,17.57280382
Bahamas,-0.3652067527,,,0.1570598398,0.4487356872,0.4997751012,0.3415790516,4.520943763,0.3151710749,0.4261458758,0.4723470334,1.437814522,6.859751812,2.644773817,2.809428876,3.494467094,3.05881743,2.384697346,5.807200929,5.971163649,9.544159544,9.009427391,8.492742565,3.954096933,46.54217722,2.984400114,23.43204081,2.754526468,17.13761423,15.57589075,12.29853823,10.58099638,10.15950422,3.804936073,2.577824897,15.22657574,,,,,,,,,,,,,,,
Bahrain,0.2471805963,5.622715772,7.835444067,3.612349721,3.189740036,4.722271413,50.90859522,0.2562643828,1.000910829,0.6819587805,4.483712325,21.40917953,12.4422247,59.71451096,150.3492459,97.52602202,578.0793282,159.0401878,260.9471299,396.7681389,576.9687421,529.8945909,406.4775851,647.7760526,521.7511591,177.6321628,230.9647321,19.81431921,-5.647101587,-3.682046883,278.9663435,186.9011319,154.1478095,209.3124603,175.65543,178.6362685,230.1561625,253.4292547,326.7472355,98.72918877,94.68922411,110.2084014,95.9085458,203.6114493,86.66785757,,,,,,
Bangladesh,,,,,,,,,,,,0.2263840199,3.268389669,6.114166179,7.638480612,15.17550439,6.903024558,10.60478026,13.0676719,14.8406867,15.83540015,13.2564197,15.71696388,11.9292518,13.21764109,12.2235156,15.06925896,18.40924839,16.14154027,17.52981573,19.8825671,17.44698735,16.4969911,12.27976698,15.14779177,10.90963701,10.24000247,8.272425155,9.317538277,9.585595442,9.05023081,7.91044216,6.749639605,10.21786888,10.19848023,9.380962328,8.578503454,10.52628252,14.23325678,8.337201871,9.515970956
Barbados,,,,,,,6.782189969,2.495315996,3.586891389,5.470068208,9.723671692,19.05429013,19.59850007,19.51026759,15.79164843,21.45363653,30.62594565,23.5505487,45.72093267,44.25616987,55.70829113,68.51783626,50.47665754,73.80454493,32.18240116,28.65352037,14.40132743,23.92810656,11.2568463,7.772982505,10.1348357,8.142853302,0.1148826665,13.74649178,-3.921762737,-4.40368087,16.00835613,16.29647513,58.88524146,-7.984765218,0.8971593691,-4.287972796,12.31339258,73.79662867,106.7246534,-6.691238175,-7.673521187,64.46553616,26.15915938,43.84967919,59.26879864
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.913708951,7.862316979,8.63327149,11.47469277,10.26296413,14.53319283
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,19.98989522,29.92298511,56.51642488,40.12124569,14.81905154,19.77055023,23.31813083,51.52947384,47.6736285,57.96839449,49.59490548,41.65260337,71.98848112,37.45875014,49.20085784,67.69096858,88.50036675,70.76204074,131.7065221,145.7490664,99.31506849,75.45390588,78.19384617,95.93212134,85.81178851,131.9494585,141.1971831,134.0182648,139.0989989,155.6768559,160.4232804,112.2164948,128.4422111,148.8292683,138.2464455,84.20323326,92.92792793,61.13043478,63.68972746,189.4693542,58.68694956,86.16401088,84.38914027,43.03982463,26.82236377,41.70664839,28.63437585,69.88764045,74.0763738,82.71308523,71.83057731
Benin,0.008265678753,0.6038048682,1.508903739,1.68918785,7.055776952,6.870343402,5.638039383,6.042464375,4.792695844,4.703150323,5.172822817,9.963169278,6.744034609,8.716289389,10.63967037,17.00433358,15.56787625,14.60968908,17.60582901,24.05800307,24.43653066,21.90539748,20.91135736,21.67720239,18.62858091,22.68261059,31.65337963,30.58467747,35.14942008,57.8903759,55.9129143,53.8418837,52.66686699,54.29668909,46.75129819,49.55813348,49.43159421,36.84979509,33.33220682,33.31713399,37.35150304,41.34445275,31.5711262,41.84522042,53.23071079,45.44682258,50.72851416,58.47343377,76.76897264,79.29297351,77.86648696
Bermuda,,,,,0.2044989775,0.998003992,1.176470588,1.153846154,0.7547169811,0.1851851852,0.1818181818,,0.184501845,,0.5617977528,0.3773584906,0.5639097744,1.498127341,2.985074627,2.788104089,5.185185185,3.860294118,1.277372263,1.268115942,1.438848921,16.78571429,1.58172232,3.979238754,0.6814310051,1.677852349,697.3553719,-77.37704918,-81.96721311,-79.01639344,-203.588907,-33.71150729,-65.85760518,,,,,,,,,,,,,,
Bhutan,,,,0.04087421777,0.03977424141,0.6188142745,0.1879190595,0.03649635036,0.4955839926,0.3427627362,0.6956429563,0.4473858287,0.5849483552,1.54133444,1.741041485,5.775529905,8.539573764,7.421966975,7.71561051,11.87358463,18.71663342,21.8006181,24.79103909,27.79504809,36.15423009,47.69206301,76.87249592,77.19414729,75.15002274,73.34264956,82.36347359,110.4999217,99.1295053,118.2816846,139.659201,137.3355136,110.3108568,124.152345,103.1994035,120.3146691,92.93459043,102.8483972,121.4143334,123.8567592,121.3729763,136.5857062,150.5007552,130.4566928,123.3740588,175.68467,180.455685
Bolivia,3.600708815,6.88889148,10.23832984,14.91578575,11.15421603,9.049021395,7.826028302,7.324661152,11.79644371,9.005991608,7.74088525,7.77393274,11.68998186,6.819534781,13.2761205,11.71727983,13.32711401,18.54991179,28.37939461,29.83783321,31.65909067,30.90462939,26.50089592,30.38581365,28.88446488,32.96464786,54.82196617,49.52821738,65.90115142,76.24434636,81.91681502,73.8042635,95.62861118,78.30961401,76.84314432,95.23051028,108.3452415,89.40674366,79.41678312,71.08540053,57.98671233,87.73687996,79.72212157,106.4450401,87.4370764,70.30548326,91.32922015,50.37778318,65.27756089,74.20620844,67.97485037
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002289865354,0.002321156623,0.00240530032,3.990973126,19.10056048,118.0145071,289.8474175,257.6813429,256.1343897,262.9008831,357.1462288,199.7808159,170.7622246,147.1920608,143.262105,181.4744862,145.0726937,141.4696683,158.7416255,123.7174643,109.9641345,135.7313234
Botswana,6.545839003,10.17631491,9.528086946,9.445715491,15.30582312,17.29066959,29.17264233,28.9278325,25.72708998,19.90325469,20.49183285,24.6596204,42.46413666,47.14410254,45.99763765,61.97517586,55.49477965,53.22648234,74.48815793,103.5969754,105.6703851,93.39822575,94.54925508,93.16932929,89.06523878,80.84186462,82.38731697,122.7685562,115.1292783,117.7303696,105.0513936,92.07134177,75.94933253,86.25286099,55.08227422,56.46941891,45.85195331,73.16905726,62.66266491,35.23361874,17.41826301,16.34678268,20.5685185,15.21752316,27.09147774,25.58015176,36.19854753,55.85876298,368.4529845,140.877766,77.79984006
Brazil,0.331368847,3.555420709,2.155283547,2.476576053,3.035776257,2.797403069,3.993536047,2.642019346,2.895894122,2.046773861,1.958090351,1.600383873,1.459902272,1.096545658,1.584433289,1.523505675,0.994992853,0.6946274428,0.9710818824,0.8963305077,0.7012463469,1.884043295,1.6275774,0.7705101394,1.201678304,0.8982231681,1.280335973,2.032211773,1.446317261,1.373321211,1.009420595,1.061868588,-1.667657478,1.272917483,1.576802219,1.676324258,1.643396934,1.557267907,1.66590212,0.7159629512,1.326469753,1.241144029,1.158630686,1.091651403,0.8395995251,1.306919554,0.6034852077,1.692324901,2.403426021,1.74352347,3.39231585
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0.1252410891,5.751395912,8.372327736,0.4391357808,0.7353636373,0.803729304,0.7682704312,0.6423904265,0.2630010169,0.2511721366,0.07994371962,0.3816502557,0.1457927847,0.8359573104,0.9997400676,0.8940259906,0.6739865693,0.4709622347,0.5666107611,0.4918409059,0.1584786054,0.9723942393,1.341275006,2.124351831,3.802781195,6.391234878,11.27445758,13.98359948,18.96728982,18.60374033,15.38919187,13.95759513,20.12788893,18.4786293,18.65248227,14.81281982,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0.04096726163,0.2723464828,0.8801389785,0.8098192343,2.96412409,3.268262053,3.1344926,3.580759168,4.084295124,4.214646317,3.786488212,4.859933804,5.678074048,9.22333819,15.29073834,13.75232818,12.14290775,16.21613746,22.79866056,27.85157394,29.1122349,29.07637343,27.75744805,23.33109391,22.97875087,23.07157881,32.07272378,31.15849342,32.44974408,29.22670317,35.02039254,43.80464163,44.02062341,46.29972781,41.59205463,45.82338911,38.09438901,32.60244029,34.41653281,33.35090127,14.62337925,32.09399015,33.78757606,40.38266598,46.59697619,48.83415902,61.65145304,63.16326793,64.52744775,67.74196394,64.50655467
Burundi,2.560790723,2.402357852,3.635000026,1.987832914,2.564611406,1.51266907,2.72633046,3.115389726,3.807259331,4.308566053,5.029174621,6.107276222,7.201189091,7.456546048,10.27712749,12.89805105,11.70355692,12.47409413,18.90221384,23.50162797,28.07508093,28.33953797,28.52878814,30.29411111,29.32227775,28.27693168,38.19934543,38.05742603,37.68012226,37.72167934,46.86953293,44.79361569,53.00363954,36.5648553,51.70407738,47.14337748,17.99924368,9.119156165,11.04681197,11.92298376,14.6085552,21.40729667,25.83956812,33.30426375,51.71365036,50.191521,57.64905986,62.15666999,65.74527107,68.70396518,75.14628976
Cambodia,5.022724654,4.523549144,3.889358287,4.069471272,2.124148189,1.584328274,1.795471545,2.149321075,1.536627845,1.864449254,2.714040193,5.716330508,9.433649484,20.33974125,42.98664407,11.53315112,0.1032619444,0.04414122367,0.04079360791,16.59799379,41.19007768,16.64188339,4.923353883,4.714485882,2.220583901,1.493724212,1.588998651,1.577388279,2.056112399,2.64236014,4.333855648,9.090793016,19.64773797,28.5134439,28.84809515,49.33194607,36.35004466,28.58449021,28.15254434,22.67756966,31.79253004,33.26145967,37.77591388,39.79600698,36.78728473,40.09710146,39.16650957,49.34799245,53.74080386,51.61217673,51.89678641
Cameroon,0.07025220356,1.288575601,1.673241295,1.540919018,4.697560687,5.336678622,7.844898652,5.966612501,7.359114323,5.630669469,8.66297181,6.862595989,8.718117708,8.218413241,8.12571768,13.98584268,16.73009096,21.56445992,20.93857555,31.3061396,29.06343955,21.13953468,21.96330704,12.85621075,17.90856464,14.49587431,19.98445664,18.20300038,23.98081743,38.24561415,36.48194756,41.20223108,55.48454625,41.07709752,53.7230442,31.76393799,28.70976152,34.0857802,33.20668794,28.3404173,24.02880063,28.53912131,36.92387015,52.78917233,46.06161966,23.58093265,95.77068033,104.974806,29.24444226,33.81168466,27.57809384
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,12.60473048,,,,,9.76799987,2.805359422,,0.03750600096,,,,,,27.78232787,76.97421027,84.49434705,115.2997432,108.0052939,206.1010442,160.8326699,166.7261461,178.1490758,187.8720238,195.779969,312.7638795,251.3944863,243.1409119,242.1741389,302.3853633,286.7947871,319.3621531,306.7072195,310.7496475,293.0274012,288.1489289,268.4230539,307.6663746,315.9258103,214.3226344,173.4457286,202.1469276,320.0219116,306.3515459,343.0446855,289.5035618,341.9505903,455.0537476,397.8674629,661.0698812
Cayman Islands,,,,,,,,,,,,,,,140.116764,124.5691006,154.6619532,103.2427938,211.9032047,45.93420236,88.36961034,56.49395115,31.46389932,20.31868249,18.07291129,3.470156653,93.18386074,98.41369703,515.0159744,49.6929541,114.7880835,-10.59825312,0,-15.29560418,-39.4439673,-17.38228836,-59.53777569,,,,,,,,,,,,,,
Central African Republic,0.01995332253,0.2746467683,0.7323348312,1.248601629,10.38648359,9.570376229,9.305476326,11.96932315,9.850403758,11.05378074,7.863470897,8.33885682,13.49486485,13.21351701,18.51228628,27.13940284,18.768197,21.292723,23.60384092,37.65995088,48.43356219,43.25231787,37.10222729,37.16520731,51.4854907,39.53723353,50.2332497,65.46527587,72.90132233,65.8040833,84.80712504,57.67209437,57.58587313,54.24734883,51.59731187,50.41905695,49.50313391,26.13642202,33.69756861,32.51119749,20.33711304,20.27837034,15.73158942,13.17455319,27.78901601,22.12609635,32.69942219,42.51923844,60.70843974,56.04975119,59.30628843
Chad,0.01015541853,1.080412519,1.790432474,1.764739863,5.140934606,5.555645092,5.661155007,5.784903124,6.206279944,6.642849371,6.113397367,8.125410813,8.029575124,11.52356082,19.50637536,16.21985302,14.49153585,19.03989465,28.17716723,19.00395419,7.683205137,12.79177752,13.46229717,17.90529547,22.23201354,34.75795322,30.22156701,36.88888783,46.17489959,43.00173641,51.66668219,42.32331456,37.05468627,33.94612156,31.2842533,33.58336282,40.97197413,30.59507276,22.67538606,23.6379043,15.96749922,22.13679733,25.99194062,27.69859774,35.63772165,39.29530461,28.68380648,34.62259682,39.58413939,51.26866939,43.29126173
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1.700302643,14.91264685,16.50635249,17.18976794,15.60352018,13.03759425,15.26497409,11.32009579,9.203562167,10.12209814,7.555150721,4.911335023,5.007077408,4.826910248,2.300188879,12.18077183,0.6905295387,0.988829215,0.6588662789,-2.531103349,-0.9437492357,-0.6388542145,-0.7668768869,0.008536471477,0.1889456071,3.304638346,-0.4183364247,1.702222155,3.481392925,4.761468122,7.8511833,8.999714431,9.598363782,12.46501103,10.58773648,10.86442365,13.3526816,8.687309291,7.070207768,4.589156578,3.169946212,4.823701311,-0.4650281415,5.369117256,3.370276197,10.26517069,6.156535829,6.306643306,6.421327309,4.642676399,11.54163848
China,,,,,,,,,,,,,,,,,,,,0.01738897116,0.06675261278,0.4788280334,0.5189018768,0.6535653907,0.7691558363,0.8931629624,1.026650044,1.27112132,1.742018645,1.851186698,1.790342543,1.6793653,2.569705658,2.721292556,2.633426607,2.880570691,2.16832163,1.664443225,1.963524661,1.899244453,1.355685882,1.217934505,1.168994064,1.054447377,1.323804564,1.391633173,0.9518313985,1.129036297,1.116902137,0.8483453259,0.4829555435
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,-0.7141645893,2.759684658,2.743064739,4.271884104,3.029978978,1.99075962,4.859186705,5.537295398,9.483912403,5.812804597,7.496081423,5.935954903,5.342713061,6.429781009,4.544514467,3.443569142,3.063142294,1.925505842,2.752443938,2.045189748,3.342151225,3.68300902,3.41371808,2.973612332,2.983698482,2.036438581,2.054144668,2.476748227,1.958434193,2.069567889,2.666600729,3.349781304,6.714724701,2.374081765,2.077492394,4.634143645,5.034944851,5.138046924,4.346615929,7.713287382,4.676069404,9.508542957,10.67234404,19.17884715,12.14442263,14.41709933,23.00502511,16.29722833,21.59744719,23.20604939,19.46393984
Comoros,,,,,,,28.14587871,43.74196749,34.57007597,27.35142713,33.14680379,36.22459247,41.00401606,69.09885214,104.3391978,79.7139762,90.06503508,41.4302163,44.20020324,61.84811518,131.5145305,136.0709905,108.0257423,103.4476123,113.8582694,122.1807435,115.8704411,132.916091,122.8070596,103.1137691,102.4947702,141.1132116,104.1750541,103.2787059,80.2237143,84.12776095,76.34174914,56.98345288,75.10950738,39.15205233,33.26405544,47.71724244,46.49594551,40.27764328,42.05305843,35.49132624,48.26215372,66.28332955,59.73883627,70.48314133,91.48690031
"Congo, Dem. Rep.",5.341779188,5.781558073,7.475958832,6.711866725,7.443127056,8.098239563,5.158922917,5.048707649,4.007282528,4.252463395,4.40913605,5.146057212,5.678133582,6.305182545,7.947868619,11.06842558,8.042824542,10.49296355,12.38125251,15.81972039,15.96043331,14.11574123,12.13501653,10.57554192,9.955057714,9.836312815,13.18868371,20.46111723,16.24384427,20.79031739,24.60540678,12.55487475,6.80765724,4.32844015,5.739943311,4.419369806,3.667289038,3.399013594,2.64831101,2.766267551,3.56908246,4.812174383,22.38426846,100.1324535,34.41868816,32.77051365,37.18630801,22.32452599,28.26687152,36.70859823,53.70935043
"Congo, Rep.",0.01973201944,0.1826991589,2.875616923,5.152852765,15.76447029,13.68851503,21.15251822,15.3577958,16.96948907,13.24596295,11.52733003,12.47831557,16.28106618,18.1926162,25.06835468,35.9726343,45.36002648,29.19321077,47.29740082,51.61231963,50.68718251,43.43672866,48.20350962,54.65056728,47.72681983,33.16432437,50.09139589,62.48248033,38.27642919,38.93274725,90.90368713,54.30862556,44.79413506,47.27482063,136.0876557,45.69097444,152.7658269,92.91067893,21.8307493,45.93450953,10.21757634,22.96060473,17.53157493,20.54873289,33.51360293,403.4555869,71.18524396,31.82051631,126.4226128,71.87195385,324.5814451
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2.691146353,4.379570498,6.499496813,6.83056882,9.109976207,9.801059349,8.659558025,8.879594014,6.892672239,9.303431619,8.245535682,8.846999982,9.754242336,11.93435949,11.50828562,14.65727456,11.58075938,11.67245038,22.82344145,24.2216901,27.49488445,22.53687144,32.25365068,98.72603339,82.87712605,103.7566991,70.35579611,80.18207036,64.28793314,75.54952398,73.92907395,55.3018935,43.49971115,29.96598668,22.08599326,8.553099266,-3.606875835,-2.179119214,4.568812627,-2.573401985,2.454595094,0.09243192389,-0.08326808626,6.977630721,3.014917586,5.991535274,7.236718989,13.05976183,14.6214478,23.64952437,20.39757564
Cote d'Ivoire,0.03573013851,0.8921142658,2.291878931,2.11729159,9.175919621,8.730177389,7.811172562,7.104484157,8.996107438,9.563022262,9.707526158,9.030208319,8.169414848,10.24595303,11.69473434,14.72745129,15.16315313,14.01042715,16.67930758,19.67511939,24.67949302,13.84780002,14.6989854,16.0380353,12.18932533,11.18265218,16.00731406,21.29123062,36.31934757,32.60626767,54.83422314,48.65640652,56.47222769,55.21109672,111.7654949,82.56615703,63.89500482,28.80947206,60.90478636,27.54189849,21.14204175,11.00523866,62.14666279,14.53238151,9.052642027,5.061332518,13.48577339,9.174787204,32.95253433,124.1135283,42.80922899
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002237136465,,23.5827957,11.41143714,29.66399644,8.827646544,8.749166852,10.64339043,14.80117488,27.88513514,32.14414414,27.18468468,26.95652174,27.79378658,45.90540541,36.7245266,54.48353631,38.11695642,34.11272069
Cuba,0.03224186671,0.02609237442,0.005374964945,-0.02234094169,0.05657267802,0.0730309349,0.09012591578,0.08967181811,0.07736735783,0.1532043509,0.2091500624,0.2800364815,0.3962006467,0.5665609814,1.637829011,2.083680967,3.533768486,4.673363317,4.952873905,4.910633141,3.187860692,1.355669879,1.625347014,1.290576001,1.176812534,1.786638782,1.750842507,3.205711314,1.954372257,5.33144874,4.806851784,3.466264369,2.274615441,4.031254361,4.30684739,5.800494368,5.189417388,5.943256592,7.259258977,5.284421878,3.961523779,4.820394091,5.698212705,6.693415943,9.215867955,7.853038881,8.318594629,8.235209657,11.31455355,10.216976,11.47097539
Cyprus,42.04210493,35.09295383,27.08699686,19.30822572,9.054621486,11.13489922,2.784420909,2.384181211,1.603763498,6.169336747,9.548094862,9.62983122,11.62161302,12.71918156,33.07413587,47.92912337,85.36001277,142.7270925,70.70239061,43.97688677,76.84789427,63.56045933,44.63769457,26.75229707,24.10494968,52.37640532,49.101904,57.11647503,59.61731414,53.70789509,49.73502047,50.76680086,32.68361585,41.27699797,52.59165915,25.05190408,25.85662968,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,51.88951623,73.16908437,68.22653176,69.30993135,73.19548081,62.09224634,73.50431115,100.9734504,140.54739,153.5967995,114.6637535,171.0815552,352.3372718,72.36242399,214.7395284,182.07528,161.6200473,175.7047794,265.5765084,201.849606,267.0511447,226.8409012,184.8760971,140.2604784,368.1552224,184.237356,188.7332047,222.7380728,209.6640841,168.1784156,150.3489884,128.3655399,117.542892,105.4705561,98.56133783,79.10843592,96.82692546,101.9829665,80.80752087,91.69102648,139.9205033,134.146879,164.5793305,191.1614627,148.7989414
Dominica,,,,,,,,,,,,,,1.254442818,49.85308657,109.1660656,59.60246669,67.4276685,95.77047414,120.7922906,233.8272785,195.8234935,222.9731528,132.7143564,218.5630356,225.2943493,160.4995755,219.4431009,249.2333426,334.9241999,276.908327,248.8636684,178.9690257,125.1738526,240.2242467,350.3166863,605.8945831,205.51619,273.50573,140.5654043,218.0215869,283.5255663,427.1222637,161.416185,426.1293731,306.4200218,283.9883552,283.6309437,325.8557197,529.28359,478.9173074
Dominican Republic,0.05137595382,0.04384189444,5.935290349,13.14244943,6.157007127,20.15161742,12.98063141,14.48044632,14.99635592,9.919623916,9.575365776,6.794423096,6.185563981,5.19881427,4.168159327,5.803671527,6.245033975,6.209877574,9.002937344,13.71288808,21.52716724,17.69946136,22.3555177,16.01722347,29.60288239,31.92304037,13.86361118,19.0709191,17.09817232,20.33053069,14.12991235,9.226376756,8.760798539,-0.2437402013,7.880454774,15.07773383,12.35417333,8.669673358,14.20234772,22.42094147,6.517715908,12.24580164,16.35977049,7.655025381,9.258523992,8.703332924,5.724448663,12.91655415,16.13769676,12.15390413,17.64423832
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,1.322308539,2.273446863,2.6728617,3.621918714,4.12619469,4.033970854,5.080746911,5.149019545,4.365233412,3.440623293,3.89621436,4.332847209,3.827540257,5.487905136,6.782606726,10.01340525,10.51607098,7.402439538,5.846750296,8.890302632,5.755351566,7.114606915,6.234652865,7.18669842,15.21820722,14.82851722,15.60960751,23.77177423,17.51924758,16.11232111,15.52737675,22.63020396,22.35652381,21.28970376,18.7458938,19.57572863,21.59775568,12.91149443,14.7454937,12.20181973,11.83796903,14.62471905,17.22901621,13.46859468,11.6050814,16.81835536,13.76642374,15.68912471,16.40565309,14.57413583,10.40599488
