Contraceptive prevalence (% of women ages 15-49),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Chile,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,56,,,,,,,,,,,60.7,,,,,58.4,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,69.5,,,74,,,71.09999847,,,,84.59999847,,90.69999695,90.40000153,91.09999847,83.8,,83,,86.9,,,,,84.6,,,,,
Colombia,,,,,,,,,,,,,,,,,42.5,,46.1,,48.5,,,,,,64.8,,,,66.1,,,,,72.19999695,,,,,76.9,,,,,78.2,,,,,79.1,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,25.7,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,7.7,,,,,,,,,,31.4,,,,,,20.6,,,17.25918404,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,64.4,63.8,,,65.2,,,,,69.5,,,,,,,75,,,,,,80,,,,,,96,,96,80,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,11.4,,,,,15,,,,,,,12.9,,,,,
Croatia,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,60,,60,,,,,70,,,,,,,,,,,,,73.3,,,,,,72.6,77.1,,77.8,77.8,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,66,,,,,,,95,,,,,,,,,,,,,,78,,68.9,,,,72,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,67,,,,,63,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,17.8,,22.5,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,62.3,62,,,,,49.8,,,,,,,,,,,50,,,,,,,,,,,,,
