Homicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66122,3.647964,3.523306,2.585613,2.281327,3.189486,4.140843,5.997642,4.401304,3.064577,3.258682,3.073658,3.20322,4.131442,3.953339,2.979976,2.228742,2.043476,1.424509,1.588838,1.110179,1.590919,1.640151,1.639592
Cuba,,,,,,,,,,,,,,,3.793528,,,,3.013844,1.806692,2.662339,2.836742,3.103591,2.257314,2.204122,3.202209,3.507871,2.763395,,,,,,,,,,,,,,,4.255567,3.995248,4.101824,5.008852,3.960083,3.055759,3.950133,2.787598,3.042725,2.209207,2.51049,2.940864,2.59813,3.466565,2.885599,2.853601,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.083498,,,,0.6901807,1.713236,1.565362,0.8106727,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.342704,0.8997228,0.7754058,0.9422691,2.538156,2.208817,2.327583,1.563278,2.199551,1.638797,1.754669,1.732908,1.254108,1.013183,1.069731,1.083588,1.072029,1.33298,1.101355,0.6954274,0.7210025,0.6505408,0.5613074
Denmark,,0.3227413,0.1685052,0.8335122,0.3106739,0.4562131,0.4483468,0.5495746,0.1449839,0.1418266,0.2738751,0.5391011,0.336581,1.057706,0.3748531,0.2521552,0.8814,0.4796854,0.2465868,0.475853,0.7235502,1.004523,0.3269948,0.4638201,0.3153262,0.2091149,0.2995085,0.3794741,0.4285616,1.04662,1.169726,0.9822914,0.603637,0.8173937,0.5769861,0.792091,0.5810888,0.9724823,0.4893299,1.025972,0.4646243,0.6676404,1.153499,0.6519693,0.6730211,0.5482841,0.5443116,0.5557959,0.2832821,0.1507585,0.7426038,0.4844469,0.7296762,0.7876636,0.54878,0.777963,0.2809305,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,2.258945,1.318982,2.39142,1.947731,5.460422,2.868759,1.890611,0.6155732,,,,,,,0.7446085,,,,,,,,,,,,,0.0390741,,,,,,,,0.0655666
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46769,33.84336,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.334746,7.577317,,,3.216107,3.899566,3.486187,5.124441,5.468176,8.619564,7.392686,9.273,17.82431,15.68759,12.07182,15.43075,15.24823,14.9486,12.3435,11.80078,12.68813,9.153809,7.2235,7.087432,6.835781,7.803877,6.116417,7.730824
Finland,,,2.767004,2.750761,2.977194,2.20279,3.353628,3.623168,2.904612,1.537199,1.60166,1.48498,1.911294,1.140794,1.575984,1.209526,2.253172,1.435416,1.890475,2.085829,1.606517,3.006899,3.600141,1.912221,2.285232,2.611528,2.398189,2.080397,2.593925,2.204026,1.913859,1.744237,2.005052,3.258322,3.015688,2.038691,1.672105,1.729887,1.988558,2.072268,2.736409,2.846261,1.59747,2.176346,1.438211,1.282099,1.605365,2.541201,1.940145,1.811616,1.580667,1.796466,2.168759,1.46904,1.288859,1.271246,1.802593,1.570357,1.204427
France,0.756081,,0.5607706,0.7157449,0.5148431,0.598927,0.4967023,0.6436341,0.8404,0.9035577,1.127528,0.6449187,0.9349153,0.7379371,0.6512707,0.6840404,0.5582467,0.821293,0.7523366,1.193906,0.8007982,0.8231189,0.8163449,0.7900966,0.8610113,1.021251,0.8015129,0.8799318,0.879979,1.068967,1.089064,1.02245,0.9949603,0.9372345,1.032165,1.100612,1.050356,0.8693846,0.9423296,0.7897433,0.8567174,0.7481205,0.8195708,0.8774116,0.7981862,0.9531593,0.7265781,0.8521104,0.5746205,0.5531724,0.6970699,0.5664265,0.7293564,0.6048358,0.8376685,0.6267625,0.5375387,0.525376,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.409263,3.809956,,,1.977377,2.281905,2.542644,1.933247,3.483593,3.043025,1.766497,0,,0,0,0.6178831,1.389916,2.848779,5.260725,3.6085,4.231219,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7727,0.8777461,0.8703501,0.8004901,0.7946953,0.6926696,0.6789461,0.6630823,0.6216812,0.6060184,0.5875486,0.5683309,0.53234,0.5201762,0.5304962,0.4201238,0.5272368,,
Greece,,,,,,,,,,,,1.985687,1.433151,1.347418,1.216125,1.018711,0.9992132,0.820667,0.6621447,0.766983,1.068847,0.4895647,0.5402944,0.6530671,0.7981648,0.6574847,0.4629449,0.6863557,0.9188015,0.7042583,0.6456608,1.157405,0.9440365,0.9035202,1.323658,1.546078,1.058138,0.9998467,0.7952886,0.9619128,0.9635263,1.696202,1.164096,1.277122,0.9193935,1.606984,1.776508,1.641176,1.434376,1.331049,1.547343,1.255612,1.182006,1.238164,0.8691965,1.049408,0.8179604,1.274677,1.182265
Guatemala,,,,,,,,,,,,,,23.68054,17.13705,14.06433,16.96138,19.35717,18.46064,15.06867,17.02266,21.40873,,,6.077611,,,2.772295,,33.50449,38.45799,72.21218,,,5.932379,,26.82679,30.62028,24.20945,17.755,19.38335,27.76758,21.10677,17.7529,21.07699,23.58101,23.12983,33.91578,27.04476,26.8248,18.39636,21.13951,18.32479,19.91003,20.89557,25.59809,23.51311,,
Hungary,,,,,,2.266947,2.098113,2.876121,1.862273,2.463307,2.34574,2.36221,1.614488,2.118176,1.774781,1.856615,1.681885,2.084924,2.170471,2.228788,2.175727,2.290111,2.570558,3.032049,2.577808,2.005746,2.638233,2.694799,2.41365,2.504158,2.963401,2.845948,2.809979,2.512892,2.671232,3.188671,3.024733,2.638988,2.761756,4.288918,3.337371,5.588078,5.175553,4.747773,4.403777,4.84705,3.844991,4.54947,3.180969,3.267427,2.547162,2.909658,2.086789,2.431137,2.680884,2.583776,2.366192,1.828755,2.574143
Ireland,0.4822204,0.9516508,0.1873402,0.623322,0.4533256,0.6927404,0,0.4586509,0.2000996,0.7325078,0,0.2393496,0.6762633,0.242653,0.4495685,0.9081516,0.2518651,1.218461,0,0.4419419,0.4127748,0.8807403,0.6766938,0.4185637,1.844127,0.429464,0.4145372,0.6211358,0.1868695,0.7532805,0.4106912,0.9606398,0.7249795,1.033046,0.7168627,0.7827324,0.9313608,1.305195,0.9774969,0.4046393,0.779816,0.3493817,0.8249162,0.9280066,0.4963495,0.3554011,0.3784884,0.6064969,1.051347,0.1666026,0.1357469,0.3309679,0.1287793,0,0.3589349,0.3558972,0.2883982,0.4997864,0.4662823
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,2.023316,1.713078,1.786367,1.738247,1.61275,2.278258,3.594124,2.49971,1.728853,1.693888,2.487575,2.267918,0.74375,1.127824,3.857827,1.812979,1.852827,0.8720813,2.279476,1.516528,0.8409914,1.068207,0.421614,0.1567667,2.321532,1.396673,5.370636,8.233816,4.394194,2.529977,2.556118,2.535129,,
Italy,,1.23231,1.426195,1.437725,1.257384,1.573402,1.226962,1.338544,1.412702,1.147882,1.162878,0.9728391,0.7835923,0.8257338,0.8471445,0.8497615,0.8945667,0.8815396,0.9130146,1.000896,0.7332331,0.863413,1.14613,0.8762928,0.948692,1.08714,1.259177,1.170052,1.108705,1.073314,1.494895,1.283541,1.329912,1.420688,1.039721,0.9462635,1.02775,1.214278,1.36082,1.165979,1.426276,1.462001,1.428133,1.279821,0.9956344,0.982371,0.909956,1.029879,0.9581812,0.8603878,0.7863545,0.7671978,0.6841768,0.835546,,,0.6539118,0.6838903,
Japan,2.166104,1.757941,1.718179,1.664453,1.651229,1.995929,1.745512,1.315362,1.471521,1.631317,1.151106,0.8835005,0.9900109,1.011387,1.166712,1.162293,1.043366,0.8975654,1.049917,1.030507,0.8837726,0.9147027,0.8198635,0.8784463,0.9760388,0.838499,0.8834441,0.9177338,0.8445823,0.8297779,0.7499214,0.9108382,0.8659652,0.874397,0.8470381,0.8155562,0.7466267,0.7164354,0.7241703,0.6371819,0.6558895,0.6264251,0.6261641,0.7033012,0.7114497,0.7442763,0.6426054,0.6926943,0.8353702,0.8023267,0.7868746,0.6964791,0.7849305,0.7164035,0.7037413,0.5814736,0.6082303,0.5332024,0.5829858
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42581,8.853369,,,7.498322,5.609422,6.395555,7.439542,9.358367,9.394523,9.617147,12.78579,15.24921,16.20216,21.96929,22.8169,24.09443,25.63493,22.79118,22.48365,19.53572,17.21284,17.51548,19.23513,17.41776,13.62671,11.33736,12.14742
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9936649,1.09407,1.149532,1.199007,1.438924,1.441914,2.042748,1.137983,1.834011,1.625003,1.500249,1.80697,1.947195,2.409987,1.594413,2.186925,1.856467,1.950265,2.264324,2.113705,2.214743,1.945495,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,10.09952,,,0,8.503883,0,4.07164,0,0,0,0,0,10.99845,2.037968,0,0,,,,,,4.229481,3.24723,0,1.862659,1.632508,1.204733,6.310308,0,3.344756,0,,,,,,1.886505
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.502049,4.669894,,,6.921512,4.668858,3.006213,5.101299,6.098259,14.40299,9.300121,17.96419,24.02556,22.10693,23.13713,15.83808,14.02709,12.46139,12.00801,16.60209,13.09532,11.72955,13.00537,10.97883,12.80402,11.8597,6.497161,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.806797,6.752024,5.055801,7.325116,5.061019,4.975617,3.742201,5.42455,3.063071,7.321927,7.282648,9.041051,10.86503,23.2521,15.21874,15.87742,10.93088,16.80217,11.29782,12.99817,11.42202,10.58513,11.42121,9.431626,8.06673,7.375149,9.842889,6.311759,6.486638
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.147163,4.437617,,,3.454395,6.144106,3.033767,5.446423,6.448802,6.870862,8.435786,9.90442,11.71128,11.50978,10.05806,9.209984,9.75648,6.515753,9.848278,9.354059,10.65652,5.425635,10.45097,9.153275,10.52262,7.962934,5.154534,9.496056
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.385924,2.55698,1.507361,4.965836,1.760659,5.063925,3.189476,1.364907,2.481143,5.279793,6.256491,4.186077,3.178626,,,,,
Mauritius,,,,,,,,,,,,0,0,0,4.023343,2.435423,19.35817,1.912939,13.06615,9.507728,7.561617,1.903749,2.124924,5.251266,1.793387,0,6.712431,0,5.846107,0,0,0,5.500865,1.267516,5.727387,2.203598,1.33777,1.285362,6.201854,3.238602,4.833872,4.360966,3.519943,6.653233,4.216563,1.105706,1.001973,2.776752,1.002601,5.251254,5.80083,1.84562,3.730083,4.724792,1.014204,2.604934,10.90352,3.351608,4.460653
Mexico,,,,,,36.06367,34.07909,29.34934,32.11436,36.41777,33.75372,31.53471,29.38528,23.6846,20.41018,20.6219,19.84309,22.21512,21.18302,11.13096,21.23491,18.87944,18.33557,16.19364,28.75019,23.49464,23.1405,22.95985,23.70214,22.04222,23.07521,26.05479,26.76314,29.22449,20.6681,28.57203,26.53877,26.95275,27.11405,27.93091,27.19255,26.4305,24.11255,23.81684,23.47339,20.67,17.51063,16.98682,17.09533,14.84716,13.56302,12.2911,11.95866,11.93457,10.37574,11.02868,10.76057,7.530131,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80893,14.06945,,,12.0894,10.00642,8.631328,13.87336,11.46894,11.23494,11.48939,16.17654,17.74278,15.69022,19.29841,16.28138,18.15496,12.39648,15.8311,14.54028,16.34294,18.77927,13.72703,10.71321,13.6936,9.088371,9.5437,8.355416
Netherlands,0.3395163,0.5876302,0.469922,0.7033525,0.2227102,0.5188769,0.2831588,0.2755681,0.3380239,0.1968693,0.3255202,0.441467,0.30749,0.5984824,0.236562,0.3402649,0.3895243,0.8581032,0.3730738,0.5749549,0.4120761,0.5078126,0.655093,0.4197508,0.886911,0.4431244,0.8238943,0.6550634,0.6057313,0.5304191,0.7166005,0.4699108,0.6005646,0.6979558,0.7714507,0.5033696,0.8876225,0.5121983,0.3323954,0.9908063,0.3676234,0.9685153,0.7411482,0.7398443,0.9850982,0.5848778,0.9934366,0.8184297,0.9028431,0.7944252,0.522585,0.6971338,0.5606559,0.9683794,1.104231,0.7843494,0.4645853,0.3649551,0.5475919
New Zealand,1.620862,0.8868746,1.895957,0.3490655,1.155594,0.6877178,0,1.053138,0.6615937,0.6554474,0.3540593,1.720292,1.608511,0,0,0.6290548,0.6349645,1.207655,0.5851102,0,0.2818763,1.397254,0,0,0.5082462,1.017837,0.4764296,0.9848805,0.9490408,1.281986,1.162462,1.291451,0.9037639,0.4391969,1.548556,1.606837,1.06587,1.212269,0.8592727,1.236166,2.14252,0.342658,1.552117,0.5367979,0.6516089,0.9076764,1.387956,1.85967,0.4969442,0.640846,0.3924898,1.222101,2.041401,0.2542774,0.4053184,0.9266748,0.9025099,,
Norway,,0.2256216,0.8350413,0.4237738,0.6148176,0.3950992,0.187613,0.3717043,0.3585555,0.7085082,0.1742918,0.5026602,0.6530406,0.3589533,0.3183107,0.7544402,0.7471477,0.3186602,0.9073445,0.9778919,0.5669056,0.1395081,0.9815991,0.516325,0.7713363,0.2614813,0.9158765,0.6430057,0.8879517,1.521621,0.8422366,1.047747,0.5442864,0.8537912,0.9900028,0.6747059,1.760316,0.8865169,0.8103243,0.6566408,0.5994855,1.441072,0.559646,0.6967729,0.7348291,0.5076299,1.166374,0.3171518,1.300382,0.4617792,0.9625059,0,0.70823,0.3350434,0.4830996,0.4760135,0.7913617,0.7590348,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.785671,6.468561,11.59604,5.65296,4.79642,6.920955,,,,,,,8.137267,9.877936,9.94552,3.953718,7.295078,7.408967,9.154556,9.209554,8.072038,,5.107969,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8561,13.5282,13.76989,10.02061,16.7556,15.95881,16.19354,12.03198,18.84268,19.17144,10.38336,10.34043,11.08636,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7673187,8.483362,,,,13.15899,15.10761,18.82785,19.27767,18.32205,17.46918,17.33199,,,,,
Poland,,,,,,,,,,1.094907,0.8972176,1.398136,1.29157,1.16627,0.8722678,0.8374662,1.270915,1.207351,1.043217,1.333969,1.566365,1.396157,1.356955,1.50785,1.031593,1.756799,1.965866,2.265818,1.764698,1.429475,,,,2.259174,2.402946,2.026681,1.791877,2.111093,2.121801,2.53502,4.247021,3.278999,3.128975,3.152912,3.283065,3.580482,2.851208,,,2.456645,2.375511,2.254826,1.879384,1.681842,1.516016,1.662895,1.679169,1.617117,1.328676
Portugal,,,,,,1.588478,1.305562,1.970077,1.107108,0.9452703,0.9666293,1.786464,0.7462649,1.052371,1.183762,1.480282,0.8349936,1.133834,1.106919,0.7580284,1.22502,1.315321,0.7624919,0.6114222,1.866276,1.861006,2.140746,1.491645,1.907436,1.894616,1.395242,0.983469,1.523427,1.598634,1.665836,1.798701,1.087194,1.319329,1.888148,1.371677,1.599298,1.881129,1.392868,1.042018,1.289004,1.540038,1.246076,0.8477427,0.9738947,1.002209,0.7673683,1.001281,1.217989,1.627923,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.048951,6.845133,6.060191,6.448848,5.746097,5.000852,5.642046,4.475127,5.850399,4.664699,4.836876,4.820981,5.090074,5.468704,4.83567,4.288066,3.492946,3.422153,3.16666,2.979329
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.723958,9.911772,9.866663,,,7.893297,5.87266,6.29033,7.447225,8.273534,9.527133,9.648294,15.35822,21.70826,22.92591,21.93553,19.78615,18.91428,17.9487,21.66907,22.53981,24.69947,24.96322,23.18348,21.38432,19.00259,15.72272,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.936897,2.968879,2.611176,2.955851,2.152071,2.816193,2.214584,2.610932,2.716299,3.033959,1.943698
Singapore,,,,,,,,,,,,,,0.8758681,5.637539,0.8050485,2.496802,4.086982,0.6868041,3.195786,1.298066,0.9073144,2.680115,0.5451207,0.7493609,3.421195,1.296888,2.863702,1.674927,1.251391,2.550595,1.662139,2.000029,4.004059,5.205092,2.133862,3.147514,1.83525,1.362578,2.366862,1.164515,1.942588,2.634453,0.3844983,1.75762,0.3252134,1.701108,2.275722,1.542439,1.882986,1.722448,1.9562,1.582548,1.277627,0.2480581,0.733483,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.064427,2.921595,2.980189,3.33719,2.703414,1.938208,2.71061,3.011946,2.458047,2.432868,3.270406,1.780606,2.296055,1.873013,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01963,0.9996728,1.022166,0.8414957,2.443971,2.092579,1.955083,2.602583,0.6929207,2.384009,1.868685,1.463899,2.159054,1.409689,2.058085,1.888677,1.076063,1.372741,1.606066,0.8754613,0.7098908,0.626948,1.21619,0.3946921
Spain,,0.4394041,0.5053204,0.3913024,0.5593954,0.3560049,0.6386606,0.6137015,0.5398459,0.3219578,0.6046684,0.252365,0.1461483,0.1443069,0.0691127,0.2001479,0.1901339,0.2494121,0.1597613,0.2076005,0.9926796,0.3103297,0.3413538,0.3987297,0.4991549,0.5868395,0.5638465,0.8251514,0.8546325,1.187809,0.8251668,0.9042926,0.9793639,0.79419,1.331698,0.9131302,1.093036,1.102205,0.8398196,0.8460158,1.050727,0.6899716,0.7784643,0.8199375,0.7991526,0.7744554,0.8008237,0.7829254,0.9110305,0.794681,0.7097278,0.8854873,0.9038159,0.7852981,0.8730429,0.813769,,,
Sri Lanka,3.64987,5.228325,6.550973,5.583038,8.731313,4.838158,4.235287,6.887134,6.903832,6.979211,7.715393,5.8021,4.892101,3.365376,3.181159,4.010682,5.924067,4.029078,3.486232,,,,,,,,,7.841173,,,3.451384,5.956864,6.035722,9.919477,8.412807,9.246004,9.364247,,,,,,,,,,,,,,,,,,,,,,
Sweden,,0.3615273,1.004987,0.8026932,1.036357,0.5131498,0.581068,0.5612902,0.3196116,1.400568,0.3036298,0.2993813,0.6594394,0.5799427,0.9906987,0.4148193,0.4586451,0.8000401,0.7174734,0.9897787,0.5726903,0.6001807,0.8130763,0.9638146,1.307842,0.8551935,0.6019888,0.4569515,0.9104614,0.846725,0.8426598,1.006621,0.6526086,1.222735,0.5771715,0.8413301,0.9878278,0.6336168,1.175343,0.920866,0.8688917,1.445395,0.7967149,1.629039,0.9424455,0.4699844,0.9804087,1.215328,1.245876,0.8409997,1.161723,0.9543169,0.6062058,0.6834364,0.64891,0.5960806,0.8295008,0.9178723,
Switzerland,,1.117465,0.7729536,1.374975,0.806385,0.5357965,0.6840477,0.5157095,0.6288579,0.2449666,0.7338477,0.7163374,0.2261944,0.6455337,1.341096,0.4392589,0.472578,0.9355225,0.9924101,0.7891285,0.584434,1.048202,0.4202554,1.23198,0.7891835,0.8565097,0.8126851,0.7929814,0.7332534,0.5495737,0.5087709,0.9848481,1.313685,1.193362,0.8674056,0.6375245,0.666285,0.4365171,0.4909828,0.8227806,1.043946,1.120979,1.220181,0.5104076,0.7873545,0.6960863,0.9330412,1.910487,0.280637,0.6590267,0.5579771,1.028926,1.056771,0.7748744,0.4603912,0.4814598,0.5226153,0.4453859,
Trinidad and Tobago,,7.564497,13.02806,12.07253,4.551957,2.474874,18.64424,8.61563,3.873404,,3.550741,4.398496,9.488658,5.613143,,,,14.77081,4.369703,,10.68484,3.985805,2.321319,1.568577,8.494118,8.657238,2.165341,8.00962,4.465352,5.40399,5.472983,10.91555,0.9805316,6.601631,6.020901,10.67343,10.61103,10.57883,8.877131,10.12295,11.71366,11.13976,19.22846,11.81351,12.58227,7.884821,11.10805,3.859562,10.0138,9.919695,11.46306,17.05456,16.04258,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.401629,5.877944,,,4.286098,5.847301,4.654897,10.06428,11.78719,6.617956,7.915825,4.695294,7.076645,7.235782,4.369958,9.049596,5.544812,9.18989,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.188634,6.000701,,,4.830487,3.804671,4.814141,4.924839,6.030408,6.984019,7.160609,8.449063,8.491569,10.3042,11.50219,12.06616,11.06685,11.27485,10.84993,12.26279,12.69882,11.97741,10.6205,10.32108,8.95078,7.997158,,
