"Energy use, per capita (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Benin,,,,,,,,,,,,0.379885537,0.3894989593,0.3891816629,0.3886980126,0.3907942165,0.3698777086,0.3736130222,0.3785664642,0.3752039073,0.3746076113,0.3640850169,0.3665286045,0.3665297665,0.3652845483,0.3726083142,0.3660373598,0.3611835378,0.3603984832,0.3520770903,0.3480551679,0.3418402267,0.3383274589,0.3343533258,0.3302209651,0.3268419599,0.3694250329,0.3726526959,0.3576440994,0.3627778982,0.3041926659,0.3137093111,0.3275299673,0.3346629493,0.3367877875,0.3275248348,0.3747682682,0.3953433763,0.3924894507,0.3998959052,0.4128140773,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1002237207,,,,,,,,,,,,,,0.2801992528,0.3094223661,0.3127403914,0.3543519208,,,,
Bolivia,,,,,,,,,,,,0.2362821803,0.2549001223,0.2630909492,0.2749757824,0.3109790009,0.3325338432,0.3472156715,0.3676289147,0.3955605141,0.4566892019,0.4690208873,0.4827251266,0.4483482334,0.4377402751,0.4230169384,0.3912774321,0.3546328984,0.3624214462,0.3774732012,0.392071172,0.3949575232,0.40871671,0.4201227648,0.4527632618,0.4976750536,0.5400293442,0.5793272788,0.5915454527,0.5500819408,0.4498713653,0.342423457,0.4079057587,0.4182543358,0.4032375007,0.5656730247,0.6889638173,0.5675443232,0.6178648446,0.634814903,0.7373625722,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.628893943,1.519336811,1.131637759,1.00790835,0.4145143661,0.4484225854,0.5279507465,0.8005657805,0.9622174621,0.9201477299,1.176660896,1.120660714,1.167209895,1.163301934,1.272274405,1.33352993,1.401901,1.403685439,1.577568701,1.601534683,1.703368138,
Botswana,,,,,,,,,,,,,,,,,,,,,,0.7512433572,0.7608728371,0.7425862982,0.7313537951,0.7484678345,0.7941381088,0.7655758047,0.8734507888,0.9055481014,0.9123281666,0.9011569505,1.008784756,0.9844094136,0.9448685798,0.9430374039,0.8942220996,0.9174634968,1.018018539,1.030956284,1.044621926,1.046575161,1.059886522,1.041910206,1.002679994,1.02791638,1.028819431,1.054540502,1.100672082,1.020428184,1.127809681,
Brazil,,,,,,,,,,,,0.7086818545,0.7419846977,0.7939654248,0.8254159144,0.8420177654,0.8625772818,0.8713758893,0.9053252166,0.9402703584,0.9354342236,0.8766765682,0.8708661551,0.8723967755,0.9082017641,0.9494211987,0.9737897182,0.9920343434,0.9868186473,0.9887671979,0.9370612026,0.9391504343,0.9339850099,0.9426597016,0.9773280948,0.9954832604,1.032483948,1.068571775,1.077933111,1.085591411,1.07437364,1.077923565,1.091558412,1.095123276,1.14181462,1.157274861,1.184935618,1.240032188,1.296541229,1.243310053,1.362548955,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,1.353018854,1.285972547,2.39953883,3.957877618,4.72787126,5.981257046,6.213063315,5.588957889,5.6130469,7.134949815,6.650792757,6.945261077,7.129261981,7.982864011,8.136229171,7.237571464,7.220750971,5.730618325,6.453074513,6.990238969,7.706786399,8.04994865,7.552270466,6.885276596,7.984061544,7.805005586,7.855299515,7.635297358,7.600386668,7.502654142,6.818521421,6.512572273,7.394155477,6.689675032,6.337750569,8.785170543,8.79538453,9.433509663,7.971322259,8.308442796,
Bulgaria,,,,,,,,,,,,2.228687051,2.262786549,2.378253739,2.463244052,2.66545943,2.780331763,2.954266739,3.084452042,3.200498984,3.203610097,3.185509537,3.309206425,3.370132324,3.387274223,3.419767677,3.450941716,3.411073395,3.488292754,3.426942205,3.276160494,2.558563486,2.409947514,2.601000695,2.522169418,2.752944986,2.74872298,2.505528227,2.427488614,2.227484172,2.286094589,2.429710452,2.415492825,2.49246679,2.425198373,2.576983036,2.663625111,2.626143051,2.596119577,2.306130903,2.370149194,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2539708859,0.2589161154,0.2570013589,0.2863464331,0.281114334,0.2741529671,0.2710794738,0.3109676111,0.3159367303,0.256879871,0.2572255261,0.2537274661,0.2546856196,0.2541862469,0.3510809883,0.3553723568,
Cameroon,,,,,,,,,,,,0.383813359,0.3820817023,0.3801017474,0.3798247187,0.3872987573,0.3815957108,0.3961988478,0.3969655269,0.3996212547,0.4012702027,0.4091393969,0.4158638942,0.4185494194,0.4199716462,0.4237835772,0.4175964022,0.4129753733,0.4136727984,0.4165524044,0.408909286,0.401373546,0.3946326126,0.397377025,0.3974940137,0.394316651,0.3943095613,0.3988434728,0.4009078404,0.3948463758,0.4024460864,0.3980205536,0.3972584247,0.4031276563,0.4054182204,0.3977164442,0.3745756097,0.345489504,0.3409175161,0.3605728242,0.3627185194,
Canada,4.251209992,4.307820754,4.451560116,4.69412007,4.903607607,5.153932412,5.272664705,5.55729174,5.871520391,6.09110001,6.476388529,6.530335513,6.933606617,7.123379372,7.100548006,7.150106812,7.272550047,7.409530005,7.538842944,7.837769659,7.831853698,7.542270683,7.160591064,7.052768188,7.342138316,7.439592861,7.492587391,7.64168791,7.855536271,7.934115015,7.50395736,7.388958113,7.480140597,7.641687898,7.834319293,7.861733256,7.95670193,7.965586183,7.837738587,8.010802218,8.171664755,7.975108697,7.914378739,8.27231355,8.364289233,8.424041161,8.236769937,8.251849719,7.945846493,7.433973511,7.379626041,7.426204193
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08342631224,,,,,,,,,,,,,,0.1906663467,0.2093541108,0.2132699935,0.2132403633,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,0.8924425833,0.8904305381,0.8420086801,0.8225368218,0.7325412136,0.7644696445,0.7813241505,0.7982101474,0.832520458,0.8478877506,0.8484910968,0.7659727703,0.7793278587,0.8065804968,0.7914837628,0.8133246406,0.8255056143,0.9186693053,1.012067223,1.062294067,1.066699828,1.132508303,1.13975192,1.204196646,1.272910783,1.388590853,1.532958137,1.566306288,1.643178961,1.632591107,1.582738045,1.619848364,1.61861974,1.705521978,1.739198046,1.791676041,1.837582352,1.804632441,1.738908783,1.806740429,1.876648026
China,,,,,,,,,,,,0.4642255664,0.4761190875,0.4825271141,0.4848142322,0.5256407008,0.5349618109,0.5744706266,0.6175234348,0.6194519017,0.6097829062,0.5975160174,0.6071333839,0.6222564521,0.6513542758,0.658779644,0.6716321169,0.6947767083,0.7211094569,0.7248020704,0.7682612305,0.7440671631,0.7596888246,0.794515249,0.8214099938,0.8683059497,0.8899795729,0.9108695502,0.9193259897,0.9039910101,0.9366746758,0.9451616999,0.988813702,1.117901328,1.252319951,1.342446009,1.458438314,1.528830173,1.574831307,1.689465024,1.806757929,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,0.6336077235,0.6194456705,0.6090442034,0.6305971519,0.6442044347,0.654648449,0.6587664463,0.6411358764,0.6118516862,0.6588794022,0.6525610538,0.6563458685,0.6630553329,0.6706147083,0.6665093439,0.7104991604,0.71951621,0.7263310694,0.7177327782,0.7295235618,0.7233903982,0.7260253761,0.7454415866,0.7577086575,0.7570964217,0.7617817939,0.7261763279,0.7473380945,0.656998465,0.649169833,0.6359855355,0.6135812978,0.6166963729,0.6134493152,0.6292792254,0.653790323,0.6294835669,0.6489815242,0.6749750362,0.6962990541,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0407576114,,,,,,,,,,,,,,0.05432385968,0.05754509514,0.06358251118,0.06041833063,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,0.3204080482,0.3196960918,0.321829053,0.3214657107,0.3204066463,0.3159576477,0.3162655607,0.3154819553,0.3197101277,0.3133410983,0.3196687151,0.3114962811,0.3228482555,0.3299728384,0.3206094236,0.3176040333,0.3208363192,0.3225247326,0.3198945321,0.3240747063,0.318105335,0.3107855505,0.3037261974,0.2936719218,0.2968097551,0.297779918,0.2959544061,0.2966730408,0.2957106355,0.3360901097,0.3381578698,0.3398934136,0.3420311139,0.3449200909,0.3477510706,0.3504825946,0.3530223495,0.3559886874,0.3569675017,0.3601742236,
"Congo, Rep.",,,,,,,,,,,,0.369567445,0.3712421396,0.363963038,0.3599509503,0.3557026562,0.3783084906,0.3496106864,0.3528282384,0.3424928264,0.3446472611,0.3449963794,0.3557438933,0.384178979,0.362059255,0.3668396158,0.3509055738,0.3473408941,0.3255856714,0.3308720084,0.3246939389,0.3246830197,0.3168023439,0.3119821348,0.2739842975,0.2836444901,0.2698146484,0.2506249911,0.2446039439,0.2293796272,0.2596402865,0.2749583765,0.2640487479,0.2969073488,0.2960959323,0.30648507,0.3179786698,0.3241564655,0.3283591466,0.3592521947,0.363456767,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,0.6080553811,0.6209031004,0.6439490596,0.6180249461,0.6382693971,0.6256774078,0.6728817793,0.6971729328,0.6949440238,0.6516313219,0.6002311793,0.5703439165,0.5452098188,0.6079739357,0.6198081714,0.6149186251,0.6330472496,0.6219883246,0.6503312913,0.6603373026,0.6719243604,0.8169678642,0.7099123573,0.6808155892,0.6768805143,0.6632257502,0.6533786078,0.6373544409,0.6861329128,0.7548298369,0.7444844372,0.7756598567,0.8164395191,0.9160075125,0.8971864614,0.9546941682,1.012895813,1.014460904,0.9938468107,0.997831027,
Cote d'Ivoire,,,,,,,,,,,,0.4340794793,0.8704756874,0.8367264018,0.8085902015,0.7856176273,0.7734571298,0.7377576901,0.7245125567,0.688107158,0.6552435982,0.6161895131,0.5791503678,0.5372626176,0.5132379899,0.5014527633,0.5101853671,0.4910008516,0.4704721558,0.4578743566,0.4290122091,0.4159671648,0.4206722878,0.4114339929,0.4005368476,0.3820128499,0.4061235082,0.3985923302,0.3833616472,0.4371963633,0.4061202463,0.3837937131,0.4043194177,0.3768463019,0.5245759605,0.5346092819,0.5204221832,0.5487778195,0.5413207042,0.4884490078,0.4849344405,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.881560879,1.615707539,1.500761074,1.488523276,1.475468172,1.506008567,1.606902982,1.702156387,1.785746279,1.745987703,1.755916403,1.786461937,1.855540991,1.980309685,1.985800631,2.000694957,2.011977928,2.097819883,2.043194181,1.961570106,1.93194115,
Cuba,,,,,,,,,,,,1.212722261,1.150655462,1.208225134,1.260961652,1.276343226,1.323513355,1.423088225,1.493648783,1.52522215,1.526950621,1.52532076,1.54001458,1.614249045,1.572682872,1.55113526,1.533974764,1.580195139,1.640942073,1.777097036,1.673461599,1.382711723,1.211208298,1.006593464,1.025872519,1.013968156,1.095880742,1.120210529,1.047345543,1.084952615,1.157995456,1.130008093,1.049571677,1.040520773,1.006897838,0.9559132459,0.9628479012,0.8996065824,0.9329048217,1.038045295,0.9752908582,
Cyprus,,,,,,,,,,,,0.9456252707,1.188394307,1.230911389,0.9245209309,0.8689634692,0.9982149509,1.074127654,1.123291842,1.207986708,1.261322227,1.231936918,1.247662592,1.290385596,1.327093562,1.30665348,1.460298766,1.635431843,1.642095173,1.67575689,1.774998924,1.77328844,1.95712539,2.054539371,2.35328026,2.040748214,2.217653734,2.130767279,2.176077766,2.14639591,2.265444284,2.19908849,2.187357762,2.335979939,2.148956592,2.150063628,2.202987393,2.292581468,2.401262394,2.326628903,2.215189277,
Czech Republic,,,,,,,,,,,,4.618409322,4.613786367,4.55129806,4.193165332,4.341517325,4.437675558,4.712894636,4.425816273,4.702689408,4.556294899,4.567884794,4.633321396,4.645879117,4.740471953,4.763049333,4.838664342,4.976938855,4.874748486,4.736513939,4.797088845,4.346515203,4.220820219,4.089088085,3.960538678,4.017612622,4.150402981,4.18111571,4.051144057,3.795603888,3.990673676,4.110546573,4.168162246,4.351064065,4.454836406,4.390544273,4.470123674,4.436276291,4.304306768,4.011767989,4.192823109,4.067961407
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1.922973673,2.02330839,2.296289563,2.502927644,2.600155821,2.822734845,3.067427832,3.061110107,3.203752279,3.699530444,3.971430728,3.728538022,3.858592122,3.781757201,3.489606459,3.453207222,3.745561839,3.83010381,3.894637761,4.020036542,3.735144086,3.38143445,3.422374805,3.2331601,3.353461203,3.774112085,3.823479934,3.819829593,3.642003651,3.414251156,3.377480456,3.735077599,3.562086062,3.645701908,3.759519072,3.705397838,4.17003067,3.848240801,3.772290322,3.60270014,3.489698697,3.583439747,3.535165351,3.726408357,3.59496592,3.485343298,3.724566842,3.618512377,3.495098952,3.32298177,3.470398723,3.141668102
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23129817,,,,,,,,,,,,,,0.1675615883,0.1719516012,0.1736106896,0.1703490249,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2985025802,,,,,,,,,,,,,,0.5645056233,0.5948494741,0.6113537118,0.6283426367,,,,
Dominican Republic,,,,,,,,,,,,0.5047687104,0.5728451432,0.5860676684,0.6010013545,0.598593246,0.6036242431,0.6029750404,0.6039325843,0.6131056283,0.5927880797,0.5993980867,0.5983209123,0.6485036028,0.6755125789,0.5619413121,0.5734487537,0.6347893122,0.5875473475,0.5621275431,0.5699509887,0.5621874415,0.6517046887,0.6515976253,0.7240182937,0.7445176786,0.7623212736,0.829213051,0.8710403283,0.8788630724,0.9085870558,0.9076501996,0.9168321905,0.8982616445,0.7986775415,0.8282449113,0.8673864434,0.8758084649,0.8474591896,0.8259127524,0.8399952857,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,0.3734631399,0.3797868925,0.3684152807,0.4384721314,0.4728713009,0.5076239405,0.5826235285,0.5832989172,0.5954793438,0.6323618392,0.6430080005,0.6756780944,0.6133879547,0.6443368843,0.6353244101,0.6168032266,0.6145990772,0.6300173048,0.5854067209,0.586828122,0.6045461675,0.6059706967,0.5470562801,0.5710712894,0.6291440314,0.6722285269,0.6699831536,0.6957571943,0.6422285365,0.6508111001,0.7011447386,0.7211251455,0.7643828238,0.783545056,0.8183037421,0.80079097,0.818234028,0.7844938442,0.803688529,0.8363025423,
Egypt,,,,,,,,,,,,0.2116543961,0.2285732579,0.2086319536,0.2286572759,0.2446407047,0.2784885915,0.297480602,0.3009492014,0.3233506596,0.3372718984,0.3837695372,0.4103464332,0.4440048705,0.4804197937,0.5076458817,0.5093220912,0.5295509811,0.530015439,0.5523083564,0.5688145695,0.5585474945,0.5625491955,0.5743677115,0.5442218986,0.5682624222,0.5929604358,0.6067378034,0.6384118526,0.6409848598,0.6010266108,0.6633669837,0.6722390935,0.685051671,0.7349469074,0.8453632231,0.8755527786,0.9232711674,0.9175237233,0.8955587611,0.9031455906,
El Salvador,,,,,,,,,,,,0.4566233954,0.4756540335,0.4902488524,0.4893732866,0.5341315956,0.6036656942,0.6103674848,0.6340126314,0.6073842271,0.540981899,0.5754819729,0.5857286997,0.5552833961,0.5592869284,0.5253004071,0.4504143721,0.4963725352,0.4573069226,0.4626431022,0.4629259596,0.5014219689,0.5152908372,0.5341054615,0.5577147579,0.5858337835,0.5542772623,0.6084061199,0.6217234932,0.6415249022,0.6679783277,0.6958335924,0.7066638857,0.7353164829,0.7268902294,0.747886171,0.7796704479,0.729736326,0.7339851619,0.6855964274,0.6769158305,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.291976521,2.055158547,2.401814065,2.731637927,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2755407553,0.2895938144,0.2982006319,0.3105690485,0.3209552144,0.3120311877,0.1973418617,0.1981637822,0.1930133145,0.1945527221,0.1883314255,0.1940125437,0.1721887307,0.1700543115,0.1500160251,0.15017648,0.1368855231,0.1423162583,0.1417158196,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.315931184,5.775853544,4.285641883,3.451955254,3.660812136,3.504607297,3.890793547,3.864938712,3.692955194,3.498681354,3.442558132,3.605754266,3.466146393,3.833975222,3.915059031,3.836514753,3.749644039,4.191668306,4.05787234,3.543534106,4.154514271,4.140230597
Ethiopia,,,,,,,,,,,,0.2890398057,0.2865550672,0.2865024912,0.2864521773,0.2861221609,0.2890090416,0.2927160458,0.2984048536,0.3028516428,0.3057548348,0.3074753778,0.3060524295,0.3054724874,0.3028842303,0.3014681973,0.3023681079,0.3047523634,0.3046123102,0.3056508213,0.3075791017,0.3068954493,0.3012673929,0.2865705868,0.2873006365,0.2875706558,0.287119976,0.2846080533,0.2856232213,0.2841371107,0.2842286632,0.2875342676,0.2873667548,0.2884563254,0.2888700866,0.2871469072,0.2885202548,0.3925982762,0.3959093738,0.3983960462,0.4002646862,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3923807301,,,,,,,,,,,,,,0.8130855498,0.7026902826,0.6750832683,0.6273443103,,,,
Finland,2.196953067,2.25277869,2.361743876,2.478912009,2.678383166,2.887694106,3.065438676,3.126426045,3.342703258,3.668523299,3.872223019,3.939211088,4.188160677,4.507556984,4.383848118,4.181810657,4.459859609,4.516248068,4.664523176,4.963535508,5.146642299,4.934588468,4.805493882,4.823858831,4.910523018,5.269892371,5.482578423,5.960692586,5.590436514,5.753639283,5.691571186,5.742784229,5.380993068,5.617215378,5.972554273,5.661903876,6.070212094,6.276951692,6.319326601,6.283958258,6.226394259,6.389239569,6.694238047,7.047664173,7.098452958,6.529458668,7.086903667,6.957264518,6.638822531,6.227017847,6.78721199,6.35882532
