Primary school completion (% of girls),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Macao, China",,,,,,,,,,,,,,,,,,,,,96.51601,,95.88875,95.06963,,,,,,101.31086,106.19098,105.43392,104.24566,98.76982,103.54409,97.32223,102.64068,96.8486,97.56181,93.01196,99.42411,102.61409
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,97.58741,98.94828,100.50736,,102.21665,99.87689,97.66367,101.42248,95.68065,95.35008,96.59332,92.47784,92.85767,93.70455,93.01888,,
Madagascar,,23.76587,26.03855,27.13524,,29.75503,,,,,,,,,,,,,39.71547,36.71649,36.80707,36.62721,33.71835,35.78775,33.56091,31.76935,32.61586,,31.4504,34.49347,37.27808,37.19884,37.16615,41.0651,47.34152,59.17991,58.03015,62.31528,69.09501,76.29351,73.22854,73.95546
Malawi,,,,,13.17333,13.4535,14.39957,17.45184,19.7539,21.34538,22.34514,24.50891,21.67707,25.70434,25.1548,26.58843,26.51458,26.45481,21.17206,22.00975,24.37189,27.79944,32.33821,34.14373,37.56128,49.38972,58.46171,,,62.97988,61.84212,64.18915,65.43324,,57.50788,57.74351,58.32552,59.84461,64.43769,67.28835,69.65712,72.44721
Malaysia,,,,,76.02292,,,,,,90.75063,88.88409,89.60295,94.05264,94.28,93.51003,,92.10555,92.00739,89.35191,87.70451,88.98554,,92.03985,,,,,97.56319,94.26871,,,92.26869,92.52763,96.30945,98.92446,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7733,130.28603,,112.584,114.40461,105.08701,
Mali,,,,,,,,,,8.6331,,7.35172,,,7.39561,6.93994,,6.66036,6.4174,,,,,,,,,,,,22.74754,24.78524,26.9334,29.65846,31.39892,32.87592,37.41011,40.1807,43.54655,45.67925,48.6542,49.52963
Malta,,110.98797,113.85267,111.1631,113.19588,100.4315,75.54702,106.2963,98.81319,108.95176,112.5059,128.52535,111.95556,107.93651,108.04455,103.40729,100.99048,104.4518,98.43639,96.89655,96.53415,96.12113,97.48299,102.65216,99.42197,92.24517,95.0555,89.26649,94.90037,97.38006,101.79187,99.50877,100.21452,98.90431,97.19626,94.0613,,95.04831,96.27329,91.01412,97.01293,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.17639,,,118.23802,98.28767,,104.39122,116.09658,119.12351,111.43411,108.7037,,101.16861
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,5.72025,5.39766,6.20578,9.42123,,16.23184,,,,21.77335,24.37726,22.54482,28.53208,25.3428,21.32991,25.62591,25.0585,27.64662,27.1752,27.9229,29.65765,33.69195,40.21891,,,43.18353,41.78123,,,42.98352,44.24076,56.72536,,71.89408,75.99682,
Mauritius,,,,,,,,,,,,,,95.35274,91.19565,98.02563,125.87014,93.95805,94.18217,63.87697,110.71869,117.10962,119.22387,113.23981,106.62875,97.63969,91.21411,86.49308,89.82778,92.80742,94.83871,97.66402,95.75199,98.33333,97.00501,96.31392,93.76315,95.6031,93.79775,91.85396,96.338,95.58106
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,65.38403,67.19925,73.06218,,,,,,,,,,,,,,,,91.25312,92.98107,96.158,97.57597,97.49423,,97.97197,98.85821,99.28522,99.96794,99.03129,100.19958,100.51759,101.34438,104.13633,104.70667,104.13561,105.45877,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,94.83847,,,,,,97.5408,96.39881,95.16994,96.50727,99.41259,97.64873,92.87085,90.48338,91.46501,92.65368,90.17375
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,77.02893,82.17146,80.90282,90.53347,87.77226,88.07197,92.97524,100.01907,101.88347,97.1831,97.15483,109.53153,109.32974,,,108.62789,115.703
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.26566
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,20.19211,20.8897,21.73814,,27.03998,30.15991,33.17044,34.93264,36.60726,37.93722,38.13424,38.35023,45.0426,44.28836,44.64475,40.75631,35.40762,42.07974,39.08359,38.10341,38.50797,38.77223,40.1246,41.24816,42.9574,45.5828,48.04217,50.77815,53.47603,56.42511,62.7946,71.62196,76.89804,80.26943,79.80282,78.34002,77.90809,81.89988,86.65187
Mozambique,,,,4.90527,,,,,,,,,22.27693,18.0531,22.12459,23.35992,34.60567,25.43482,18.99929,19.44142,20.85363,21.23398,20.09663,20.01242,19.9541,20.31609,,,,11.05785,12.56704,14.42439,17.31921,,23.78978,34.23358,34.20186,39.04196,51.6495,50.35596,55.44424,51.58005
Myanmar,,31.74529,30.10472,37.13071,36.17722,,,,,,,,,,,,,,,,,,,,,,,,,72.32942,79.02396,80.40864,82.2923,85.53409,88.24678,,,99.71613,100.28292,101.2954,106.1852,
Namibia,,,,,,,,,,,,,,,,,,,,,,,81.3756,,76.39771,,,,101.77263,99.84819,97.43244,97.9923,98.36547,97.75262,90.32597,89.39215,86.50668,86.06281,83.41458,88.14952,84.96944,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,41.6265,,,,,,,54.56055,56.9304,58.82559,63.14468,,,,,,,,,
Netherlands,,99.56216,97.78593,98.41194,97.50321,97.19852,97.49081,95.96697,95.07965,94.04307,94.72714,99.54022,100.59217,98.89593,96.69085,91.80173,,,,,,,,,,,,,,98.61464,97.68486,98.18341,100.21406,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,100.6254,104.0425,105.91636,104.74127,101.06092,98.51152,98.16126,100.80919,102.14399,103.2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,26.59332,30.41511,31.0886,34.25822,,,,38.4968,37.88057,33.65648,38.69911,,35.10016,34.18437,33.2052,36.42575,44.20671,54.53989,55.89275,,,,,53.87548,58.76736,53.79403,,,,70.2196,70.18132,71.26398,77.37279,75.61359,75.31428,77.81127,78.43628,79.79047,79.67073,,84.01096,
Niger,,3.46869,4.35244,4.4588,4.62405,4.88825,5.34772,6.13736,7.28985,9.57787,10.79142,11.00259,11.59844,12.57342,13.80754,14.02065,15.49737,16.21411,,10.90859,11.25852,13.20068,13.78382,13.25792,,10.32225,14.54947,14.20017,,15.05406,14.92696,15.4382,16.98123,16.8888,21.16863,23.28219,25.87356,31.58022,31.86,34.07332,35.5394,39.63087
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.18459,71.76532,75.06845,80.51109,71.96312,64.49895,66.26536,69.6903,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,103.72967,,97.94477,97.86726,100.09976,101.15797,101.18496,101.70872,100.74692,99.07968,99.95413,100.93658,,100.83923,100.07288,96.46998,98.79542,96.48531,95.03585,95.52606,100.06277,101.18289,99.53748,,,,,97.76509,97.10226,98.7835,101.90929,102.62609,103.87128,102.75797,99.60346,98.60849,97.51715,98.3547,100.32489,99.00087,
Oman,,,,,0.71136,0.76887,2.79108,,7.58592,11.95984,,,,22.56511,28.34207,28.75676,34.49928,37.535,44.86141,52.28939,59.60087,,66.93633,,68.18863,70.90139,74.13306,77.53154,78.94029,80.51429,78.19149,81.48746,85.04909,88.83365,,,,,,99.65682,102.44274,107.68276
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.56378,51.43498,53.49888,53.46942,54.50233,59.26097,59.02622
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.36145,,,,,,,,,,,
Panama,66.30917,70.20101,74.92446,80.92677,82.86819,85.47264,100.74263,94.94634,92.71932,90.82094,87.41706,84.5456,84.36327,85.19254,80.3643,83.31195,84.18596,85.3692,84.40381,86.51444,,,,,,,,,,91.21216,93.36104,94.72449,95.88949,,97.21539,96.40406,93.79092,98.46349,101.37907,100.90382,97.08029,101.28228
Papua New Guinea,,,,,,,,,,,,,,,,,,38.59719,41.09077,42.05228,40.58501,39.38196,39.39236,,45.02168,45.67625,,,46.42439,,50.50846,,,,,,,,,,,
Paraguay,42.12649,,44.6229,46.29731,47.59361,48.35047,49.52215,50.74662,51.49928,,53.57125,56.71562,58.48573,61.2372,63.13432,64.90569,63.92352,64.27701,63.75426,64.07777,65.25866,69.35138,72.89401,76.648,75.81154,77.9765,82.1157,,93.39199,90.7347,92.7335,93.31718,94.15983,96.498,95.41954,95.95262,94.69324,95.54136,95.14081,94.77099,91.3505,
Peru,64.64457,,,,,,,76.65722,75.98329,76.35755,76.94871,74.98902,,,,,,,,,,,,,,89.77562,,,97.58728,102.95625,101.28095,96.65988,96.50324,,,,101.44217,103.34836,101.98673,98.6544,100.06866,96.96431
Philippines,,,,,,,,,,,,88.78948,,93.72249,94.44522,93.00716,90.78511,88.35317,86.34543,87.425,,,,,,,,,88.28633,89.86378,,106.49032,99.18691,99.59272,98.01854,98.31529,95.76413,94.67851,95.27304,94.22781,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.57163,95.03012,
Portugal,,,58.0663,61.2449,68.22745,72.79764,68.08262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,50.85288,62.56158,68.53726,67.61658,74.32981,75.15198,73.90071,91.91176,93.29114,91.78657,86.19128,90.85239,,87.51169,89.33873,88.49894,76.14116,80.09845,78.66232,76.29179,74.23729,70.55068,68.60375,68.93863,67.99304,58.669,,97.56627,98.09501,,,,93.59401,,87.5198,87.12397,97.81575,100.12227,100.2291,,95.63797
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,91.97982,,,83.3167,,,,,,94.06165,95.12435,94.66772,91.44401,96.75195,102.31643,105.79178,100.29841,116.01544,90.37662,91.31116,92.58633,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,93.84052,91.8386,,,,,,,,,,,,,,,,
Rwanda,,16.92198,18.00388,20.62378,21.1048,23.35012,,25.55646,,,33.82591,44.13024,43.24341,42.74724,43.88712,45.8218,42.72195,43.08029,43.6543,44.06833,43.57423,45.13913,48.06807,,,,,,,28.99061,21.01061,22.35528,28.5777,39.15924,39.44996,,,,53.20353,71.43619,73.79851,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,103.85439,,,,,,,,103.82979,104.79303,106.95067,90.09217,113.23877,109.63855,,94.73684,85.55556,95.47414,88.65546,98.32285
St. Lucia,,,,,,,,,,,,,,113.43991,107.75656,,,,,,120.25704,109.72136,,112.0122,,,,,,,,99.77728,105.60538,101.18778,99.59931,95.6446,104.89965,101.02163,97.98042,92.95511,87.15013,93.15515
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.10275,99.73094,114.02715,115.46203,,,104.82955,,91.67473,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.43985,95.81201,96.27561,94.5237,99.09502,101.92566,,,108.76242,,98.16555,102.61757,102.73369
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99363,107.28477,
Sao Tome and Principe,,,,,,,,57.89474,,,,,,,106.79245,,,,71.29691,,,,,,,,,,,49.44568,,,66.53249,61.59461,74.93143,76.37627,,73.22154,76.83049,86.16601,89.1537,116.96941
Saudi Arabia,,,,,,,,,,31.36117,,,,,,,,,,,,,,,,,,,,,,,,,,90.52618,,92.23329,94.23212,94.64746,92.14532,
Senegal,,19.96553,20.15231,,,,,,23.74237,24.63804,23.01681,23.76153,23.74134,25.14178,26.323,25.45331,27.89795,,32.03436,32.61275,33.41032,,32.04285,,31.69341,,33.76711,34.46568,37.09447,,34.0108,38.33725,41.85574,42.5751,45.27226,50.09154,48.69941,50.54852,58.87262,60.51212,60.58286,64.58143
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.68998,104.79945,95.88169,96.60488,98.78332
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,84.32203,95.7359,105.46667,,104.36954,104.28397,105.04926,104.05904,108.95706,,99.3932,93.93564,93.70277,103.46154,100.7772,100.13004,110.31332,109.07895,95.46667,101.48448,,115.86022,103.22148,104.72335,99.18256,,,,109.375,113.91542,107.11354,112.46537,114.5686,118.1552,116.99545,127.66615,,120.59748,126.09428,126.22951,131.569,
Sierra Leone,,,,,,,,,16.60292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.26104
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,95.85383,97.56216,97.24358,95.03113,94.47288,96.1189,94.86429,93.32445,97.76849,95.033,95.45939,94.75049,90.25555,90.02255,93.1476,96.04847,98.70019,99.07372,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.44835,100.22617,99.21332,94.2255,96.67979,95.25056,100.25391,112.303,,,,94.44803,94.65457,95.66615,
Solomon Islands,,,,,,30.30165,,,,,52.26749,51.97822,46.25551,45.36772,,,46.56042,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,80.20453,,,,,,,92.77866,87.40051,87.44871,,93.56082,96.54216,99.05107,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,99.85246,99.38525,100.06203,103.18548,104.51119,104.50046,103.12973,105.49878,101.3089,100.55434,,,101.79867,102.37385,,,,,,,,,,103.84399,,97.5326,98.64053,100.31773,102.49604,102.64254,
Sri Lanka,63.63033,,,,,,,,,,,,,83.47619,,83.13145,84.05212,88.4124,,94.06314,97.14283,99.42768,99.44721,,,,,,97.74042,,,106.39247,,,,105.03719,103.95047,101.52506,96.75586,95.59424,100.67012,
Sudan,,9.06852,18.29927,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75607,34.74024,36.00214,37.65011,40.0427,,,,,47.70831,54.85969,,
Suriname,,,,,,,73.21648,86.09248,77.55212,81.84342,,,,,,94.54094,,90.07092,87.18466,96.23181,,,,,,,,,,,,99.82643,,,,91.3976,99.9548,80.92048,93.3514,90.89261,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,40.35936,38.47581,39.12901,47.8462,53.26742,56.72646,58.85424,57.9826,58.00162,56.99556,58.44973,59.25926,61.65938,63.52172,63.99645,64.75823,65.51511,63.86463,67.48396,65.5962,66.46402,64.0171,64.5666,62.94151,63.96096,66.06345,63.15073,64.52524,64.8891,62.44937,62.48425,59.3372,63.60341,62.83095,64.86191,68.40067,68.22978,70.77358,,72.4457,78.20287,
Sweden,,96.35165,95.66131,92.48676,92.44598,93.89165,97.32696,105.21466,104.71596,104.76275,103.06124,96.76821,91.83269,94.17628,97.91789,,,100.57391,98.2148,96.15575,96.01564,96.486,100.85722,107.18265,105.28758,,,,,100.48362,100.36656,102.24643,102.46193,106.43183,103.0123,99.96876,95.93724,95.91131,94.48742,94.13455,96.6338,
Switzerland,,,,,,,,52.63612,59.35588,57.35559,55.64733,52.8666,52.23238,52.70264,52.18177,50.85899,50.27709,50.1197,49.07847,50.7,51.59286,53.8969,55.77962,60.56923,61.67899,,73.0467,,,97.02785,98.19026,98.8111,99.3219,99.77013,100.58737,97.9992,95.08792,93.77574,94.46918,96.88598,97.26371,
Syria,,35.87818,39.08394,40.2406,45.12566,47.45742,51.37614,55.06927,58.07594,56.47939,56.55805,59.51076,64.40441,67.65307,71.29773,75.47769,78.95678,80.18803,80.95183,86.26309,86.17995,88.05282,92.51312,84.67226,87.02666,87.40774,89.64867,89.08154,89.55567,90.26717,89.86667,90.88581,91.41192,105.56568,105.8854,106.44178,105.74349,103.02075,102.88719,103.22126,103.10131,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.13423,88.00806,93.59908,95.86711,93.65647,90.8192,,103.99385,92.80384,,99.17964,102.29803,101.85052
Tanzania,,,,,,26.06798,28.38471,,,,,66.77595,78.22801,85.60101,116.19905,,71.48693,69.42399,64.13354,47.12543,,,54.44709,57.31599,,,,59.06406,48.60268,58.64865,,56.00492,60.10742,,57.96206,54.19695,71.47928,81.36033,,103.13363,92.13363,
Thailand,,,,,,32.97573,35.33066,35.9495,37.30339,,,69.42038,,,,,,,,,,,,,,,,,,87.04242,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.59285,68.06982,66.9425,
Togo,,13.19914,16.5608,,,,23.2445,,31.3187,32.5149,34.01297,31.99659,31.43973,30.96285,26.08797,20.60827,21.19131,20.08663,24.75588,19.24106,23.74307,24.16816,25.10829,,19.81308,28.0279,32.43189,,,42.2752,50.96652,57.89154,,60.85017,63.36233,62.98991,63.31738,,57.25276,57.62123,63.72449,66.82501
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,79.98501,95.35055,109.12409,,126.76168,108.69205,,114.12078,95.41041,101.2624,,,,119.84127,94.53925,,117.94454,,,,,108.28625,110.831,,105.0391,103.56537,,,109.08326,106.49789,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,109.39189,,,91.78703,,,100.74828,,,104.68058,102.57408,98.61399,,,88.59255,89.24276,,95.20213,87.65583,81.81681,,85.7046,93.04537,91.96489,,93.38731,90.05023,92.08127,91.17317,
Tunisia,,,,41.893,,,50.31686,52.8706,54.61312,46.12222,47.40284,63.47165,50.37152,52.62609,56.72917,58.32836,61.68956,62.79692,63.57394,68.15819,74.14357,68.83705,,69.96011,77.34031,87.68625,86.28628,88.63125,,87.91731,86.72625,88.10657,92.76525,96.09634,99.19026,101.72894,,101.51381,92.75877,91.97363,,
Turkey,,,,,,,,,,,,,,,80.49796,83.33745,90.5417,89.15033,101.19526,86.553,86.99581,88.73235,93.61187,86.86219,86.79037,85.93915,,,,,,,,,90.38039,95.11421,93.4201,93.24417,96.14213,98.17798,99.73379,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.54545,91.89189,90.59406,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.14953,108.25688,101.92308,104.62963,106.25,110.34483,109.2437,,,,,
Uganda,,,,,,,,,,,,,27.98275,,,,28.18015,,,,,,,,,,,,,,,53.27977,56.65873,56.60773,54.06466,53.70978,,51.26265,56.88817,57.83021,56.45044,54.18406
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,98.95046,95.0924,,,,,93.83638,90.95707,94.57665,97.42517,,,116.54638,104.55208,102.17759,100.62898,97.32506,97.77072,97.03789
United Arab Emirates,,,,,33.9137,42.58893,46.82179,54.44583,57.39658,63.57232,68.14059,71.81576,79.49577,80.99974,80.76648,76.21805,80.92676,81.09387,77.54711,83.01732,90.25391,96.62997,95.80702,93.89494,93.02787,90.84143,87.65512,91.1692,90.02533,90.02405,86.90022,83.74964,86.82662,91.2157,96.2062,100.78155,101.36929,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.01365,102.05438,98.64533,101.04295,102.61931,103.75253,100.26424,96.14198,99.09253,101.44458,102.04852,99.53498,103.99037,
Uruguay,,,,,69.51485,,69.00856,71.90199,71.0434,71.29566,74.61983,,,,,89.0399,91.32238,94.69105,94.58329,94.74655,97.30748,97.4908,95.08669,97.00993,97.63874,96.02926,96.71683,,94.86624,97.75496,99.88225,97.14814,97.66936,93.77218,93.12763,97.71516,100.97113,105.73136,108.12536,106.41026,104.05555,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.97754,100.98162,96.58864,94.7444,96.43731,98.4251,96.42169,95.63958,92.24964,91.92424,91.68095
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,82.03046,,,,,,,91.19241,94.40249,105.57249,103.45121,,89.65798,,,83.37147,81.8827,84.42653,,
Venezuela,,,,,,,,,,,,,,,,,,,83.97135,84.20274,,86.36737,90.01223,89.00726,,,85.38072,84.61017,,84.75582,86.23217,87.91204,94.37268,91.95669,92.54759,94.8627,98.77942,99.89733,96.5069,96.46218,94.92863,96.4178
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,88.96526,89.86888,90.65607,,99.51361,98.09537,98.56304,94.40158,97.40746,90.42418,92.72796,,86.80834,87.80155,89.93839,92.55729,91.72106
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.31074,95.86657,101.02356,98.09576,96.62985,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36713,36.34977,37.91426,39.38473,43.48181,44.38005,46.35572,,,50.79643,,53.04948,53.29811
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,52.19457,54.90464,58.63927,60.74106,61.32354,64.19715,69.30915,68.5892,68.48815,70.41655,72.61819,74.80253,77.92163,,80.77734,,,,,,,,,,,,60.9486,58.53344,57.22657,,56.74318,,69.26927,73.78142,83.31598,86.88768,90.86807,85.16099,108.27183,
Zimbabwe,,,,,,,,,,,,,,,75.50539,,,,,,,,,,,,,,,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
