"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bangladesh,,,,,,,,,,,,0.00007145811589,0.00007354331023,0.00007750269583,0.00007870735617,0.00007728527126,0.00008026602521,0.00008148335368,0.00008117560064,0.00008173490392,0.00008366007159,0.0000829803082,0.0000860768227,0.00008895179068,0.00008875377923,0.0000912046689,0.00009438670078,0.00009011269609,0.00009817424585,0.00009960186938,0.0001022034026,0.000100660081,0.0001031143912,0.0001061382678,0.0001082370121,0.0001087497529,0.0001080578206,0.000107026713,0.0001097568847,0.0001134737416,0.0001169514695,0.0001226135208,0.000124667672,0.0001285530588,0.0001329090383,0.0001375955183,0.0001491340209,0.0001537421034,0.0001608136471,0.0001689307319,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003255541585,0.0003378766655,0.0003399229148,0.0003127352607,0.0003346452443,0.000323026609,0.000324710665,0.0003250480039,0.0003144932925,0.0003469073219,0.0003497533757,0.0003595577738,0.0003692825017,0.0003607724679,0.0003673812387,0.0003881263523,0.0004006310639,0.0004122187515,0.0004165311564,0.0004198157205,,
Belgium,0.001529308409,0.001457220427,0.001426900268,0.001431591773,0.001415580112,0.001309326712,0.00115245755,0.001080395399,0.0009697169203,0.0008613835214,0.0007398313833,0.0007084970553,0.000677335078,0.0006688580531,0.000630811606,0.0008137504946,0.0008849233662,0.0009220132757,0.0008412811403,0.0007739222816,0.0008218136408,0.0008302396225,0.0009213086021,0.001113424367,0.001231669991,0.00141823278,0.001491081644,0.001467218778,0.001357820413,0.001306382341,0.001317214793,0.001300479485,0.001272021733,0.001206306686,0.001155510066,0.001184022953,0.001223658255,0.001325228667,0.001294143357,0.001370281595,0.00134968411,0.00130488821,0.001316272001,0.001329417978,0.001327404392,0.001335383705,0.001314658253,0.001363439601,0.001371882088,0.001436870189,0.001433352446,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,0.0003445661363,0.0003439376884,0.0003432035655,0.0003422447678,0.0003411802786,0.0003397784852,0.0003383744043,0.0003372753389,0.0003362427945,0.0003355628933,0.000393410315,0.0003945826203,0.0003386495611,0.0003333736377,0.0004115211527,0.0004185316235,0.0004035921555,0.0003843333314,0.0003714395809,0.0003715734537,0.0003655212515,0.0003484998537,0.0003473453293,0.0003381108405,0.0003276853294,0.0003302480168,0.0003152327461,0.0003005266862,0.0002821249342,0.0002217307654,0.0002217136263,0.0002227515626,0.0002199839888,0.0002194317777,0.0002190391966,0.0002321135683,0.0002323043503,0.0002321532603,0.0002319936208,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,0.0005313318659,0.0008557534412,0.001006857678,0.0009590163793,0.000895660763,0.000895703441,0.0008345992891,0.0007890695727,0.0007568275826,0.0008155059299,0.0008249176343,0.000844274495,0.0008424413405,0.0008140543279,0.0007930873278,0.0007642865696,0.0007112939086,0.0007279232871,0.0007302915594,0.0007393911687,0.0007413896494,0.000725224715,0.0007212199315,0.0007627042139,0.000772781416,0.00077819117,0.0007426291267,0.0007513163892,0.0006376631352,0.0006672086833,0.0007343683734,0.0008154961356,0.0009129396837,0.001198155566,0.001522360579,0.001574207825,0.00163917704,0.001680905978,0.001452367697,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00106872968,0.001039632855,0.0009265121693,0.000850640361,0.0002189849776,0.0002451497525,0.0003355768509,0.0006375923457,0.0007402077703,0.0007258925463,0.0008327656998,0.0008258381643,0.0008769625542,0.0009212283129,0.0009491825424,0.0009643954075,0.001048345034,0.00104448359,0.00115222391,0.001187415183,,
Botswana,,,,,,,,,,,,,,,,,,,,,,0.0005846881901,0.0005960033916,0.0005767174255,0.0005684193694,0.0005849401802,0.0006048895473,0.0005754748322,0.0006673025164,0.0006816800095,0.0006586336085,0.0006572855567,0.000709513258,0.0006978215011,0.0006900254395,0.0006681131936,0.0005993321443,0.0005972154808,0.0006575492735,0.0006512103202,0.0006408925295,0.0006254956012,0.0006190233632,0.0005619560828,0.0005498501007,0.0005666360821,0.0005550508837,0.0005080107287,0.0005304467619,0.0004734246882,,
Brazil,,,,,,,,,,,,0.0004989940945,0.0004997047417,0.0004963284802,0.0005068930748,0.0004981706751,0.0004888792018,0.0004923373514,0.0004923086621,0.0005094165126,0.0005287135854,0.0005340841997,0.0005573476474,0.0006139193301,0.0007050984051,0.0007515204398,0.0007333470239,0.0007439258079,0.0007249031959,0.0007319010762,0.0006961755201,0.0006886707777,0.0006775975806,0.0006731026745,0.0006944238291,0.0006924822106,0.0007217466065,0.000756958769,0.0007881327914,0.0008227345701,0.000850114846,0.000860212158,0.0009338839862,0.0009817986233,0.0009933203707,0.001047476408,0.00109852025,0.001139933046,0.001191397585,0.001191776321,,
Brunei,,,,,,,,,,,,0.05076415541,0.06814487429,0.09165718784,0.09063806744,0.09111343913,0.1082295782,0.1111301386,0.1071791963,0.1110987507,0.1116553936,0.0855806729,0.08434924317,0.08307056228,0.07702133783,0.07333230769,0.06941478463,0.06704297799,0.06355836428,0.06234188861,0.06204053148,0.06308649082,0.06566920545,0.06259019357,0.06247069149,0.06298365065,0.05945739061,0.05758495501,0.05433014003,0.05813345367,0.06019000355,0.05937523179,0.05932652488,0.06077569523,0.05829389537,0.05799764818,0.06026479476,0.05495658957,0.05491726953,0.04833462894,,
Bulgaria,,,,,,,,,,,,0.0006687296631,0.0006515081938,0.0006336785584,0.0005936384583,0.0007038880797,0.0007262680915,0.000747220883,0.000763920044,0.0008289688753,0.000873117595,0.0009597106312,0.001049370827,0.001079319379,0.001110381835,0.001063547377,0.001102569734,0.001122928087,0.001177506568,0.001142498834,0.001090020258,0.0009725996719,0.00102095504,0.001085770005,0.001115110454,0.001232324441,0.001290356921,0.00124617956,0.001249293137,0.001135497142,0.001238677403,0.001309585429,0.001349416027,0.001303988065,0.001318587964,0.0013759833,0.001435302594,0.001305201784,0.001349447171,0.001302729907,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002597005542,0.0002581985046,0.0002572468583,0.0002568118745,0.0002568419231,0.0002572957437,0.0002573476625,0.0002580434966,0.0002587191922,0.0002593828343,0.0002604223641,0.0002616021268,0.0002629029697,0.0002610259658,0.0002624106062,,
Cameroon,,,,,,,,,,,,0.0003492430495,0.000346857095,0.0003444765189,0.000343847444,0.0003431822398,0.0003416380947,0.0003450919311,0.0003996694032,0.0005693288722,0.0007362683865,0.0008602400292,0.0009373398185,0.0009437587608,0.001213010236,0.00118678744,0.001146876848,0.001127277526,0.001045791068,0.0009786128734,0.0009010490181,0.0008561434309,0.0008412605436,0.0007894519979,0.0007688296113,0.0007027398979,0.0007188613103,0.000745571391,0.0007513110802,0.0007172747598,0.0007108351056,0.0006668028908,0.0006720549046,0.0006492689845,0.0006296359969,0.0005985979278,0.0005716340653,0.0005038586875,0.0004958818746,0.0004614652975,,
Canada,0.003187751204,0.003514031523,0.003979850955,0.004157670422,0.004416515673,0.00455937266,0.004823134519,0.00507594084,0.005410369413,0.005881008968,0.006665886382,0.007068051146,0.00791339053,0.008765113517,0.008387118406,0.008104230129,0.00777800128,0.008014758222,0.007968767715,0.008665054091,0.0084604474,0.008102265662,0.008102661544,0.008199887838,0.008955667598,0.009334840884,0.009154592545,0.009515984197,0.01012405165,0.0100258269,0.009881187634,0.01016693294,0.01036560511,0.01100563037,0.01166707603,0.01190540065,0.01211360948,0.0122301185,0.01213398628,0.01199474312,0.01215319119,0.01217342407,0.01227778236,0.0122176571,0.01245504006,0.01242336264,0.01258918064,0.01262542436,0.01218405735,0.01157548559,0.01163475784,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,0.0005479208391,0.0005447000035,0.0005032852805,0.0004967642873,0.0004784103474,0.0004902582836,0.0004918385208,0.0004889203721,0.0004551411165,0.0005188994506,0.0005475128656,0.0005512307593,0.0005537274417,0.0005669240722,0.000562254026,0.0005697115818,0.0005651012507,0.000569279837,0.0005744979503,0.0005664612827,0.000587577624,0.0005978455186,0.0005582680936,0.0005543169647,0.0005445079801,0.0005381895511,0.000532952611,0.0005086683686,0.0004922220361,0.0005263424605,0.0005516344958,0.000545083623,0.0005072546994,0.0005010445253,0.0005442989902,0.0005560288783,0.0005109367055,0.0005391917987,0.0005484187446,0.0005583710536,
China,,,,,,,,,,,,0.000471227268,0.0004834474881,0.0004911311234,0.0004970071288,0.0005432956436,0.0005499027924,0.0005886803609,0.0006309500396,0.0006375573578,0.0006260071927,0.0006143665374,0.0006311425022,0.0006529176071,0.0006893100601,0.0007036709436,0.0007105516076,0.0007194368766,0.0007359065163,0.00076094186,0.0007739218105,0.0007709924437,0.0007760721568,0.0007912022307,0.0008259575948,0.0008782450319,0.0008939059482,0.0008849372452,0.0008688344021,0.0008429378739,0.0008383681658,0.0008559478093,0.0009107882653,0.001018475904,0.001148210729,0.001241143192,0.001314682244,0.001380642563,0.00149799534,0.001561859266,,
Colombia,,,,,,,,,,,,0.0008860356123,0.0008113929804,0.0007505311349,0.0007204972887,0.0007124782534,0.0006810125598,0.0006654658594,0.0006813429792,0.0006706401764,0.0006588627696,0.0006712293945,0.0006977870325,0.0007169190675,0.0007746116551,0.0008312483232,0.001072961998,0.001264849289,0.001258722098,0.001353236415,0.001451034793,0.001375041326,0.001404265879,0.001404263901,0.00143203291,0.001648742363,0.001770329695,0.001789264338,0.001914300463,0.00195640439,0.001843205488,0.00180507524,0.001681295373,0.001779795099,0.001797405055,0.001846533216,0.001935809609,0.00197514985,0.002079636279,0.002171766273,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,0.0002845608449,0.0002843680129,0.0002851374021,0.0002827390821,0.0002846443694,0.0003354805298,0.0003296268705,0.0003179831927,0.0003217716122,0.0003176177676,0.0003218347965,0.0003244716109,0.000329153637,0.0003408747404,0.0003433210112,0.0003413609335,0.0003384429993,0.0003344756892,0.0003329071391,0.0003301299618,0.0003229706924,0.0003158582337,0.0003086986945,0.0003074491456,0.0003108521183,0.0003124975784,0.0003098484807,0.0003092849413,0.0003107749105,0.0003528186119,0.0003566838292,0.0003561827516,0.0003589144528,0.0003627047029,0.0003615447453,0.000362280948,0.0003631589621,0.0003627107788,0.0003636273512,,
"Congo, Rep.",,,,,,,,,,,,0.0002430873257,0.000473539391,0.001667019767,0.001895029745,0.001426211721,0.001567162063,0.001363259862,0.001694399625,0.001849304622,0.002123457072,0.002482377184,0.002692631584,0.00298807462,0.00323382532,0.003082185251,0.00306068379,0.003152349942,0.003398814315,0.003726765404,0.003661171534,0.003579166222,0.003725435641,0.003986232116,0.003688327865,0.003677866554,0.003985932619,0.00431131598,0.004593594923,0.004777697266,0.004650734604,0.004230940177,0.003992140284,0.003586069475,0.003640154218,0.003861022247,0.004232001612,0.003354099006,0.003452943549,0.003875670248,,
Costa Rica,,,,,,,,,,,,0.0003555443077,0.0003567936307,0.0003507831315,0.0003460778052,0.0003414808191,0.0003418607816,0.0003214284225,0.0003235656881,0.0003230671565,0.000327309039,0.000325436159,0.0003187993456,0.0003264608615,0.0003793310419,0.0003726926961,0.0003569878694,0.0003560489464,0.0003458707946,0.0003321606502,0.000336080567,0.000335482268,0.0003959983863,0.0002948409099,0.0002879859879,0.000277168558,0.0002795311905,0.0002820292835,0.0002546496825,0.0002891514664,0.0003264450727,0.0003164954011,0.000346347727,0.0003469942347,0.0004930861117,0.0005361878752,0.0005740877078,0.0006189898145,0.0005904731936,0.0005898527269,,
Cote d'Ivoire,,,,,,,,,,,,0.0002898410422,0.0002882842334,0.0002844889507,0.0002827179602,0.0002806099541,0.0002770359585,0.0002725651441,0.0002690233908,0.0002722155868,0.0002845426736,0.0003204015176,0.0003555489882,0.0003716537949,0.0003586135388,0.0003621852938,0.0003504179275,0.0003318997226,0.0003070191011,0.0002731292241,0.0002702159257,0.0002670373895,0.0002829450659,0.0002843056363,0.0002841503185,0.0002894011801,0.0003418512315,0.0003512006453,0.0003409191831,0.0003709140658,0.0003625947908,0.0003535958734,0.0003799893124,0.0003884822326,0.000538384003,0.0005897778063,0.0006516448589,0.0006167494353,0.0006012090795,0.0006145053759,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001136609625,0.001055983013,0.0009449475859,0.0009820216947,0.000875003998,0.0008955316137,0.0009114017505,0.0008903113035,0.0008767923222,0.0007925972932,0.0007955012204,0.0008372079739,0.0008307100763,0.0008408775594,0.0008711191899,0.0008564990975,0.000936457086,0.0009175256637,0.0008951556303,0.0009217457169,,
Cuba,,,,,,,,,,,,0.0006037141645,0.000558087676,0.0005781869437,0.0005908275123,0.0005910949653,0.0005878765075,0.0006298000398,0.0006805446902,0.0007009637656,0.0006647156307,0.0006652762854,0.0007207882994,0.0007324550515,0.0007473017548,0.0007372864363,0.0007647877015,0.0007695529378,0.0007801044711,0.0008273908144,0.0008926152528,0.0007838243061,0.0007807766656,0.0006068706846,0.0006185180426,0.0005674737485,0.0006094639191,0.0005941130556,0.000549795226,0.0006240149644,0.0007124946856,0.00073275412,0.000734855398,0.0007156898862,0.0006658587428,0.0005585851984,0.0005306531912,0.0005155156941,0.0005058262229,0.0004941167372,,
Cyprus,,,,,,,,,,,,0.00001468951846,0.00001452224027,0.00001435945226,0.000006392257695,0.000009627368376,0.00001205440294,0.00001190969781,0.00001212825928,0.00001235940188,0.000009127510904,0.000008731039586,0.000008699146564,0.000008325337897,0.000009480038178,0.000009568711705,0.000009452607819,0.000008978013198,0.000008170735516,0.000008012248702,0.000008004820893,0.000007073643782,0.000006858938413,0.000006678813665,0.00001397626627,0.00004960697853,0.00004941272929,0.0000467276185,0.00004730970124,0.00004716673294,0.00004691008318,0.00004624527552,0.00004564566465,0.00004818391118,0.00004929681455,0.00004941398192,0.00004917426012,0.00006878940986,0.00007694886077,0.00007759843664,,
Czech Rep.,,,,,,,,,,,,0.004068228933,0.004024694496,0.003890893633,0.003931147405,0.004051685015,0.004134043554,0.004280557308,0.004128241932,0.004229888765,0.004015684777,0.004018373867,0.004064510184,0.004122578312,0.004185561297,0.004142038749,0.004232825476,0.004339264129,0.004279023557,0.004118994635,0.003970603582,0.003743191655,0.003515084555,0.003464191642,0.003224169758,0.003140981441,0.003208991916,0.003249537781,0.003063386572,0.00280342445,0.002992557569,0.003066669561,0.003080379744,0.003284728394,0.003385521285,0.003220729567,0.003271494628,0.003272564327,0.003162560532,0.002988454209,0.002996055546,
Denmark,0.0002172613472,0.0002021150328,0.0001977093287,0.0001929201345,0.0001705450405,0.0001648926949,0.0001542622025,0.0001114615177,0.00006755821309,0.00003814416653,0.00007663617048,0.00006638727362,0.00008704167724,0.00008498549109,0.00008879738475,0.0001040269537,0.0001173853592,0.000179098367,0.0001716926595,0.000189945157,0.0001858965775,0.000304935365,0.0005030540559,0.0006053921099,0.000690893477,0.0009735927071,0.00127250902,0.001593955192,0.00162192582,0.001858032754,0.001960950852,0.002311867148,0.002497802028,0.002675818329,0.002896157784,0.00297863573,0.00336165556,0.00383588097,0.003847028737,0.004470215326,0.005194295497,0.005066696104,0.005322724465,0.00528766733,0.005760150214,0.005776300299,0.005428996091,0.004951883389,0.004842909407,0.004328239341,0.004181270317,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,0.0002614153747,0.0002615013814,0.0002468684453,0.0002480202239,0.0002441049114,0.0002527792202,0.0002421432092,0.0002451422103,0.0002469723995,0.0002290025982,0.0002623953159,0.0002854938775,0.0002833217094,0.0003029770023,0.0002085046756,0.0002085078364,0.0002086693522,0.0001702543632,0.0001433584664,0.0001433028302,0.000142170264,0.0001793882376,0.000189682818,0.0001870289026,0.0001817662752,0.0001804909837,0.0001787188271,0.0001657573624,0.0001762305626,0.0001653825021,0.0001715924905,0.0001707293731,0.000171252456,0.000176613711,0.0002025755518,0.000200853028,0.00019951586,0.0001947181713,0.0001930864118,,
Ecuador,,,,,,,,,,,,0.0002250576765,0.0008369226261,0.001825559619,0.001527005414,0.001370851972,0.001524529129,0.001465226579,0.001541447347,0.001539721991,0.00147684269,0.001473402814,0.001420689242,0.00158222072,0.001686912082,0.001757634046,0.001762191265,0.001104499761,0.001747307422,0.001598873215,0.001605546837,0.001647186858,0.001711393669,0.001797629949,0.001923200634,0.001943632688,0.001889842123,0.001866237529,0.001792691068,0.001765142834,0.001834884714,0.001831473396,0.001738895932,0.001825459548,0.00221876203,0.002191191877,0.00219127125,0.002087758591,0.00203082379,0.001915921646,,
Egypt,,,,,,,,,,,,0.0004450500368,0.0003211420113,0.0002560883124,0.0002249401308,0.0003302303296,0.0004476560904,0.0005508538006,0.0006453107618,0.0006606069067,0.000744754624,0.0007855799543,0.0007973192221,0.0008453256195,0.0009496187839,0.001010816898,0.0009223995933,0.001002097844,0.0009496232666,0.0009627117581,0.0009652690666,0.0009582348861,0.0009585665618,0.0009960102914,0.0009699880297,0.0009636458509,0.0009294187603,0.0008985665297,0.0008758345091,0.0008925939722,0.0008343997071,0.0008274973511,0.000867607585,0.0009011493441,0.0008876618131,0.001036470832,0.001055158361,0.00106936453,0.001117000219,0.001106251059,,
El Salvador,,,,,,,,,,,,0.0003270601874,0.0003286690875,0.0003297413158,0.0003366472983,0.0003687683718,0.0004395722054,0.000445220871,0.0004655514632,0.0004487001526,0.0004107265848,0.0004541061392,0.0004687598329,0.000439851439,0.0004426954712,0.0004019547676,0.0003261889051,0.0003510901129,0.0003163188051,0.0003146379283,0.00031736755,0.0003172820342,0.0003179409834,0.0003105135039,0.0003095043628,0.0003124032315,0.0003146750451,0.000316930186,0.0003146506429,0.0003387851724,0.0003567969995,0.0003829266948,0.000387643734,0.0003985585143,0.0003966958887,0.0004114457733,0.0004330755832,0.0004754016969,0.0005073484068,0.000513671545,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002222087871,0.0002224517779,0.0002220662303,0.0002273597877,0.0002315170995,0.0002336450728,0.0001405008482,0.0001401449482,0.0001384562992,0.000139351282,0.0001377621338,0.0001359734652,0.0001115469522,0.0001114038637,0.0001107750875,0.0001104293558,0.000110275631,0.000110145002,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003454039886,0.003052505524,0.002915277614,0.002161507155,0.002325470206,0.002232463161,0.002642397447,0.002623379761,0.002332406751,0.002168248111,0.002320452541,0.002326040139,0.002487534681,0.002889266285,0.002751230488,0.002874146362,0.002787222534,0.003282495813,0.003148217965,0.003098238783,0.003651708248,
Ethiopia,,,,,,,,,,,,0.0002729511416,0.0002721940664,0.0002717102507,0.0002720854832,0.0002736467991,0.0002765989171,0.0002806188708,0.0002850662054,0.0002889507109,0.0002915910848,0.0002926949409,0.0002927059673,0.0002918208592,0.0002906210531,0.0002892810683,0.0002886433745,0.0002884200458,0.000288617707,0.0002892138747,0.0002907331454,0.0002907613166,0.0002908252705,0.000273761733,0.0002729543471,0.0002717554515,0.0002704073534,0.0002688482552,0.0002698049806,0.0002688444653,0.0002679222391,0.0002676564989,0.0002671519739,0.0002670397377,0.0002670598464,0.0002673239545,0.000267875397,0.0003700603548,0.0003723410114,0.0003741079858,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
