Homicide 15-29 all,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Totalt
Canada,0.8335851,1.000322,0.8763133,1.152905,1.439969,1.104629,1.169488,1.161623,1.489014,1.399343,1.652011,1.18039,1.623797,1.628746,1.683869,1.58822,1.470311,1.912337,2.27242,2.552695,2.344238,3.003422,3.295372,3.170145,3.351237,3.792732,2.835334,3.471611,3.380983,3.204773,2.415422,2.832338,3.087052,2.747091,2.809504,2.901714,2.4559,2.733688,2.469666,3.120091,2.907129,3.314114,2.70293,2.4366,2.719995,1.990398,2.309096,2.123798,2.045911,2.011634,2.271514,2.503383,2.486367,2.689629,2.574565,,,,,125.7013634
Chile,,,,,,5.106838,6.267487,7.705025,6.766331,4.713476,6.581548,8.230132,1.876953,1.841509,2.943148,2.134113,8.534018,2.223685,9.28052,6.201651,4.898324,4.646112,5.818244,7.514633,2.438599,2.421128,2.002396,1.991659,2.965488,2.926873,2.684691,4.100163,3.847468,4.247282,3.716119,4.45163,3.879217,3.475179,4.257954,3.672392,3.910697,4.471334,3.841087,3.956599,3.828588,4.687464,4.781295,3.544347,4.225706,4.539413,9.26424,9.6851,10.43596,9.402828,8.122251,9.497106,,,,254.556
Colombia,,,,53.02692,43.94409,57.37079,64.35046,71.19821,89.17268,66.81716,54.60849,60.93595,60.16179,53.98287,46.58535,47.83033,41.1297,40.22662,31.0227,25.87656,,,34.74573,,35.35129,33.37614,35.20806,41.0426,,,,,,,54.1406,69.99442,82.36956,79.11977,94.41367,110.0879,123.6926,157.4473,157.0214,155.5666,147.4078,114.9418,117.1026,103.4253,113.4261,116.6472,128.329,131.4523,138.635,,89.47441,75.74243,70.45811,,,3518.86036
Costa Rica,,,,,,,,,,,,,5.958642,5.193942,6.306856,4.333102,8.087045,3.054346,4.174332,6.033228,2.386829,8.208691,4.22904,4.181816,3.629779,8.112761,11.01095,7.035954,5.517795,5.316415,9.853152,5.319113,5.871716,6.474623,6.886659,7.379647,5.894259,6.043852,5.611936,4.603437,5.655521,4.667152,6.802302,6.777938,7.949958,7.529294,6.659817,6.725073,8.536245,9.420696,10.16923,9.194109,7.752441,10.29645,8.342102,9.551315,10.78065,,,303.52021
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.497341,1.90548,2.253227,1.784911,2.658496,2.164033,5.208191,6.071533,5.999623,4.31613,4.390326,3.281717,2.063426,3.704583,2.064163,1.610856,1.437966,1.114627,1.512151,1.29216,1.01073,1.845287,1.020554,1.890078,62.097589
Cuba,,,,,,,,,,,,,,,11.55945,,,,7.884313,6.924103,7.048196,8.348384,7.223587,6.035898,6.390884,7.029197,6.841705,7.605607,,,,,,,,,,,,,,,10.21918,12.09587,13.5006,13.09542,10.78717,12.14279,11.82866,8.3075,8.529531,9.281932,9.132262,9.159134,8.321132,9.295581,7.289161,6.932562,,242.809809
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.347489,,,,1.121603,1.663951,2.177061,0.9964336,,7.3065376
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.102002,1.249875,0.9030416,1.089608,1.909286,2.351757,1.78081,2.480658,2.00875,1.374193,1.820259,1.501363,1.920014,1.44111,0.9977459,1.542172,1.164124,0.9096469,0.9042732,0.6416945,0.5537248,0.9055294,1.166543,31.7181803
Denmark,,0.231916,0.4343546,0.9062341,0.4535145,0.448132,0.5591238,0.546999,0.5616933,0.4369768,0.7222489,0.1993274,0.1947588,0.9227558,0.1753918,1.042996,0.2714873,0.3712377,0.4366102,0.6978068,0.92254,0.9954157,0.2473439,0.8398935,0.9062796,0.503006,0.5220784,1.063608,0.7024939,1.495888,1.580675,0.9500627,1.925974,1.124128,1.46521,1.461264,1.032572,1.347313,1.593742,1.090731,1.523071,1.532031,1.334099,1.59564,1.030117,1.413551,1.730927,1.175541,0.485978,1.497897,1.341995,0.8609067,1.067927,0.6080286,0.7328814,1.361482,1.350567,,,52.0264232
Egypt,,,,,,,,,,,,,,,,,,,,,,,,2.283016,1.625996,1.559902,1.766883,2.173694,1.18955,0.9301071,0.8963344,,,,,,,0.5562612,,,,,,,,,,,,,0.1302082,,,,,,,,0.1460174,13.2579693
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2221,106.3073,,,208.5294
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12458,7.956604,,,7.392147,7.013633,6.769829,6.181746,11.15068,13.42201,12.51873,25.31032,31.47781,31.26698,30.37096,22.32133,15.72474,15.79046,11.40007,13.98146,10.36913,5.764361,8.554396,3.974977,5.805951,3.984316,5.250804,3.585474,326.463498
Finland,,,3.784534,2.944255,3.027361,3.051877,2.494096,1.911907,1.474942,1.274367,3.06718,1.783254,2.493068,2.201406,2.189167,1.598111,1.110903,2.224073,1.732355,3.138094,2.280785,2.440965,3.397658,3.225842,2.647161,4.056827,3.891942,2.701345,2.56259,2.770564,3.344729,2.884753,2.227355,1.99595,2.281306,2.516038,3.201251,2.948427,2.380916,2.845969,3.368613,2.687181,3.845054,3.289,2.370133,3.371562,4.22739,2.338193,1.860437,1.555777,2.987003,2.062384,2.573375,1.716009,2.313826,0.994332,1.996965,2.226238,2.797799,146.684594
France,0.6292834,,0.4883406,0.4514869,0.5775391,0.5662073,0.8622047,3.551718,3.631684,2.696851,2.173913,3.348762,1.895267,0.6528865,0.9182832,0.8427384,0.6958032,0.9040375,0.7575814,0.6650723,0.6726269,0.7433444,0.7751721,0.8024084,0.8276616,0.9626864,1.029997,1.040083,1.021106,1.184266,1.099107,0.9613073,1.198332,1.320151,1.346111,1.093001,1.259124,1.091914,0.9174951,0.9379636,1.009557,0.8807668,0.9555001,1.2114,1.205454,1.03054,0.9989462,0.8618795,0.7093304,0.5429366,0.7785432,0.9938081,0.8923353,0.7765399,0.6657442,0.7513956,0.8064192,0.7005805,,62.3651939
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.439755,2.319306,,,2.499766,1.86444,2.980925,3.270667,5.654176,2.870979,2.042561,0.3886238,,0.2397457,0,0.6579074,2.289434,7.73691,5.247313,3.519983,4.15609,,,,,,,,51.1785819
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9839643,1.198011,1.275107,1.255535,1.214615,1.343319,1.380145,1.040711,0.908842,1.017761,0.7878515,0.7163299,0.7330018,0.6542633,0.697796,0.5774671,0.5261329,,,16.3108528
Greece,,,,,,,,,,,,1.310376,1.4328,1.009007,0.9647322,1.334864,1.009345,1.074781,0.7790213,0.8827725,0.775629,0.7401916,0.5315816,0.93528,0.636327,1.298179,0.8708789,0.6505008,0.6149628,0.9776152,0.8760313,0.9066993,1.236692,1.119793,1.214795,1.513356,1.137254,1.0057,1.316499,1.029759,1.602567,1.835194,1.147707,1.113268,1.188573,1.604967,1.473266,1.642648,1.019356,1.140881,1.099983,0.8002921,0.6567047,0.9486303,1.048002,0.8502229,0.8584953,1.012604,1.472093,51.7008778
Guatemala,,,,,,,,,,,,,,20.22389,19.65022,15.55157,25.71192,37.53155,29.50072,23.52126,32.0024,33.7223,,,0.6696273,,,1.60654,,37.93574,162.2116,190.3089,,,5.041438,,35.1785,42.74009,42.9757,35.3233,32.19016,32.20123,31.57397,30.29897,36.87309,33.92525,37.50437,53.05554,47.5688,31.0105,35.2039,37.53821,46.13726,56.29287,56.03633,70.6108,69.46234,,,1528.890855
Hungary,,,,,,2.629281,3.335413,6.956514,4.717681,3.642276,1.706376,2.754232,2.38675,2.085212,2.377408,1.891438,2.074642,1.915905,1.854606,1.776463,2.120059,1.598557,1.342448,1.546878,1.715092,1.417968,1.594805,1.529876,1.755047,1.764095,1.951846,1.561171,2.303779,1.376682,2.092829,2.498895,1.885601,2.055004,2.272443,1.691204,1.981843,2.272917,2.507234,2.517159,1.979408,1.903891,1.605211,2.164804,1.727405,1.629139,1.326256,0.9711363,1.088537,1.315553,0.9610943,0.7411214,0.7960142,0.8542333,1.019632,107.5410645
Ireland,0.3011073,0.1427357,0.3338127,0.5154415,0.3530027,0,0.1864332,0.3431352,0.2023647,0,0.3621494,0.4327624,0,0.1973415,0.7637941,0.1351673,0.9267122,0,0.5393557,0.8606724,0.3529368,0.8684897,0.8845993,0.589866,0.5546982,1.057013,0.5512388,1.626906,1.352888,0.9952242,0.998717,5.822256,1.190847,0.84707,0.9683651,1.079314,1.304933,1.931863,1.10698,1.74392,1.02349,0.4838827,1.332724,0.5729387,0.5945482,1.532818,0.7018073,1.177201,1.853412,1.526172,1.614073,1.696932,2.289653,1.735525,0.9163506,1.564638,2.355668,2.52116,1.261842,59.1789486
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,2.402704,2.992467,2.120246,3.382229,3.15087,2.780308,3.349123,2.956248,3.742615,2.473135,2.878769,2.485941,2.055059,2.216091,4.176031,2.758925,1.027423,1.724787,3.8975,3.48847,2.02351,1.193028,0.8826762,1.135742,2.532807,4.802333,9.2476,10.35584,7.705672,4.561903,4.474221,3.677915,,,108.6521882
Italy,,2.113382,1.812576,1.807888,2.039474,1.641736,2.28695,1.585824,1.544191,1.53496,1.528305,1.227606,1.146631,1.175001,1.013604,0.9561261,0.8431345,0.9001762,0.8707858,0.940697,0.8559242,1.22989,1.218151,1.612904,1.512814,1.657245,2.066139,2.124357,2.161836,2.204263,2.511503,2.897063,3.129059,2.683577,2.13271,2.134777,1.474915,1.954032,2.359558,2.945484,3.359797,3.958703,2.697641,2.009555,1.952551,1.914245,2.111284,1.629888,1.764368,1.680077,1.383262,1.281201,1.21971,1.510589,,,1.140716,1.314035,,98.7628708
Japan,2.405264,2.471389,2.437303,2.502573,2.834411,3.065116,2.528298,2.590825,2.66914,2.684832,2.454415,2.278603,2.064617,1.817735,1.762435,1.548807,1.55089,1.481952,1.366159,1.428413,1.111051,1.07602,1.101114,0.9782241,0.8933636,0.8264911,0.7405728,0.7463452,0.6338406,0.6692358,0.4806895,0.5789366,0.4339942,0.5618522,0.6426597,0.4162951,0.4587563,0.4927946,0.5171815,0.4453807,0.4135263,0.3885117,0.3987836,0.427104,0.4738569,0.4095554,0.4007916,0.4065995,0.40948,0.4017326,0.4485219,0.4027893,0.342182,0.3888078,0.3115315,0.3037826,0.3395803,0.2866845,0.3288804,65.0306775
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.027,11.60754,,,9.052127,7.112569,8.506045,9.495514,13.55721,16.4539,16.79566,19.03346,21.95951,21.44912,20.34202,19.81754,18.94518,18.86488,16.14727,17.54839,15.91675,13.31112,15.80248,16.60265,14.81196,13.30585,13.80062,12.19057,395.456935
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.194952,1.319303,1.352122,1.286341,1.74489,1.977969,1.547957,1.409812,1.426206,1.731981,1.876471,1.98376,2.026561,1.710396,1.22274,1.236216,0.9182063,1.169356,1.136755,0.9208348,1.169828,1.012425,,,31.3750821
Kuwait,,,,,,,,,,,,,,,,,,,,,,,2.272765,,,1.486496,1.039909,0.6161958,1.215776,0.8279925,0.9674585,0.5464659,0.8138267,0.4309418,0.8209515,3.089558,0.475153,0.885363,,,,,,2.262726,3.230489,2.962667,2.718771,2.984608,3.229439,2.300615,1.768824,3.52836,1.602845,,,,,,1.218606,43.2968027
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.546477,7.299226,,,4.602174,3.880185,4.446118,5.217366,7.900607,16.82494,8.7062,11.9067,12.21654,11.70834,9.638787,10.73519,8.637199,8.488521,6.625616,7.628724,5.903166,6.021349,5.183509,5.866134,6.258501,5.961071,4.621867,,194.824507
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.193167,7.129845,4.686816,5.661265,5.672521,5.602603,5.227069,6.304179,6.138986,10.43888,10.15115,11.74615,16.71912,24.57841,20.18388,18.33739,15.83247,13.44428,11.23835,10.66856,7.349791,8.554098,6.958919,7.329747,5.834181,6.011218,6.050116,3.464142,5.041122,271.548425
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.589048,7.871018,,,6.598927,5.275315,4.327487,4.445968,5.870381,7.154371,11.24893,11.59929,11.60314,14.29415,9.3849,11.22718,9.745707,8.74523,7.307148,8.057971,9.431581,7.405931,8.526434,6.793694,6.74544,5.519358,4.942914,4.507157,206.21867
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073625,1.924814,2.164426,2.567857,1.699283,2.952173,1.041335,2.47957,3.093309,3.480118,8.328122,3.540322,4.353522,,,,,,38.698476
Mauritius,,,,,,,,,,,,0.6856302,0.728101,1.211491,0,3.335108,2.007416,1.818764,7.416376,1.508608,2.973359,4.688699,1.43925,0.552251,4.558256,2.087145,0.8225622,1.057882,0.4004506,3.95896,1.719397,1.07707,0.6502471,1.973063,1.362476,0.6806814,0.3403407,2.578027,1.724736,1.918713,1.31081,2.994259,4.510571,1.772699,0.6445692,1.683365,2.399373,2.056767,1.355018,1.323751,2.429859,2.039445,2.675067,2.58844,2.656495,3.305168,1.886777,4.666471,3.84608,101.4200444
Mexico,,,,,,55.51104,52.76741,50.81618,49.26704,52.26915,48.51669,46.527,44.59748,36.07932,36.46543,32.30386,30.71384,30.58148,31.1169,16.27127,27.86893,24.99055,22.96553,21.11281,34.81673,26.43707,24.39373,28.95221,25.88894,26.60019,26.42772,27.33313,28.017,27.05064,24.8493,27.99305,30.2699,29.79916,27.54713,26.84867,23.84809,25.2639,28.61025,26.89128,25.73053,24.83957,22.83074,20.55616,19.67381,16.5072,14.27185,13.76534,13.1588,12.81282,11.88032,12.79661,13.0571,10.47243,,1490.93328
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.687963,6.539947,,,6.458698,4.75453,4.768916,6.454764,9.40136,10.4002,7.831691,17.39051,13.37085,15.47451,16.0646,12.59538,15.70025,11.0585,10.72682,10.07875,10.55175,8.243975,6.461725,4.090586,4.419337,5.07583,4.621835,5.1727,234.395977
Netherlands,0.5766467,0.2896969,0.2088612,0.2100926,0.2535342,0.3790022,0.0842186,0.2498847,0.250097,0.3281024,0.3206588,0.4769232,0.3053425,0.2425738,0.3358044,0.2509086,0.4742409,0.3852469,0.3612642,0.5961546,0.7444622,0.7916753,0.5312556,0.7635443,1.039622,0.8520119,0.9558363,1.594838,1.047275,1.263433,1.195934,0.9898613,1.144643,1.136353,1.05804,1.015549,1.277931,1.136254,1.130834,1.111879,1.331967,1.439395,1.757284,1.952928,1.358591,1.79635,1.867142,2.055916,1.710018,1.832703,1.906094,1.683736,1.832326,1.596324,1.414017,1.14925,0.8417602,1.242051,1.063826,57.1921645
New Zealand,0.9640082,2.148931,0.9508362,1.328299,1.387677,1.769918,0.2152194,0.2391847,1.510298,1.306596,1.067399,1.181536,0.7576301,0.914585,1.688673,1.007622,0.8162555,1.57567,0.6360036,1.163594,1.191143,1.447658,1.262443,0.9444973,1.427195,1.100954,1.482907,1.824626,2.478742,2.567011,1.913087,2.521151,2.026702,2.973815,1.274356,3.466396,3.788788,3.522112,2.708019,3.568577,3.338983,2.781203,3.025141,2.320446,2.59538,2.588354,3.464457,2.374119,2.258895,1.35473,2.263463,2.052734,2.620082,2.771176,1.453531,1.909453,2.407885,,,107.700147
Norway,,0.2943137,0.2565437,0.153801,0.4738437,0.3033301,0.4854243,0.9386028,0.2992687,0.3065573,0.4495561,0.3211268,0.1530958,0.5682294,0.2170519,0.2176009,0.4181597,0.5255824,0.3303989,0.1356773,0.3475429,0.7803043,0.8901682,0.6595623,0.64947,1.186223,0.994925,0.8664274,1.406812,0.7540367,1.610743,2.039551,1.484141,1.693196,0.9291825,1.457516,2.065789,1.328208,1.310184,1.406947,1.518021,0.6059688,1.808624,1.265356,0.946985,1.235484,0.8050966,1.046342,1.460557,0.9588733,1.60965,1.361157,1.62705,1.57781,1.861939,1.160597,0.8012712,0.6690707,,53.0289464
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28408,8.939694,8.349357,11.54097,12.52453,8.25225,,,,,,,14.7373,18.84827,14.53052,16.17401,19.02866,19.24747,21.12643,22.41473,19.62244,,23.46706,,,243.087771
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.53963,17.672,20.70097,17.46384,16.26219,16.13921,21.59516,20.5467,18.81114,20.31055,23.73221,20.24835,14.93609,,,243.95804
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.145376,17.77043,,,,19.46882,18.95259,18.46668,17.84176,19.39641,19.63178,18.19326,,,,,,150.867106
Poland,,,,,,,,,,1.944049,1.712976,1.65056,1.725001,1.163962,1.177379,1.153716,1.111858,1.389699,1.462751,1.381212,1.399626,1.182948,0.9789256,1.117383,0.8204326,0.9591925,1.213856,1.220044,1.22086,0.9101159,,,,1.393037,1.360458,1.197875,1.195414,1.329636,1.128156,1.398103,1.959438,1.943221,1.995867,1.990967,2.02342,2.179862,1.74883,,,1.778533,1.590971,1.250443,1.323666,0.9883739,0.9476054,0.8162231,0.8337452,0.8768609,0.688473,60.8357251
Portugal,,,,,,0.8833098,1.291552,1.038898,0.9760342,0.5707718,0.7647174,1.165033,0.9380143,0.9861125,0.9543739,0.7120688,0.8182307,1.145689,0.7055866,0.6183696,0.4974749,0.8865553,0.6152648,0.8542879,1.180025,3.054168,2.253827,2.20741,1.786693,2.089422,1.392005,1.613619,1.375025,1.911142,1.893055,1.619876,1.492304,1.461396,1.303746,1.951899,1.6259,1.584895,2.053549,1.528959,1.654891,1.943982,1.437619,1.734723,1.435611,1.502797,1.239803,1.449389,2.71418,1.615479,,,,,,68.5297335
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7849,4.553849,4.103122,4.471711,3.918631,3.624268,3.013258,2.913718,2.827254,2.514809,2.849043,2.870789,2.238293,2.287947,2.821167,2.692884,1.719369,1.475827,1.35895,1.685639,57.725428
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.68493,14.46818,14.08763,,,11.67289,8.725964,9.294305,11.66446,15.23024,17.54384,18.87443,27.05449,34.08996,34.76186,33.13198,28.95615,25.4313,24.53487,26.14228,27.45701,27.80475,28.5086,25.66844,23.828,21.40922,17.32114,,,542.346919
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25673,4.393726,3.655262,2.930823,3.122171,2.482532,2.532156,2.427732,1.882404,3.164937,1.992459,32.840932
Singapore,,,,,,,,,,,,,,2.461631,1.902784,6.713932,4.492012,3.00177,3.216316,2.920848,2.815829,3.361734,3.953021,3.23689,3.272176,3.471461,2.404254,2.003926,2.627167,2.624193,2.945452,2.506966,1.313991,2.348315,2.771642,3.164587,2.486885,1.474134,1.965235,2.8346,2.185708,1.391142,0.6215472,0.6495658,1.020306,0.4849575,0.7026204,1.387292,0.5471939,0.5600495,1.594474,0.7345492,0.3087396,0.7222857,0.4546226,0.4048891,,,,92.0616935
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.278076,2.655908,1.485572,1.637771,1.453651,3.308867,1.722668,1.87341,1.864366,1.527404,1.511549,1.160559,0.8763002,1.337422,,,,23.6935232
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8772511,1.731819,1.303456,1.111314,1.315312,1.961101,1.340708,1.767472,1.296122,1.350358,2.258896,2.032223,1.140162,0.6886073,0.9426524,0.6679017,1.424863,2.14699,1.154952,1.850706,1.658713,0.661324,0.9474851,0.4503884,32.080777
Spain,,0.5560305,0.4074249,0.3040009,0.3400032,0.3169273,0.3750351,0.3506146,0.4698425,0.4582472,0.2521212,0.2304199,0.0818869,0.1733716,0.0290855,0.163807,0.2188806,0.0724465,0.0965421,0.2947051,0.474147,0.1558531,0.3003852,0.1463168,0.3752579,0.6100959,0.6461725,0.9928048,1.203362,1.447417,1.307544,1.072302,1.06784,1.396119,1.668299,1.291039,1.415864,1.540357,1.072334,1.092747,1.006363,1.00945,1.103756,0.9805161,0.8900735,1.050952,0.972633,0.8666165,0.9773747,0.8982204,0.9145173,1.130373,0.9571972,1.118391,1.71425,1.118617,,,,41.1769505
Sri Lanka,5.346073,4.204588,4.317296,4.621146,5.505023,5.386172,4.733268,4.149948,5.600031,3.593012,3.060085,2.61085,3.063632,2.56633,2.910313,3.037214,4.626794,2.665187,2.506372,,,,,,,,,9.144793,,,3.240699,3.191722,4.418343,9.410398,6.160065,8.596463,9.202706,,,,,,,,,,,,,,,,,,,,,,,127.868523
Sweden,,0.6822438,0.5235178,0.2213263,0.5880209,0.281755,0.5896047,0.7745412,0.5037594,0.2866723,0.7763172,0.6375685,0.4843984,0.8900192,0.8461628,0.9415718,0.8676683,0.6568772,0.6304777,0.9112283,0.965838,1.156057,1.057212,0.9941706,1.23347,1.731065,1.551545,1.829429,1.142846,1.469191,1.511286,1.74453,1.743867,1.339249,0.9780091,1.210796,1.71667,1.868701,1.635232,2.134363,1.269661,1.232228,1.243499,1.190078,2.020158,1.234522,0.8890697,1.247864,1.318371,1.371275,1.366699,1.291495,1.534141,1.290218,1.218112,0.9213738,0.96321,1.867287,,64.576519
Switzerland,,0.4742353,0.843935,0.4637088,0.9069241,0.7594054,0.2788338,0.4458619,0.3534695,0.7778176,0.9241652,0.5752979,1.164534,0.373948,0.288428,0.2913793,0.2989437,0.7087381,0.7525405,0.3385589,0.4705849,1.196463,0.5155488,0.5207542,1.164946,1.119379,0.8881664,1.114182,0.494726,0.9998406,1.062021,1.656151,1.555312,1.145769,0.796593,1.662186,0.8572276,1.484887,1.486778,1.541596,1.048467,1.100232,1.569566,2.052291,2.153531,1.304358,1.133295,1.700074,0.9845619,1.417755,1.067864,1.514904,0.9735922,0.5281374,0.8703189,1.308406,0.636758,0.7870463,,54.9049942
Trinidad and Tobago,,6.993253,5.701672,10.78716,12.34254,10.97835,7.795163,8.132988,7.353997,,9.537806,9.97545,9.452634,6.189445,,,,13.01362,12.19227,,8.691609,3.664347,7.048173,10.45278,7.765779,5.39031,7.237871,7.49569,6.203883,5.413692,2.372168,2.950094,4.423292,6.998384,7.861031,13.68374,7.023965,11.94452,8.734424,11.22481,6.635968,11.85522,11.93908,14.03782,16.35658,17.35762,15.07445,9.560947,12.15506,13.07641,15.38847,23.82044,21.03817,,,,,,,465.323145
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.398492,7.477943,,,6.223357,5.500333,3.459,6.526232,7.744931,8.3035,7.281613,7.306934,5.815572,6.22325,4.057817,8.203337,6.055999,10.22996,,,,,,,,,,,109.80827
