CME under 5 mortality,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2,106.9,106,104.4,103.2,101.3,100.3,98.7,97.5,96,94.5,93.5,92.6,91.6,87.7,84.4,80.8,77.6,74.5,71.6,68.6,66.4,63.3,61,59.1,56.8,54.4,52.9,50.2,49.1,46.4,44.7
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31.4,31.4,31.2,30.9,30.6,30.4,30,29.8,29.4,29.2,28.9,28.6,28.3,27.9,27.6,27,26.5,25.9,25.2,24.5,23.8,22.9,21.9,21.1,20.2,19.3,18.4,17.9,17.4,17.2,17.1,17,16.9,16.7,16.6,16.4,16.3,16.4,16.3,16.3,16.3,16.2,16.2,16.2
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,339.5,312.3,284.4,259.7,237.3,217.2,198.8,181.3,165.9,151.8,138.5,126.8,115.9,106.4,97.1,88.6,81,73.5,67,60.8,55.2,50.2,45.7,41.7,38.1,35,32.1,29.7,27.4,25.5,23.7,22.5,21.6,21,20.7,20.6,20.5,20,19.3,18.3,17.1,16,15,14.1,13.4,12.8,12.4,12.2,11.9,11.7,11.4,11.2,10.9,10.7,10.5,10.4,10.2,10
Bangladesh,,,,,,,,,,,,,,,,,,,303.6,298.1,291.7,286.8,281.6,276.7,271.6,267,262.3,257.5,253,248.1,243.9,240.3,237.3,234.3,231.8,230.1,228.3,227.3,226.4,225.7,225.1,223.5,221.9,220.8,219.8,216.8,213.3,207.5,199.3,193.1,186.2,183.1,179.1,172.1,165.7,159,152.8,148.1,143.7,138.8,134,128,121.9,116.5,110.8,104.5,99.2,93.9,89.3,84.4,80,75.7,71.7,67.7,64.1,60.7,57.4,54.3,51.4,48.7,46
Barbados,,,,,,,,,,,,,,,,,,,,,,,141.8,132.3,123.8,114.9,107.7,100.5,93.6,87.7,81.9,76.9,71.8,67.3,63,59,55.6,52.5,49.9,47.2,44.8,42.5,40.1,38,35.9,33.9,32.1,30.4,28.9,27.5,26.3,25.2,24,23,21.9,21,20.1,19.3,18.5,17.9,17.4,16.9,16.8,16.5,16.5,16.6,16.7,16.9,17,17.2,17.3,17.5,17.7,17.9,18.2,18.3,18.7,19,19.3,19.3,19.7
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,22.8,22.1,21.4,20.7,20,19.4,18.7,18.2,17.7,17.4,17.2,17,17,16.9,16.9,16.8,16.5,16,15.4,14.6,13.7,12.8,11.9,11,10.1,9.3,8.6,7.9,7.3,6.7,6.1,5.6
Belgium,,,,,,,,,,,,,,,,,,,,,,54.2,51,48,45.3,42.7,40.4,38.2,36.1,34.3,32.7,31.3,30.1,29,28,27.1,26.3,25.4,24.6,23.7,22.7,21.7,20.7,19.6,18.6,17.6,16.8,16,15.3,14.6,13.9,13.3,12.8,12.3,11.8,11.4,11,10.6,10.3,10,9.6,9.1,8.6,8.1,7.6,7.1,6.7,6.4,6.1,5.8,5.6,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.5,4.4,4.3
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6,86.9,83,79.2,75.5,72,68.4,65.3,62,59.4,56.3,53.5,51,48.7,46.2,43.9,41.8,39.7,37.6,35.7,33.7,31.9,30.3,28.7,27.5,26.3,25.2,24.3,23.2,22.3,21.4,20.6,19.8,19,18.4,17.6,16.9
Benin,,,,,,,,,,,,,,399,393,386.9,381.3,375.7,369.4,363.3,357.3,351.8,346.2,340.2,334.7,329.4,324.4,319.3,314.3,308.8,304,299,294.5,289.8,285.4,280.6,276.1,271.2,266.2,261.4,256.1,251.1,245.9,240.6,235.8,231.3,227.1,223,218.9,215.3,210.5,206.7,202.6,198.8,195.3,191.7,188.2,184.6,181.1,177.3,173.8,170.2,166.3,162.3,158.5,154.5,150.4,146.8,143.2,139.7,136.2,133,129.5,126.4,123.2,120.2,117.2,114.5,111.7,108.8,106
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.2,285.9,275.2,265.6,256.4,248,239.1,231,222.8,214.7,207.3,200,193.3,187.1,180.6,174.4,168.4,162.4,156.3,150,144.2,138.4,132.7,127,121.9,116.3,111.6,106.6,102.1,97.3,93.1,89.1,85.2,81.3,77.7,74.2,70.8,67.3,64.3,61.7,59,55.9,53.7
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,293.3,286.1,278.9,271.7,264.5,258,251,244.8,238.2,231.9,225.7,219.5,213,205.7,199.1,192.5,186.1,179.4,173.8,168.9,164.4,160.1,156.5,152.6,148.5,144.2,139.6,134.4,129.5,124.5,119.5,115.3,111.5,107.5,103.7,99.5,95.4,91.4,87.8,84,80.8,77.1,74.2,71.1,68.1,65.1,62.4,59.8,57.3,55.2,52.9,50.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,28.2,26.3,24.5,22.8,21.4,20,18.8,17.6,16.5,15.5,14.4,13.3,12.4,11.7,10.9,10.1,9.6,9.3,9,8.8,8.7,8.8,8.6,8.5,8.3,8.1,7.9,7.7
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,184.1,179.4,175.1,170.7,166.6,162.8,159.1,155.3,151.6,147.6,144.1,141.1,138.2,135.8,134,130.9,126.8,122.4,116.8,111.5,105.2,99.7,93.3,86.9,82.1,77.8,73.5,69.4,66.2,63.5,60.6,58.7,56.7,55.1,53.5,52.8,53.2,54.8,57.4,60.8,64.8,68.8,72.7,75.9,78.8,81.1,80.8,78.4,72.1,59.1,46.1,37.9,34.2,32.6,30.1,27.5,25.9
Brazil,,,,,,,,,,,,,,,,,,,,,,,,214.9,208.6,203.3,196.4,191,185.1,179.8,174.5,169.5,163.6,157.9,154,149.7,144.8,139.8,134.2,128.8,124.4,121.2,117.8,114.4,110.8,107.4,102.6,97.9,93.2,88.6,84.2,79.9,76,72.4,69.5,66.9,64.5,62.4,60.2,58,56,54.2,52.3,50.2,47.9,45.5,42.7,40.3,37.9,35.7,33.6,31.5,29.1,26.8,24.8,22.9,21.2,19.6,18.1,16.8,15.6
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,16.7,16.1,15.6,15.1,14.6,14.1,13.6,13.1,12.7,12.3,11.8,11.4,11,10.8,10.6,10.4,10.3,10.1,9.9,9.6,9.4,9.1,8.9,8.7,8.5,8.2,8,7.8,7.6,7.4,7.2
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2,47.9,46.6,45.5,44.1,42.9,41.6,40.5,39.3,38,36.7,35.7,34.9,34,33.1,32,31,29.9,28.8,27.7,26.6,25.6,24.6,23.7,23,22.5,22.3,22.2,22.2,22.3,22.5,22.8,22.9,22.9,22.7,22.4,22,21.4,20.7,19.9,18.9,17.9,16.9,16,15.3,14.6,13.9,13.3,12.7,12.1
Burkina Faso,,,,,,,,,,,,,432.4,426.1,419.6,414.1,408.2,401.7,395.8,390.3,384.1,379.1,373.1,368.4,362.6,358.5,353.2,348.4,343.7,339.6,334.4,330.7,325.1,319.9,314.3,308.5,303.5,297.5,294.4,290.9,287.9,285.1,282.2,276.5,273.1,268.3,262.6,255.8,247.9,241.8,235.7,231,226.2,221.9,218.1,215.1,212.5,210.8,210,208.4,206.9,205,203,200.8,198.7,195.6,191.9,188.7,185.2,181.5,177.9,174.7,171.1,168.2,164.5,161.7,157.3,154.8,151.9,148.8,146.4
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.8,251.6,249.4,247.3,245.7,243.2,241.3,239.7,237.3,235.3,233.8,231.1,228.8,226.9,224.9,222.7,220.1,217.1,213.4,210.4,207,203.5,200,196.5,193.2,190.5,189.1,186.2,185.9,184.4,183.9,182.8,182.6,182.8,182,181.8,179.8,177.1,175.1,172.5,169.6,167.7,164.6,162.7,159.9,158.3,155.8,152.8,150.5,148.1,146.3,144,141.7,139.1
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.7,169.4,152.5,139.3,128.7,123.7,120.5,118.8,118,116.9,116.7,116.9,117.3,117.6,118.3,118.9,119.4,119.1,115.7,108.7,101.5,94.5,87.3,80.8,74.5,68.7,63.3,58,53.7,49.7,46,42.5
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,295.2,288.6,282.2,275.9,269.8,263.8,257.9,252.2,246.6,241.1,235.8,230.5,225.4,220.4,215.6,210.8,206.1,201.6,197.1,192.7,188.4,184.2,180.1,176,171.9,168.2,164.8,161.7,158.9,156.3,154.1,152,150.5,149.1,147.5,146.3,145.2,144.2,143.4,142.6,142,141.4,140.9,140.5,140.2,139.9,139.5,138.9,138.3,137.5,136.5,135.6,134.5,133.5,132.2,130.8,128.9,127.2
Canada,,,,,,,,,,,,,,,,,,52.9,50.5,48.1,46,44,42.1,40.4,38.6,37.1,35.8,34.7,33.8,32.7,31.5,30.4,29.2,28.1,27.1,26,24.9,23.8,22.8,21.9,20.9,19.9,18.9,17.9,16.9,16,15.1,14.2,13.4,12.6,11.9,11.2,10.7,10.2,9.8,9.5,9.2,8.9,8.5,8.3,8,7.7,7.4,7.2,7,6.8,6.6,6.4,6.3,6.2,6.2,6.2,6.1,6.1,6,6,5.9,5.8,5.7,5.6,5.6
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.4,167.2,159.8,150.7,142.3,136.5,130.2,123.6,117.5,112.2,106.2,100.7,95.6,91.1,86.6,81.5,77,72.6,67.9,63.8,61.3,59.6,58,56.8,55.2,53.6,51.3,49.3,47,44.8,43.1,41.1,38.9,36.9,34.8,32.8,31,29.3,27.8,26.3,25,23.7,22.5,21.3
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.9,299.6,290.1,281,272.2,263.7,255.8,248,240.5,233.2,226.2,219.3,212.6,205.8,199.2,193.5,188.6,184.2,180.5,177.5,175.2,173.6,172,170.5,169.3,168.4,167.7,167.7,167.6,168.1,169.1,170.1,171.1,171.8,172.3,172.6,172.8,172.7,172.5,172.3,172,171.4,171.1,170.7,170.3,169.8,168.7,167.6,166.7,165.7,164.6,163.5
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.6,259.6,257,254.2,251.6,248.8,245.9,243.3,240.8,238.3,235.5,233.2,230.8,228.5,225.7,223.4,221.3,219.1,216.7,214.5,212.5,210.3,208.3,206.1,204.2,202.2,200.2,198.1,196.3,194.3,192.5,190.6,188.5,186.7,184.9,183.5,181.4,179.6,177.9,176.1,174.7,172.5,171.3,169
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.6,151.4,141,131.1,121.8,113.1,105.1,97.7,91.1,85.7,81.6,77.9,74.9,70.7,65.8,60,54.3,48.6,43.1,38.1,33.9,30.5,28,26,24.5,23.3,22.3,21.4,20.6,19.7,18.7,17.5,16.3,15.3,14.4,13.6,12.9,12.3,11.8,11.3,10.8,10.4,10,9.7,9.5,9.3,9.2,9.1,9,8.9,8.8,8.7
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3,124.1,116.6,109.3,102.7,96.3,90.4,84.8,79.4,74.6,69.9,65.8,62.4,59.2,56,53.8,53.1,51.5,51.1,50.5,50,49.5,48.9,48.7,48.5,48,47.1,45.5,43.9,41.9,39.5,37,35,32.7,30.3,28.1,25.9,23.9,22,20.4,18.8,17.3,15.9,14.6
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.6,116.5,115.1,113.5,109,105.2,101.9,99.7,94.1,87.9,81.3,75.3,70.2,65.1,60.2,55.8,51.7,48.1,45.3,42.8,40.6,39.3,37.8,36.9,35.4,34.3,33.1,32,31,30.1,29.2,28.3,27.4,26.7,25.8,25,24.3,23.5,22.8,22.1,21.4,20.7,20,19.5,18.9,18.3,17.7
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.2,218.6,213.2,206.8,199.6,194.1,188.6,182.8,177.5,172.2,166.8,162.4,157.3,152.8,148.2,143.7,139.1,134.4,130,126.5,124.3,121.7,119.4,117.5,115.1,112.6,110.4,109,106.3,104.6,101.5,99.6,97.7,96,93.8,91.9,90.8,88.1,87,84.6,83.4,81.3,79.3
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2,249.2,244.1,239.4,234.8,230,225.6,221.1,216.5,212,207.9,203.5,199.3,195.5,191.4,187.5,183.6,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,181.4,179,176.7,174.4,172.1,169.9,167.7
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,182.2,179.5,176.6,174.2,171.3,170,167.3,165.6,163.3,160,158.2,156.2,154.1,152.2,149.7,147.5,145.5,143.7,141.4,139.5,137.8,135.3,133.4,131.4,129,126.7,125.9,125.2,124.4,123,121.5,120.6,119.5,118.8,117.7,116.5,115.7,114.8,113.4,112.7,111.2,110.5,109,108.8,108,106.7,106,105,103.7,103.3,102.1,101.2,100.5,99.6,98.8
Cook Islands,,,,,,,,,,,,,,,,,,,,211.4,198.5,186.3,174.8,164.7,154.3,144.9,136,127.8,120,112.8,106.2,100,93.8,88.3,83,77.9,73.4,69,64.8,60.8,56.9,52.7,49.2,46.1,43.3,40.5,38.3,36,34.1,32.2,30.4,28.5,26.9,25.5,24.3,23.2,22.2,21,19.8,19.1,18.4,18.4,18.2,18.4,18.6,18.6,18.3,18.1,18,17.1,16.2,15.2,14.6,13.8,13.1,12.4,11.8,11.1,10.4,9.9,9.5
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,89.3,84.8,80.1,75.9,71.4,67.3,62.3,56.7,50.7,44.6,39.2,34.6,31,28.2,25.9,24.3,23.3,22.5,21.8,21,20.2,19.4,18.6,17.9,17.2,16.7,16.2,15.8,15.5,15.2,14.8,14.4,13.9,13.4,12.9,12.3,11.7,11.3,10.9,10.7,10.5,10.4,10.3,10.3,10.1,10.1
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,368.1,356.5,345.3,334.4,323.7,313.4,303.4,293.6,284.2,275,266.1,257.5,249.2,241.1,233.4,225.9,218.6,211.5,204.5,197.9,191.7,185.9,180.5,175.6,171.3,168.2,164.8,161.8,159.7,157.8,155.9,154.7,153.6,152.4,151.4,150.5,149.5,148.4,147.3,146.1,144.7,143.3,141.8,140.3,138.6,136.7,134.7,132.6,130.5,128.2,126.1,123.8,121.1,118.8,116.7,114.9
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,23.7,22.2,20.8,19.4,18.1,16.9,15.8,14.7,13.7,12.9,12.1,11.5,10.9,10.5,10.1,9.6,9.3,9,8.7,8.4,8,7.7,7.4,7.1,6.8,6.4,6.1,5.9,5.6,5.3,5.1
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,49.5,48.2,46.9,45.6,44.2,42.8,41.4,40.5,38.4,35.9,33.5,30.9,28.6,26.6,24.8,23.4,22.1,21,20.3,19.7,19.1,18.5,17.8,17,16.1,15.2,14.2,13.3,12.7,12.1,11.5,11,10.6,10.2,9.8,9.4,8.9,8.5,8.1,7.7,7.4,7.1,6.9,6.7,6.5,6.3,6.1,5.9,5.8
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,23.4,21.2,19.3,17.6,15.9,14.6,13.3,12.5,11.9,11.5,11.1,11,10.8,10.5,10.1,9.6,9,8.4,7.9,7.4,6.9,6.5,6.2,5.8,5.5,5.2,4.9,4.6,4.2,3.9,3.6,3.4,3.1
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,18.6,18.2,17.7,17.3,16.8,16.3,15.9,15.5,15,14.3,13.5,12.7,11.9,11,10.1,9.2,8.4,7.7,7.2,6.7,6.3,6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9
Denmark,,,,,,,,,,,,,,,,,,,36.2,34.9,33.7,32.6,31.4,30.3,29.2,28.2,27.3,26.5,25.7,24.9,24.3,23.5,22.7,21.8,20.8,19.9,19.1,18.2,17.3,16.4,15.5,14.7,13.9,13.1,12.4,11.7,11.2,10.8,10.4,10.1,9.9,9.7,9.6,9.6,9.6,9.6,9.5,9.4,9.1,8.7,8.2,7.8,7.4,7,6.6,6.2,6,5.8,5.7,5.6,5.5,5.4,5.2,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.3,152.5,149.6,146.5,144.2,141.2,138.7,135.5,133.4,131.1,128.5,126.3,123.5,121.6,120,118.2,116.6,114.8,113.2,111.5,110,108.2,106.8,105.7,103.9,102.5,100.7,99.4,98,96.9,95.5,94,92.9,91.2,89.5
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.4,163.5,147.6,132.7,118.7,106.3,95.5,85.8,76.3,68.5,61.2,54.4,48.6,43.6,39.1,35.1,31.3,28.2,25.2,22.4,20.6,19.3,18.1,17.4,16.8,16.6,16.4,16.5,16.7,17,17.2,17.4,17.5,17.5,17.4,17,16.7,16.5,16.1,15.7,15.3,14.9,14.5,14.3,13.9,13.7,13.5,13.2,12.9,12.7,12.3,12.1,11.8
Dominican Rep.,,,,,,,,,,,,,,,,,,,154.4,154.2,154.2,152.9,152.5,151.8,150.9,150.1,149.2,148.8,147.7,147.3,146.6,145.6,144.2,142.5,139.6,136.2,132.5,129.1,125.9,122.3,119.2,116.2,112.8,108.7,105.2,102,99,95.6,91.6,88.3,84.8,81.3,77.9,75,72.1,69,66.3,63.7,60.9,58.3,55.6,53.2,50.9,48.9,47,45.2,43.5,41.7,40.1,38.5,37,35.6,34.1,32.8,31.5,30.2,29,27.8,26.7,25.7,24.7
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,212.2,206.6,201.1,195.1,190.3,185,180.1,175.2,170.8,166,161.5,157.4,153.7,149.4,145.1,141.7,138,134.6,131.6,126.9,121.5,116.6,111.9,106,100.4,95.1,90.7,85.5,80.4,75.8,71.8,68.1,64.6,61.5,58.3,55.2,52.4,49.7,47.5,45.2,43.2,41.5,39.9,38.4,36.9,35.5,34.2,32.9,31.7,30.5,29.5,28.4,27.4,26.3,25.4,24.5,23.6,22.8
Egypt,,,,,,,,,,,,,,,,,,,,,,,,346.8,338.1,329.5,321.2,313.5,305.9,298.4,291.5,284.3,277.5,271.1,264.4,257.8,252.1,246.5,241.6,237.1,233,229,223.6,218.3,210.7,202.5,193.5,184.4,174.5,164.6,155.3,145.1,135,125.3,116.4,108.4,102.1,95.9,90.7,85.7,80.8,76,71.2,66.8,62.4,58.5,54.6,51,47.6,44.4,41.5,38.7,36.3,33.9,31.6,29.5,27.6,25.8,24.1,22.5,21.1
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,209.9,205.7,201.7,198,194.3,190.2,187.1,183.6,180.1,177.6,174.8,171.8,169,166.4,163.9,161.5,157.7,155.2,150.9,149.2,149.7,147.4,143.2,136.3,128.5,120.7,114.1,107.8,99.4,90.8,83,76.7,71.3,66.8,63.3,61.9,60.2,58,55.3,52.8,49.8,46.9,44.3,41.8,39.1,36.5,33.9,31.6,29.3,27.2,25.3,23.5,21.8,20.3,18.8,17.6,16.3,15.2
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.9,228.1,223.9,217.9,213.6,210.1,206,201.4,197.5,193.5,189.6,186.3,182.5,178.5,174.4,170.3,167,162.9,159.9,155.5,152.2,149.1,145.5,142.7,139,136.4,132.5,130.6,127.1,123.8,122,118.1
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.7,253.8,247.4,239.9,233.3,227.3,220.9,214.7,208.4,202.9,196.5,192.1,186.3,181.3,176.1,171.3,166.7,162,157.4,152.3,147.3,142.2,137.7,133,128.5,124.4,120.3,116.4,112.2,108.7,105.1,101.7,98.2,94.8,91.4,88.7,85.6,82.8,80.4,77.4,75,72.2,69.8,67.8
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,26.8,26,25.2,24.4,23.8,23.1,22.4,21.8,21.3,20.7,20.1,19.3,18.5,17.5,16.4,15.4,14.5,13.5,12.6,11.6,10.8,10.1,9.3,8.5,7.8,7.2,6.6,5.9,5.2,4.7,4.1,3.7
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.9,229.3,229.7,229.8,229.7,230.3,230.1,230.3,230.2,230.1,230.4,230.2,230.2,230.1,229.8,228.4,227.1,225.7,224.1,220.3,215.8,211.9,208.2,205,201.9,198.3,193.9,188.4,182.6,176.4,170.1,163.6,157.4,150.9,144.7,138.6,131.5,124.6,118.2,112.4,106.6,100.9,95.8,90.3,85.8,81.5,77
Fiji,,,,,,,,,,,,,,,120.8,116.1,113,109.3,105.4,102.4,99.5,96.2,92.9,90,87.2,84.1,81.6,79.1,76.7,74.2,71.7,69.4,67.1,65.1,62.9,61,59,57,55.1,53.3,51.5,50,48.3,46.8,45.3,43.8,42.3,41.1,39.9,38.8,37.7,36.7,35.8,34.8,33.9,33,32.1,31.3,30.4,29.6,28.8,28,27.2,26.4,25.8,25,24.3,23.7,23,22.3,21.8,21.3,20.7,20.1,19.6,18.9,18.4,17.9,17.4,17.1,16.4
Finland,,,,,,,,,,,,,,,,,,,,45,43,40.9,38.9,37.2,35.4,33.6,31.9,30.2,28.5,26.9,25.4,23.9,22.6,21.4,20.3,19.4,18.5,17.6,16.8,16,15.3,14.5,13.7,12.9,12.1,11.4,10.7,9.9,9.3,8.7,8.3,8,7.7,7.5,7.4,7.3,7.2,7.1,6.9,6.7,6.4,6,5.7,5.4,5.2,4.9,4.7,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3,2.9
