Homicide 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
France,0.4467038,,0.3809702,0.4091092,0.3680879,0.388227,0.4290788,0.4751449,0.3880745,0.7248408,0.4749857,0.5235044,0.5173802,0.4803765,0.5313106,0.4514878,0.5669372,0.5713719,0.5116263,0.3545507,0.2624919,0.3038849,0.4460657,0.2817934,0.4681368,0.3189527,0.3399293,0.3710338,0.443137,0.5175222,0.4220287,0.4485666,0.4701317,0.6867691,0.539288,0.4512255,0.4767518,0.613077,0.5493662,0.6425092,0.4544465,0.4925916,0.4542088,0.5431851,0.5975332,0.4524373,0.6396766,0.4753009,0.3682987,0.3698119,0.6482765,0.5265653,0.4884458,0.3690291,0.3412002,0.4017701,0.4745983,0.2665733,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3852445,0.1533292,,,0.4550799,0,0.1530457,0.7513423,0.5234972,0.3073629,0,0,,0,0,0,0.1063011,0.2061944,0.2097289,0,0.0999734,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5867902,0.6886835,0.5886624,0.6579282,0.7307464,0.7103035,0.5902516,0.4399855,0.7070511,0.5946774,0.5753233,0.5579031,0.5105065,0.4458789,0.4262607,0.4017386,0.4372419,,
Greece,,,,,,,,,,,,0.3646865,0.4124961,0.4161322,0.2298587,0.5091321,0.2733822,0.266998,0.2247939,0.2702034,0.1379446,0.2768176,0.2257398,0.2446895,0.2221778,0.0952164,0.1437864,0.1816184,0.0948565,0.1494456,0.2212895,0.2879835,0.2385188,0.336991,0.0922051,0.0582812,0.2682588,0,0.3312172,0.0480397,0.0440702,0.3743551,0,0.2925883,0,0.1614575,0.4360304,0.1860265,0.0639684,0.2400591,0.0652818,0.0684913,0.2394874,0.1345525,0.1936476,0,0.127623,0.3779418,0.1214276
Guatemala,,,,,,,,,,,,,,0.8040354,1.20994,0.7704408,0.9044397,1.356182,1.140884,0.9025376,0.7114185,1.084611,,,1.80285,,,1.433213,,2.533506,1.632766,5.642676,,,0.4858687,,1.382386,1.717636,1.672327,1.153056,0.9202815,1.297998,1.171154,1.248986,1.266823,1.101927,1.264114,1.624707,1.831737,1.133936,1.254961,1.529354,1.737874,1.947483,1.563726,2.084265,1.897293,,
Hungary,,,,,,1.022234,0.9682059,0.8631228,0.6434481,1.704925,1.068798,1.666072,1.639867,1.183785,1.576672,1.177813,1.97484,1.500739,2.234351,1.763977,1.318652,1.762961,2.370009,1.687945,1.216519,0.9473039,1.681786,0.9697308,1.82935,1.333961,1.583571,1.791303,1.305836,1.75619,0.723911,1.528345,1.307707,1.617345,2.146177,1.145822,1.259215,0.9823291,0.6357766,1.198624,0.6268427,1.160205,1.436243,0.9151106,1.498891,1.00431,1.286746,0.6537636,1.52608,0.717347,0.8616229,0.7091391,1.579851,0.8378433,0.9052849
Ireland,0.6612195,0.219541,0.2244904,0.5715857,0.2315757,0.3520418,0,0.1175452,0.4857441,0.5846908,0.1181428,0.1130511,0.3470262,0.2263126,0.5552711,0.2244311,0.1095979,0.5459405,0.3294501,0.1099437,0.438456,0.4202757,0.4205207,0.2062342,0.104345,0.9194664,0.1045042,0.0998003,0.1005834,0.4880169,0,0.2874267,0,0.0953873,0.1097705,0,0.1895828,0.8017132,0,0,0.1372131,0,0.2475267,0.3702808,0,0,0.3611696,0.2728958,0.1066727,0,0.8684389,0.3727091,0,0.1200396,0,0.2277298,0.2305306,0,0.1095526
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.7077919,0.0978564,0.149506,0.3125211,0.8183866,0.2383351,0.3898599,0.163467,0.8406773,0.0777531,0.3022242,0.1417636,0.4320259,0.4205076,0.6937807,0,0.3930415,0,0.5150473,0.1864735,0.2397299,0,0,0,0.627984,0.7434347,0.9987738,2.015781,0.7866702,0.6028594,0.1500435,0.4931758,,
Italy,,0.5504306,0.4922769,0.5093173,0.4453425,0.4977815,0.4541141,0.5169135,0.5239829,0.4211173,0.2629903,0.3524077,0.2952451,0.3786828,0.305748,0.2757664,0.2154537,0.3588437,0.3153859,0.2443081,0.3161575,0.3688547,0.2726587,0.2964014,0.2218553,0.2103743,0.1576662,0.2937047,0.3199245,0.2509649,0.3497596,0.1882718,0.255382,0.2511298,0.2698555,0.2813505,0.2060008,0.1598083,0.2093055,0.2451504,0.3724274,0.3002133,0.2413,0.2463786,0.1193833,0.2432703,0.1343741,0.1700913,0.1118967,0.2372451,0.161391,0.1355763,0.1874017,0.239127,,,0.1739374,0.1812086,
Japan,2.337539,1.994489,1.946977,2.048225,2.122006,2.296576,2.004009,2.086988,2.119347,1.994655,2.000495,1.749983,1.685903,1.628539,1.707271,1.608166,1.696254,1.615133,1.882481,1.544734,1.817761,1.636973,1.664137,1.70654,1.8951,2.051725,1.967683,1.995934,1.986722,1.528942,1.482409,1.351748,1.362008,1.560721,1.365064,1.05432,1.125145,0.9945008,1.041549,0.9166411,0.7525309,0.6614857,0.8769687,0.8229304,0.6963179,0.5972887,0.5895604,0.6290743,0.7521587,0.5429845,0.5828186,0.5741847,0.5244156,0.6424418,0.5092492,0.4636062,0.5313011,0.3511366,0.5174543
