"SBP male (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Chile,133.388,133.216,132.9549,132.659,132.4069,132.2067,132.0095,131.8549,131.7751,131.7696,131.7362,131.6993,131.7204,131.7464,131.7604,131.7467,131.7524,131.7966,131.8547,131.9162,132.0051,132.1081,132.2429,132.4155,132.5969,132.7963,133.0114,133.254,133.4792
China,129.1048,128.4638,127.8063,127.1543,126.564,126.037,125.5961,125.2808,125.0584,124.8782,124.7304,124.6361,124.5553,124.4861,124.4556,124.4757,124.4907,124.6012,124.7606,124.9979,125.2585,125.5504,125.8521,126.1581,126.4629,126.7851,127.1107,127.4165,127.7052
Colombia,132.2899,131.8413,131.3559,130.8566,130.3672,129.8864,129.4477,129.0337,128.6668,128.3203,127.9844,127.6685,127.3672,127.0955,126.8552,126.6731,126.515,126.3995,126.3422,126.3493,126.4338,126.6168,126.9059,127.2816,127.7465,128.3128,128.953,129.6302,130.2999
Comoros,131.4957,131.3205,131.1727,131.0441,130.8922,130.7891,130.7278,130.7491,130.8019,130.8546,130.9236,130.9889,131.0528,131.1087,131.1341,131.1587,131.1729,131.2207,131.3135,131.4474,131.6214,131.8459,132.1162,132.4416,132.8102,133.1934,133.5887,133.9817,134.3855
"Congo, Dem. Rep.",133.9859,133.6613,133.3125,132.9902,132.7014,132.4323,132.2064,132.014,131.8534,131.7005,131.5661,131.4182,131.218,130.9865,130.7766,130.571,130.4222,130.3292,130.3008,130.3221,130.3855,130.5016,130.6751,130.9254,131.2118,131.5445,131.9129,132.3006,132.7027
"Congo, Rep.",136.5711,136.5279,136.5043,136.4322,136.3367,136.2012,136.0142,135.8291,135.6426,135.4415,135.2529,135.0237,134.7932,134.596,134.3803,134.2111,134.0898,133.9556,133.8188,133.6431,133.5314,133.4549,133.4123,133.4151,133.4815,133.5728,133.7195,133.8682,134.0298
Cook Islands,130.914,131.2055,131.5671,131.8346,132.1006,132.3283,132.5107,132.664,132.7901,132.9061,133.0193,133.1121,133.1745,133.2675,133.3659,133.4556,133.5338,133.6013,133.6876,133.762,133.8744,133.9928,134.0892,134.191,134.2544,134.2738,134.265,134.2373,134.1806
Costa Rica,131.1291,130.8409,130.4978,130.123,129.7695,129.4593,129.1593,128.8827,128.623,128.4105,128.2187,128.0307,127.8912,127.7131,127.5151,127.2992,127.1409,127.0205,126.9465,126.9916,127.087,127.1988,127.3645,127.5455,127.7781,128.0833,128.404,128.758,129.1003
Cote d'Ivoire,136.5051,136.2126,135.8894,135.5064,135.0855,134.7088,134.3569,134.0277,133.738,133.4855,133.2411,133.0211,132.8266,132.6497,132.4827,132.373,132.3475,132.3533,132.4152,132.5247,132.6547,132.8293,133.0258,133.2579,133.5067,133.7732,134.0432,134.3187,134.5917
Croatia,137.9666,138.0257,138.0646,138.0624,138.0509,137.9792,137.9156,137.8813,137.8358,137.7672,137.6711,137.4709,137.2091,136.8886,136.5882,136.3365,136.0952,135.9215,135.7684,135.6513,135.6015,135.569,135.5528,135.5491,135.5333,135.5197,135.4902,135.5184,135.5312
