"SBP male (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Turkey,125.8545,125.8768,125.9044,125.8977,125.9401,125.9211,125.9467,125.985,125.9957,125.9941,125.9902,125.9809,125.9427,125.9323,125.8563,125.7943,125.75,125.7365,125.7122,125.6501,125.5723,125.4196,125.2408,125.0523,124.8335,124.5642,124.2738,123.9596,123.647
Turkmenistan,135.0541,135.0349,134.9786,134.9279,134.855,134.7594,134.6705,134.5509,134.4186,134.2152,133.9699,133.6572,133.2792,132.9877,132.6255,132.2772,131.9653,131.6708,131.5109,131.4352,131.454,131.5482,131.6795,131.8576,132.0833,132.3087,132.534,132.7599,132.9781
Uganda,130.699,130.5775,130.5173,130.4909,130.4235,130.3755,130.3661,130.3949,130.4688,130.5636,130.6842,130.8006,130.9084,131.0394,131.1812,131.338,131.5014,131.6882,131.9039,132.1414,132.4194,132.7517,133.1009,133.4648,133.8493,134.2451,134.6739,135.1282,135.5936
Ukraine,139.7242,139.6431,139.5417,139.4328,139.285,139.0968,138.9068,138.6952,138.4877,138.242,137.9341,137.558,137.1334,136.6894,136.2554,135.8763,135.5608,135.3376,135.2012,135.1465,135.1661,135.2425,135.387,135.6133,135.8825,136.1785,136.503,136.8546,137.1998
United Arab Emirates,137.6991,137.3674,136.852,136.2371,135.653,135.0044,134.1927,133.5243,132.7755,132.0889,131.5084,131.0098,130.5138,130.0949,129.7344,129.2884,129.0961,128.8974,128.5912,128.3556,128.1777,128.0572,128.0473,128.1055,128.0695,128.0866,128.0618,128.0526,128.1023
United Kingdom,136.5205,136.3343,136.1603,135.9978,135.8535,135.7611,135.7898,135.9311,136.1422,136.3664,136.5421,136.652,136.6936,136.6654,136.5864,136.4298,136.2077,135.9078,135.5478,135.1699,134.7778,134.3591,133.91,133.4674,133.0093,132.5538,132.1116,131.6553,131.1873
United States,131.2012,130.7478,130.2492,129.7882,129.3416,128.9317,128.5767,128.2443,127.9626,127.6919,127.377,127.0404,126.6856,126.3087,125.9434,125.5774,125.2347,124.9181,124.6746,124.464,124.2658,124.0856,123.9171,123.7866,123.6603,123.5687,123.4866,123.3933,123.3108
Uruguay,134.836,134.6131,134.3465,133.9901,133.6164,133.2439,132.9313,132.7124,132.5131,132.3286,132.1002,131.9173,131.7687,131.6463,131.5724,131.4766,131.4373,131.4372,131.4829,131.5464,131.5909,131.6312,131.6076,131.6247,131.7094,131.8554,132.0008,132.1484,132.3205
Uzbekistan,130.3843,130.3019,130.2146,130.1161,129.9991,129.866,129.7268,129.5506,129.3421,129.0847,128.7771,128.4103,127.941,127.539,127.2032,126.8893,126.5278,126.4416,126.4058,126.4152,126.4957,126.6466,126.8317,127.04,127.2972,127.5829,127.8766,128.1536,128.4443
Vanuatu,131.9361,131.8448,131.7691,131.7472,131.7123,131.654,131.6383,131.6452,131.6827,131.7563,131.8873,132.0385,132.1716,132.3225,132.4954,132.6535,132.7992,132.9423,133.0941,133.2406,133.4004,133.5168,133.6033,133.7025,133.7926,133.892,133.991,134.0911,134.168
Venezuela,136.4754,136.1214,135.795,135.3952,134.9655,134.5869,134.3241,134.0537,133.7961,133.5895,133.3767,133.2088,133.0428,132.89,132.6888,132.4869,132.3008,132.1914,132.0851,131.9787,131.908,131.8414,131.8244,131.737,131.7175,131.7484,131.8632,131.9951,132.1403
Vietnam,123.1646,123.0653,123.003,122.9304,122.8695,122.8273,122.7812,122.8168,122.8663,122.951,123.0369,123.145,123.2973,123.4103,123.5599,123.7293,123.9314,124.1574,124.357,124.5529,124.7706,124.9888,125.2282,125.47,125.7135,125.9538,126.1855,126.3877,126.5792
West Bank and Gaza,128.8655,128.8779,128.8883,128.8755,128.8605,128.8414,128.8568,128.8661,128.8756,128.8835,128.9075,128.9207,128.9645,129.0309,129.1004,129.1385,128.9505,128.8259,128.7871,128.8136,128.841,128.8425,128.8105,128.7936,128.7804,128.8056,128.8421,128.9475,129.0686
"Yemen, Rep.",127.8183,127.8399,127.8002,127.7308,127.6509,127.5495,127.4111,127.2718,127.1406,127.0219,126.9431,126.8605,126.7628,126.6936,126.6541,126.6593,126.6943,126.7797,126.894,127.0467,127.2462,127.4622,127.7017,127.9526,128.1838,128.4115,128.6393,128.8396,129.0386
Zambia,130.692,130.448,130.2214,129.9916,129.7677,129.5868,129.4227,129.3319,129.2855,129.2976,129.3307,129.3754,129.4126,129.488,129.4924,129.4658,129.4899,129.58,129.7233,129.9351,130.2086,130.5573,130.9721,131.4433,131.9682,132.5372,133.1288,133.7211,134.3137
Zimbabwe,130.8484,130.8036,130.7427,130.6901,130.5546,130.4634,130.375,130.292,130.2639,130.2681,130.2624,130.2769,130.2012,130.123,130.0553,129.9757,129.9344,129.9398,129.9859,130.0776,130.2096,130.3672,130.5144,130.6826,130.8911,131.1161,131.3616,131.6147,131.9017
