"TB mortality, all forms in HIV+ (per 100 000 population per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Indonesia,0,0,0,0,0,0,0,0,0,0.3,0.9,1.4,1.5,1.7,1.9,2,2.2,2.4
Iran,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jamaica,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kazakhstan,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.6
Kenya,14.3,17,22.6,29,36.5,45.9,52.6,63.1,70.7,76.9,84.3,76.1,72.9,68.8,65.4,58.5,45.4,38.9
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.6,0.7
Laos,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.1,1.4,1.7
Latvia,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.5
Lebanon,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lesotho,2.8,5.6,10.3,17,24.8,32,36.6,31.6,44.6,186.9,59.8,62.5,72.2,70.5,76.7,97.3,67.5,226.2
Liberia,5.8,8.1,10.7,13.1,15.2,16.8,16.7,17.7,16.9,17.5,18.9,18.9,16.8,19,16.9,19.9,19.9,21.2
Libyan Arab Jamahiriya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lithuania,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0.1,0.1,0.1,0.2,0.3,0.5,0.7,1,1.3,1.5,1.8,1.9,2.1,2.3,2.3,2.5
Malawi,23.4,37.2,52.7,67.3,79.2,85.5,88.1,94.5,96.6,96,102.2,95.8,99,95.8,92.8,92.9,87.5,81.1
Malaysia,0.2,0.3,0.4,0.5,0.7,0.9,1.2,2.1,2.7,3.3,2.8,3.3,3.7,3.9,4.2,4.4,4.7,4.9
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Mali,3.4,4.7,6.4,8.4,10.6,13.1,15.6,18.2,20.5,22.5,24.1,25.2,25.9,26.6,27,27.4,27.5,27.7
Malta,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0
Mauritania,0,0.1,0.1,0.2,0.5,0.9,1.7,3.3,5.7,8.4,11,13.1,14.6,15.6,12.3,14.5,14.5,14.9
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.5
Mexico,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Mozambique,5.5,7.8,10.6,14.1,18.3,23.2,29,36.4,44.7,53.8,64.1,74.3,81.5,86.7,88.9,88.4,85.6,81.7
Myanmar,5.3,6.7,8,9.2,10.3,11.3,10,11.1,11.7,11.3,10.3,9,6.6,3.5,2.8,2.1,2,1.9
Namibia,17.4,26.9,38.6,53.3,69.7,86.9,30.8,33,36.1,46.9,60.4,56.7,69.4,70.9,76.7,85.7,91.5,73.2
Nepal,0.2,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.2,1.1,1.1,1,1,1,1,1,1
