Municipal water withdrawal per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,15.5426,,,15.4956,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,158.0978,160.29,
Tunisia,,,,,,,30.5545,,37.32,
Turkey,,,,,,,87.44,,91.25,83.87
Turkmenistan,,,,,,,49.165,80.5194,90.714,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,6.3951,,,,,,4.945,
Ukraine,,,,,,,90.0012,,94.945,
United Arab Emirates,,,,,83.867,,,182.87,,145.2285
United Kingdom,,,,,,,50.41,,34.855,
Tanzania,,,6.9667,,,,,,14.797,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,,,206.2204,,209.227,
Uruguay,,14.1877,,,,,,,24.05,
Uzbekistan,,,,,,,95.3541,109.0004,108.834,
Vanuatu,,,,,,,,,,
Venezuela,,,153.6466,,,,,,150.408,
Vietnam,,,,,23.867,28.29,28.93,,68.025,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,14.8308,,14.0971,
Zambia,,,,,,,35.1075,27.714,26.679,
Zimbabwe,,,,,,17.9585,,,45.8033,
