Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Chile,0,,0.03654893815,0.07178314427,0.1410845067,0.3469807814,0.6834756102,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,38.8,45,53.8938
China,0,,,0.0001701470878,0.001177609293,0.004992261305,0.01317392519,0.03259961718,0.1695018079,0.7119992809,1.78501572,2.652214163,4.615566607,6.224044749,7.325216965,8.548580494,10.55173889,16.04366918,22.66176993,28.97659939,34.38999549,38.39788704
Christmas Island,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,,,,0.1071739453,0.1880467904,0.3300177727,0.5505210232,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.4
Comoros,0,,,,,,,0,0.03787096982,0.1481629644,0.2717406073,0.4430683725,0.554869675,0.8481893702,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5
"Congo, Dem. Rep.",0,,,,,,0.0001082067318,0.0002112132301,0.0004130651687,0.001009076135,0.005902113681,0.01147578192,0.09279070246,0.1349148374,0.1962083752,0.2380377987,0.2960536103,0.37,0.44,0.56,0.72,1.2
"Congo, Rep.",0,,,,,,0.003526860392,0.003469103643,0.003415143086,0.01679104916,0.02635473206,0.03222361643,0.1572495172,0.4600141868,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6
Cook Is,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,,0.001113325392,0.08150975385,0.2799124787,0.4168292061,0.8410570405,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,42.12
