"","wages","education","age","sex","language"
"91",NA,10,69,"Male","Other"
"92",15.49,14,33,"Female","English"
"93",10.4,13,62,"Female","English"
"94",NA,18,70,"Female","English"
"95",15.39,15,28,"Female","English"
"96",16.8,12.5,36,"Male","English"
"97",NA,10,42,"Male","English"
"98",15.36,20,47,"Female","English"
"99",NA,12.5,19,"Male","English"
"100",NA,10,16,"Male","English"
"101",17.98,12,53,"Female","English"
"102",NA,4,69,"Female","Other"
"103",NA,7,77,"Male","Other"
"104",NA,14,48,"Female","English"
"105",6.7,14,20,"Male","English"
"106",5,11,17,"Male","Other"
"107",12,12.8,20,"Male","English"
"108",6.66,15.5,31,"Female","English"
"109",NA,9.3,46,"Female","French"
"110",14,13.5,53,"Female","Other"
"111",25.6,14,34,"Male","English"
"112",18.43,17,28,"Male","Other"
"113",11.5,12,48,"Female","Other"
"114",14,8,27,"Male","English"
"115",NA,8,84,"Female","English"
"116",6.03,14,22,"Male","Other"
"117",NA,18,47,"Male","English"
"118",NA,12.5,51,"Female","English"
"119",8.23,13,45,"Female","English"
"120",NA,13,22,"Female","English"
"121",NA,12,71,"Male","English"
"122",15.36,11,51,"Female","French"
"123",NA,13,60,"Female","English"
"124",13.75,8.5,57,"Male","English"
"125",NA,14,37,"Female","English"
"126",7.44,9,34,"Male","English"
"127",24.96,18,44,"Female","English"
"128",33.18,20,54,"Male","English"
"129",NA,13,19,"Male","English"
"130",NA,11,81,"Female","English"
"131",11.59,13.4,26,"Male","English"
"132",NA,19,73,"Male","English"
"133",14.09,14,33,"Male","English"
"134",NA,13,62,"Male","English"
"135",23.52,13,32,"Male","English"
"136",15.84,12,48,"Male","English"
"137",23.72,9.5,50,"Male","English"
"138",8.37,12.5,65,"Female","English"
"139",NA,8,32,"Male","French"
"140",NA,9.5,47,"Female","French"
"141",NA,12,24,"Female","English"
"142",10.2,12,26,"Female","English"
"143",7.61,14,23,"Female","English"
"144",NA,7,57,"Male","Other"
"145",NA,13,62,"Female","Other"
"146",NA,10.5,63,"Male","English"
"147",NA,13,37,"Female","English"
"148",6.75,10,21,"Male","English"
"149",25.91,14,35,"Female","English"
"150",NA,8,66,"Female","English"
"151",NA,15,35,"Female","English"
"152",NA,14,33,"Male","English"
"153",NA,12,19,"Male","French"
"154",15.94,13.2,35,"Female","English"
"155",6.71,13,28,"Male","English"
"156",20.79,12,34,"Female","English"
"157",NA,9,59,"Female","English"
"158",8.75,12,49,"Female","English"
"159",20.99,14,47,"Male","English"
"160",NA,10,31,"Male","English"
"161",40.32,14,42,"Male","English"
"162",8.2,14,19,"Male","English"
"163",11,13,27,"Female","English"
"164",15,12.5,30,"Male","English"
"165",NA,10,52,"Female","English"
"166",40.8,20,60,"Male","English"
"167",8,12,51,"Female","English"
"168",14.5,10.5,45,"Female","English"
"169",9,13,31,"Female","English"
"170",14.4,8.5,51,"Male","English"
"171",NA,5,79,"Male","Other"
"172",NA,12,60,"Female","Other"
"173",12,11,53,"Female","French"
"174",NA,8,55,"Female","English"
"175",NA,15.5,53,"Female","English"
"176",7,14.3,18,"Male","English"
"177",NA,6,73,"Female","Other"
"178",25.92,18,48,"Male","English"
"179",NA,13,60,"Female","English"
"180",NA,9,69,"Female","English"
"181",NA,12,18,"Male","English"
"182",25.44,11,41,"Male","English"
"183",10,12.1,34,"Female","English"
"184",12.97,15.1,56,"Male","English"
"185",7,14,19,"Male","English"
"186",NA,14,33,"Female","English"
"187",NA,11,43,"Male","English"
"188",8.89,12,18,"Female","English"
"189",21.57,9,41,"Male","Other"
"190",NA,16,74,"Female","English"
"191",10.4,NA,55,"Female","English"
"192",NA,4,62,"Male","Other"
"193",20.61,12.5,40,"Male","French"
"194",11.11,11,41,"Male","Other"
"195",NA,7,50,"Female","English"
"196",NA,8,79,"Female","English"
"197",NA,16,86,"Male","English"
"198",NA,5,83,"Male","Other"
"199",22.13,14,55,"Male","English"
"200",NA,8,72,"Female","English"
"201",13.5,17,30,"Male","English"
"202",13.29,NA,29,"Female",NA
"203",NA,12,53,"Female","English"
"204",NA,12,50,"Female","Other"
"205",NA,8,64,"Female","English"
"206",21.56,19.1,32,"Male","English"
"207",NA,12.5,30,"Female","English"
"208",6.75,10,16,"Male","Other"
"209",NA,14.1,23,"Female","English"
"210",NA,8,62,"Female","French"
"211",9,14,68,"Female","English"
"212",NA,14.6,35,"Male","English"
"213",13,14.8,25,"Female","Other"
"214",NA,12,45,"Female","English"
"215",5.54,18,23,"Male","English"
"216",6.48,11,17,"Male","English"
"217",40.8,16.8,39,"Male","English"
"218",NA,17,67,"Male","English"
"219",13.01,10.5,39,"Female","English"
"220",NA,11,51,"Male","Other"
"221",19.17,17,49,"Male","English"
"222",NA,13,32,"Male","English"
"223",NA,11.5,83,"Female","English"
"224",25.75,12.5,31,"Male","English"
"225",30,20,39,"Male","English"
"226",NA,12.5,42,"Male","English"
"227",NA,7,60,"Male","French"
"228",9.25,10,40,"Female","English"
"229",5.76,10,17,"Male","English"
"230",3.75,11,17,"Male","English"
"231",40.96,10.5,54,"Male","English"
"232",21.39,18,41,"Female","English"
"233",NA,15,74,"Female","English"
"234",NA,13,67,"Female",NA
"235",3.12,17.5,24,"Male","Other"
"236",NA,11,42,"Male","English"
"237",NA,10.5,37,"Male","English"
"238",14.96,16.1,28,"Female","English"
"239",NA,11,55,"Female","English"
"240",12.55,13,37,"Male","Other"
"241",6.75,15.5,21,"Female","English"
"242",10.56,11.8,21,"Male","English"
"243",10.75,12.1,18,"Male","English"
"244",NA,10,72,"Female","English"
"245",5.17,17.3,34,"Female","English"
"246",NA,17,46,"Male","English"
"247",NA,10,62,"Female","English"
"248",19.15,13,50,"Male","English"
"249",NA,11,32,"Female","English"
"250",35.66,20,48,"Male","Other"
"251",9.85,13.9,20,"Male","English"
"252",27.8,12,34,"Female","English"
"253",13.12,12,31,"Male","English"
"254",41.38,11.1,44,"Male","Other"
"255",31.5,15,42,"Male","English"
"256",15,17,58,"Female","English"
"257",14.85,13,38,"Male","French"
"258",19.2,14,28,"Male","French"
"259",7.31,11,63,"Female","English"
"260",13.88,12,33,"Female","Other"
"261",NA,13.5,70,"Female","English"
"262",NA,10,16,"Female","English"
"263",16,11,57,"Female","English"
"264",7.52,11.6,19,"Male","English"
"265",NA,0,80,"Female","Other"
"266",12.84,12.5,26,"Female","English"
"267",6.42,12.5,43,"Female","English"
"268",17.58,12,31,"Male","English"
"269",15.07,5,65,"Male","Other"
"270",NA,11,35,"Female","English"
"271",NA,8,64,"Male","English"
"272",28.66,17,50,"Male","English"
"273",6.06,12.5,20,"Female","English"
"274",17.68,12,34,"Male","English"
"275",28.78,16.3,40,"Male","English"
"276",9.22,13,31,"Female","English"
"277",7.6,11,27,"Male","English"
"278",13.29,8,53,"Male","English"
"279",NA,8,47,"Male","English"
"280",7.2,14.6,19,"Male","English"
"281",NA,11,17,"Female","English"
"282",NA,12,36,"Male","English"
"283",NA,8,70,"Male","English"
"284",NA,15,47,"Male","English"
"285",NA,10,64,"Male","French"
"286",14.03,8,39,"Male","Other"
"287",23.04,14,40,"Male","English"
"288",12.3,20,40,"Male","English"
"289",NA,13.1,41,"Male","Other"
"290",NA,14,52,"Female","English"
"291",21.5,13.6,24,"Male","English"
"292",NA,5,84,"Male","French"
"293",9.4,11,19,"Female","English"
"294",11.5,8,59,"Male","English"
"295",5.92,14.5,22,"Female","English"
"296",NA,14,48,"Male","English"
"297",NA,10.5,26,"Female","English"
"298",NA,13.3,46,"Female","English"
"299",NA,12,31,"Female","English"
"300",NA,11,17,"Female","English"
"301",NA,8.5,71,"Female","English"
"302",27.79,13.5,57,"Female","English"
"303",NA,NA,79,"Male","Other"
"304",NA,8.5,61,"Female","English"
"305",NA,8,68,"Female","English"
"306",17.6,16.9,39,"Female","English"
"307",12,6,65,"Male","French"
"308",NA,14.5,25,"Female","English"
"309",22.19,16,32,"Male","English"
"310",NA,10,70,"Female","French"
"311",NA,10,16,"Male","English"
"312",9,14,20,"Male","English"
"313",12.83,17.4,45,"Female","English"
"314",5.9,10,16,"Male","English"
"315",NA,10,20,"Female","English"
"316",15.79,17.5,26,"Male","English"
"317",NA,17.1,25,"Female","English"
"318",7.15,11,17,"Male","English"
"319",21.15,12,41,"Male","English"
"320",NA,6,80,"Male","French"
"321",NA,15,38,"Male","English"
"322",17.14,12.5,30,"Female","French"
"323",NA,12,71,"Male","English"
"324",NA,8,70,"Male","English"
"325",19.68,11.5,34,"Male","English"
"326",10,16,31,"Male","English"
"327",NA,6,72,"Female","Other"
"328",7.66,16,20,"Female","English"
"329",NA,6,62,"Male","Other"
"330",NA,10,67,"Male","English"
"331",NA,8,71,"Female","English"
"332",7,8,35,"Female","English"
"333",14.23,9,55,"Male","French"
"334",6.5,16.3,20,"Female","English"
"335",NA,13,48,"Female","English"
"336",10.25,11.5,36,"Female","English"
"337",NA,13,49,"Female","English"
"338",10.5,14,25,"Male","French"
"339",8.92,19.1,25,"Male","English"
"340",NA,NA,56,"Male","Other"
"341",26.88,13,37,"Male","English"
"342",19.07,13,44,"Male","English"
"343",NA,6,79,"Male","English"
"344",12,14.1,36,"Female","English"
"345",NA,13,86,"Male","English"
"346",8.5,14,24,"Female","English"
"347",NA,10,69,"Male","English"
"348",19.67,12,36,"Female","Other"
"349",NA,18.1,62,"Male","English"
"350",NA,8,84,"Male","English"
"351",NA,12,50,"Female","French"
"352",NA,13,28,"Female","English"
"353",NA,12,26,"Female","English"
"354",23.04,20,38,"Male","English"
"355",NA,10,48,"Female","English"
"356",15.92,20,34,"Female","English"
"357",NA,18,59,"Male","English"
"358",8.83,10,64,"Female","English"
"359",16.46,18,25,"Female","English"
"360",NA,8,66,"Female","French"
"361",18.24,10,56,"Male","English"
"362",NA,12.5,42,"Female","English"
"363",12,14,37,"Female","English"
"364",28.8,10.1,58,"Male","English"
"365",NA,12,72,"Male","English"
"366",34.78,18.5,46,"Male","English"
"367",12.8,12.5,27,"Female","English"
"368",7.5,18.8,43,"Female","English"
"369",18.19,10,57,"Female","English"
"370",21.55,12,34,"Male","English"
"371",7,16,52,"Female","French"
"372",11.3,12,43,"Female","English"
"373",9.58,18,38,"Male","English"
"374",NA,12.5,36,"Female","Other"
"375",NA,10,70,"Female","English"
"376",NA,8,67,"Male","French"
"377",15.43,17.8,38,"Female","English"
"378",NA,12,68,"Female","English"
"379",NA,12,80,"Female","English"
"380",NA,9.5,70,"Female","English"
"381",12.58,0,38,"Female","English"
"382",NA,12,84,"Female","English"
"383",16.22,15,46,"Female","English"
"384",NA,5,72,"Female","English"
"385",13.65,14.5,29,"Female","English"
"386",NA,13,29,"Female","English"
"387",NA,9,68,"Male","English"
"388",16.8,17,30,"Female","English"
"389",8.5,13,31,"Female","English"
"390",NA,10.5,56,"Female","English"
"391",20.29,20,39,"Female","English"
"392",NA,16,24,"Female","French"
"393",NA,12,60,"Male","English"
"394",27.9,15,53,"Male","English"
"395",7,12,30,"Male","English"
"396",7.25,14.5,25,"Female","English"
"397",14.75,16,49,"Female","English"
"398",NA,13.5,35,"Male","French"
"399",17.45,17,40,"Female","English"
"400",NA,13,66,"Male","English"
"401",16,16.5,46,"Female","English"
"402",15.1,15.5,23,"Female","English"
"403",NA,8,62,"Female","Other"
"404",9,10,27,"Male","English"
"405",11.6,12.3,28,"Female","English"
"406",NA,14,46,"Male","French"
"407",16.48,12,33,"Male","English"
"408",NA,13.5,59,"Male","English"
"409",NA,14,43,"Female","English"
"410",NA,9,66,"Male","English"
"411",26.88,17,52,"Male","English"
"412",9.65,14,40,"Female","English"
"413",NA,11,67,"Female","English"
"414",23.35,20,44,"Male","English"
"415",10.59,12.5,29,"Female","English"
"416",NA,12.5,74,"Female","English"
"417",7.79,12,20,"Female","English"
"418",15.05,19,44,"Male","Other"
"419",6.5,13,19,"Female","English"
"420",4.8,10,34,"Male","Other"
"421",NA,10.6,24,"Female","English"
"422",NA,8,51,"Male","Other"
"423",21.33,20,36,"Female","English"
"424",22.99,12.5,51,"Female","English"
"425",16.28,16,24,"Male","English"
"426",7,12,18,"Male","English"
"427",NA,18,69,"Male","English"
"428",32.59,16,50,"Female","English"
"429",9.25,9,25,"Male","Other"
"430",7,13,19,"Male","English"
"431",21.12,17,43,"Female","English"
"432",NA,10,81,"Male","English"
"433",25.6,NA,33,"Female","French"
"434",18,13,44,"Male","French"
"435",19.94,12,31,"Female","Other"
"436",21.43,12,62,"Female","English"
"437",5.8,14,33,"Male","English"
"438",NA,10,72,"Male","English"
"439",17.67,13,42,"Female","English"
"440",16,13,43,"Female","English"
"441",NA,12,52,"Male","English"
"442",19.58,13,38,"Male","English"
"443",NA,9,64,"Male","English"
"444",15.65,14,49,"Male","English"
"445",15.42,14,23,"Male","English"
"446",7,13,47,"Female","English"
"447",11.27,9.5,34,"Female","English"
"448",29.87,NA,39,"Female",NA
"449",15,11,35,"Male","English"
"450",27.5,10,49,"Female","English"
"451",NA,8,61,"Female","Other"
"452",NA,8,80,"Male","English"
"453",7,8,50,"Female","English"
"454",NA,9,41,"Female","English"
"455",29.53,17,44,"Female","English"
"456",11.97,5.5,29,"Male","Other"
"457",9,9,30,"Male","Other"
"458",NA,5,52,"Female","Other"
"459",25.6,13,60,"Male","English"
"460",15.6,13,37,"Male","English"
"461",NA,8,73,"Female","English"
"462",11,4,54,"Male","Other"
"463",NA,8,52,"Female","French"
"464",11.25,12,35,"Male","English"
"465",32.91,18,43,"Female","English"
"466",14.2,14,37,"Male","English"
"467",NA,10,45,"Male","English"
"468",6.85,13,20,"Male","English"
"469",28.8,20,44,"Male","English"
"470",6.7,12,30,"Male","English"
"471",42.31,NA,60,"Male",NA
"472",6.62,10,17,"Female","English"
"473",NA,12.5,41,"Female","English"
"474",NA,14.5,51,"Female","English"
"475",28.54,15,32,"Female","English"
"476",22.27,19,50,"Male","English"
"477",30.72,20,40,"Male","French"
"478",NA,8,86,"Female","English"
"479",26.39,18,33,"Female","English"
"480",33.28,16.5,39,"Male","English"
"481",6.36,14.5,23,"Male","English"
"482",NA,18,42,"Female","Other"
"483",NA,9,55,"Female","French"
"484",12.86,13,30,"Female","English"
"485",18.29,14.5,36,"Male","English"
"486",13.6,16,28,"Female","English"
"487",18.25,17,28,"Female","English"
"488",16.62,9,32,"Female","French"
"489",NA,18,24,"Female","English"
"490",NA,7,58,"Female","English"
"491",6.35,10.1,17,"Female","English"
"492",NA,15,48,"Male","Other"
"493",15.79,NA,42,"Male","English"
"494",21.81,13,37,"Male","Other"
"495",NA,13,22,"Male","English"
"496",7.19,13,18,"Female","English"
"497",NA,6.5,68,"Male","Other"
"498",25.6,18,42,"Female","English"
"499",19,11,41,"Female","English"
"500",NA,12,84,"Male","English"
"501",NA,8,18,"Female","English"
"502",13.07,16,44,"Male","English"
"503",7,12,48,"Female","English"
"504",40.96,17,43,"Female","English"
"505",34.67,17,35,"Female","English"
"506",NA,12,22,"Female","French"
"507",13.21,NA,24,"Female","English"
"508",11.25,10.5,56,"Female","Other"
"509",24,14.5,54,"Male","English"
"510",NA,8,62,"Female","English"
"511",7,14,45,"Female","English"
"512",30.65,14,50,"Male",NA
"513",9.1,12.3,19,"Male","English"
"514",NA,13,81,"Female","English"
"515",23.04,13.5,50,"Female","English"
"516",NA,8,55,"Male","Other"
"517",NA,12,35,"Male","Other"
"518",20.1,17.1,32,"Female","English"
"519",13.91,18,31,"Female","English"
"520",18.72,18,42,"Male","English"
"521",24.38,20,30,"Male","English"
"522",6.83,13,27,"Female","English"
"523",20.91,16.2,26,"Male","English"
"524",14.85,12,30,"Female","English"
"525",NA,14,60,"Female","English"
"526",14.29,12.5,52,"Female","English"
"527",NA,13,86,"Female","English"
"528",NA,10.5,32,"Female","English"
"529",NA,7,60,"Male","English"
"530",8,16.1,20,"Female","English"
"531",14,18,37,"Male","English"
"532",8,13,23,"Male","English"
"533",12,12,53,"Female","English"
"534",NA,13.5,25,"Male","English"
"535",17.43,17,34,"Male","English"
"536",NA,18,81,"Male","Other"
"537",9.89,11,66,"Female","English"
"538",NA,12,57,"Female","English"
"539",9.56,17,24,"Female","English"
"540",12.13,12,51,"Female","English"
"541",NA,8,73,"Female","Other"
"542",NA,10,65,"Male","French"
"543",15,12,32,"Male","Other"
"544",NA,9.5,66,"Female","English"
"545",4.82,15,23,"Male","English"
"546",17.9,13,45,"Male","English"
"547",12.55,12.5,35,"Female","Other"
"548",27.73,17,52,"Female","English"
"549",10,14,26,"Female","English"
"550",9.83,14,37,"Female","English"
"551",NA,8,60,"Female","English"
"552",NA,9,69,"Female","English"
"553",NA,0,88,"Female","Other"
"554",22.23,16,41,"Female","Other"
"555",19.2,18.1,43,"Male","English"
"556",7.25,12,41,"Male","English"
"557",12,13.5,41,"Female","English"
"558",32.16,18,62,"Female","English"
"559",5,11,16,"Male","English"
"560",NA,12,64,"Male","English"
"561",NA,12,18,"Female","Other"
"562",24.32,16,21,"Male","English"
"563",9.76,14,29,"Female","French"
"564",21.6,11,48,"Male","English"
"565",NA,4,33,"Male","Other"
"566",16.5,12,31,"Female","English"
"567",NA,NA,67,"Male","Other"
"568",15,17,28,"Male","English"
"569",19.2,18.5,27,"Male","English"
"570",15.84,16.3,34,"Male","English"
"571",NA,10.2,19,"Female","English"
"572",NA,12.5,49,"Female","English"
"573",NA,12,34,"Male","English"
"574",11.2,8.5,48,"Male","French"
"575",NA,12,66,"Female","English"
"576",9,15.5,23,"Male","English"
"577",9.6,10,54,"Female","Other"
"578",14,17,38,"Female","English"
"579",NA,0,88,"Male","Other"
"580",NA,13,56,"Male","English"
"581",NA,13.3,37,"Female","Other"
"582",20,13,33,"Male","English"
"583",8,17,57,"Female","English"
"584",7.49,12,36,"Female","English"
"585",8.18,13.3,19,"Female","Other"
"586",NA,9,17,"Male","English"
"587",18.77,13,32,"Male","English"
"588",20.76,18,44,"Female","Other"
"589",26.38,8,60,"Male","Other"
"590",NA,8,63,"Female","English"
"591",10,16,38,"Female","English"
"592",NA,12,46,"Female","English"
"593",NA,10,32,"Male","English"
"594",7.1,9,38,"Female","Other"
"595",33.6,13,44,"Male","English"
"596",30.24,17,52,"Male","English"
"597",NA,13,80,"Female","English"
"598",13,18,29,"Female","Other"
"599",18.74,17,41,"Female","English"
"600",3.15,11.5,26,"Female","English"
"601",11.26,12,55,"Female","English"
"602",NA,15,72,"Female","English"
"603",NA,12,35,"Female","Other"
"604",NA,13,82,"Female","English"
"605",7.25,12,20,"Female","English"
"606",12.5,11,35,"Female","English"
"607",8.8,12.3,35,"Female","French"
"608",NA,16,56,"Male","English"
"609",NA,8,83,"Female","Other"
"610",14.4,17,62,"Female","English"
"611",NA,9,37,"Male","English"
"612",NA,8,70,"Female","English"
"613",NA,5,49,"Female","Other"
"614",24.33,15.3,37,"Male","English"
"615",NA,12.9,18,"Female","English"
"616",9,17,44,"Male","English"
"617",21.6,13.1,49,"Female","English"
"618",12.79,12,47,"Female","French"
"619",15.36,11,64,"Male","English"
"620",NA,10,68,"Male","English"
"621",14.49,16,53,"Female","Other"
"622",14.05,15,33,"Male","English"
"623",16.42,7.6,39,"Male","French"
"624",8.97,13.1,22,"Female","Other"
"625",8,11.2,60,"Female","English"
"626",13.5,16.1,36,"Female","English"
"627",NA,11,55,"Female","English"
"628",NA,8,57,"Female","Other"
"629",12,20,29,"Male","English"
"630",10.25,12.2,23,"Female","English"
"631",27.43,16,55,"Male","English"
"632",NA,10,45,"Female","English"
"633",NA,12,46,"Female","Other"
"634",NA,10,63,"Male","English"
"635",NA,15,55,"Female","English"
"636",11.32,17.5,34,"Male","English"
"637",15.77,12.5,33,"Male","English"
"638",NA,NA,26,"Female",NA
"639",NA,NA,53,"Male",NA
"640",10.87,14,35,"Male","English"
"641",NA,8,85,"Female","English"
"642",11.29,10,38,"Female","English"
"643",28.8,12,55,"Male","English"
"644",NA,12,33,"Female","English"
"645",7.41,13,20,"Male","English"
"646",15,13,32,"Male","English"
"647",10.05,12,23,"Female","French"
"648",NA,15,23,"Female","English"
"649",7.08,16,27,"Male","English"
"650",18.28,16.1,37,"Male","English"
"651",7,NA,16,"Male",NA
"652",NA,11,68,"Female","Other"
"653",11.5,13.5,27,"Male","English"
"654",16,15,46,"Female","English"
"655",15,15.5,25,"Female","English"
"656",12,13,47,"Female","English"
"657",8.13,10,51,"Female","English"
"658",19,8,53,"Male","English"
"659",NA,8,54,"Male","Other"
"660",7,18.5,26,"Female","English"
"661",NA,13,53,"Female","English"
"662",NA,8,20,"Male","English"
"663",NA,13,70,"Female","French"
"664",NA,8,74,"Male","English"
"665",8.61,12,55,"Female","English"
"666",23.46,18,49,"Female","English"
"667",5.93,10.5,28,"Female","French"
"668",NA,NA,71,"Female","English"
"669",NA,11,37,"Female","English"
"670",19.75,17.4,43,"Male","English"
"671",7.2,17,23,"Female","English"
"672",13.44,10.6,38,"Female","English"
"673",15.5,12,50,"Female","English"
"674",7.12,12,35,"Female","English"
"675",9.14,17,41,"Female","English"
"676",17.88,16,38,"Female","Other"
"677",18.75,15,27,"Male","English"
"678",NA,NA,18,"Female","English"
"679",NA,11,69,"Female","English"
"680",20.5,17,39,"Female","English"
"681",NA,9.5,72,"Male","English"
"682",NA,14,37,"Female","Other"
"683",NA,13,55,"Male","English"
"684",31.8,17.3,41,"Male","English"
"685",6.75,12.6,19,"Female","English"
"686",NA,7,77,"Female","English"
"687",NA,15,74,"Female","English"
"688",NA,10,49,"Female","English"
"689",NA,12,34,"Female","English"
"690",NA,10,16,"Male","English"
"691",NA,12,24,"Male","English"
"692",9.05,11.1,33,"Female","English"
"693",7,11,17,"Female","English"
"694",11.5,9,37,"Female","English"
"695",NA,10,16,"Male","English"
"696",11,10,34,"Female","French"
"697",NA,11,86,"Male","English"
"698",10.81,0,49,"Male","Other"
"699",10.75,NA,20,"Male","English"
"700",25.08,14,38,"Male","English"
"701",NA,13,40,"Male","Other"
"702",NA,13,20,"Female","English"
"703",NA,11.5,42,"Female","English"
"704",NA,12,79,"Male","English"
"705",6.7,11,19,"Male","English"
"706",NA,10,76,"Male","English"
"707",NA,12,78,"Female","English"
"708",10.2,12,61,"Female","English"
"709",NA,14,21,"Male","English"
"710",24,15,51,"Male","Other"
"711",NA,12,46,"Male","English"
"712",16.3,12.1,26,"Male","English"
"713",18.39,12,51,"Male","English"
"714",NA,10,34,"Male","English"
"715",3.62,13,57,"Male","French"
"716",NA,9,56,"Female","English"
"717",24,11,58,"Male","English"
"718",NA,14,35,"Female","French"
"719",16,12.5,44,"Female","English"
"720",14.5,12.6,36,"Female","English"
"721",NA,9,88,"Male","English"
"722",NA,8,24,"Female","English"
"723",22.81,8,45,"Male","Other"
"724",19.18,12,32,"Male","English"
"725",NA,8,74,"Male","English"
"726",8,11,39,"Female","English"
"727",13.68,12,37,"Male","English"
"728",NA,18,44,"Female","English"
"729",NA,12,32,"Male","Other"
"730",NA,14,31,"Male","English"
"731",NA,15,24,"Male","English"
"732",9.42,12.5,49,"Female","Other"
"733",28.8,16,38,"Female","English"
"734",NA,11,45,"Female","Other"
"735",NA,8,69,"Male","English"
"736",28.8,14,54,"Female","English"
"737",NA,13.5,48,"Female","English"
"738",21.23,15,37,"Male","English"
"739",24.46,13,32,"Female","English"
"740",NA,8.2,32,"Female","English"
"741",NA,16,59,"Female","English"
"742",NA,13,43,"Female","English"
"743",16,12.5,41,"Male","English"
"744",NA,13.5,34,"Male","English"
"745",NA,10,54,"Female","English"
"746",NA,13,47,"Male","English"
"747",NA,14.6,20,"Male","English"
"748",17.07,14,32,"Female","English"
"749",NA,12,40,"Female","French"
"750",38,17,46,"Male","English"
"751",NA,11,17,"Male","English"
"752",20.1,14,42,"Male","French"
"753",18.19,12,50,"Female","French"
"754",8,13,37,"Female","English"
"755",NA,7,50,"Female","English"
"756",7,13,23,"Male",NA
"757",NA,6.9,56,"Female","French"
"758",NA,12,59,"Female","English"
"759",NA,9,26,"Female","English"
"760",NA,10,57,"Male","English"
"761",27.84,17.3,41,"Female","English"
"762",NA,13,40,"Male","English"
"763",17.59,9,61,"Male","English"
"764",NA,13,47,"Female","English"
"765",NA,12.3,47,"Male","English"
"766",7,14.1,19,"Male","English"
"767",NA,17,56,"Female","French"
"768",15.36,11,45,"Male","English"
"769",NA,13.5,70,"Female","English"
"770",NA,15,37,"Male","English"
"771",14,8,64,"Male","English"
"772",NA,11,55,"Male","English"
"773",15,13,34,"Male","English"
"774",13.59,14.1,29,"Female","English"
"775",NA,16.5,29,"Male","English"
"776",NA,8,70,"Male","Other"
"777",NA,20,87,"Female","English"
"778",NA,10,47,"Male","Other"
"779",9.6,10,17,"Female","English"
