Event_id,cause_of_death,dataset,date,quarter,Date-month,Year,dead,dead_and_missing,description,latitude,location,longitude,latlong,missing,name,route,source,source_url
80995,Drowned,,2015-05-02T00:00:00Z,2Q2015,2015 -- 5,2015,3,3,Three people were killed Saturday when a boat carrying migrants sunk off the coast of Beheira governorate’s Edku city.        ,31.510077,"Off Egypt, (Idku)       ",30.21185,"31.510077, 30.21185",0,"3 people die after boat sinks, 2 May 2015",Central Mediterranean route,dailynewsegypt,http://www.dailynewsegypt.com/2015/05/03/3-illegal-immigrants-die-after-boat-sinks/
80309,struck by a train,,2015-04-24T00:00:00Z,2Q2015,2015 -- 4,2015,14,14,"Fourteen migrants were killed when they were struck by a train in a narrow gorge in Macedonia late on Thursday, part of a growing tide of people trying to get to western Europe via the Balkans instead of crossing the treacherous Mediterranean.",41.713846,"Veles, macedonia",21.770409,"41.713846, 21.770409",0,"Fourteen migrants were killed when they were struck by a train on April 24, 2015",Western Balkan route       ,Reuters,http://www.reuters.com/article/2015/04/24/us-macedonia-migrants-idUSKBN0NF0JD20150424
80323,Run over by a bus,,2015-04-22T00:00:00Z,2Q2015,2015 -- 4,2015,1,1,"The incident took place on Tuesday night on a ferry linking Igoumenitsa in northwest Greece with Bari across the Adriatic Sea in southeast Italy, Ana said. As the bus drove onto the ferry ramp, the 21-year-old migrant was struck and fatally injured by the axle.        ",39.50615,"Igoumenítsa, Nome de Thesprotie, Greece",20.265534,"39.50615, 20.265534",0,"Migrant dies in Greece after hiding in bus undercarriage on April 22, 2015",Apulia and Calabria route        ,thelocal.it,http://www.thelocal.it/20150423/migrant-dies-trying-to-smuggle-onto-car-ferry-to-italy
79134,Drowned,,2015-04-20T00:00:00Z,2Q2015,2015 -- 4,2015,20,450,2 Boats Carrying 400 People Send Distress Calls,33.349987,Off Libya,13.58879,"33.349987, 13.58879",0,2 Boats Carrying 400 People Send Distress Calls,Central Mediterranean route,ABCnews,http://abcnews.go.com/International/wireStory/eu-beef-border-agency-confront-migrant-influx-30439077
78862,Drowned,,2015-04-20T00:00:00Z,2Q2015,2015 -- 4,2015,3,3,"The boat hit a reef at Zephyros beach in Rhodes and the migrants started to flee to the shore, jumping into the sea, withor help. According to preliminary information released by the authorities, the boat sailed from the coast of Turkey. The smuggler abandoned the migrants in the middle of the sea, however, they still managed to reach Rhodes.",36.434963,"Rhodes, Greece",28.217483,"36.434963, 28.217483",0,"200 Migrants Leaves 3 Dead in Rhodes on April 20, 2015",Eastern Mediterranean route,greekreporter,http://greece.greekreporter.com/2015/04/20/tragedy-with-200-migrants-leaves-3-dead-in-rhodes/
78860,Drowned,,2015-04-19T02:00:00Z,2Q2015,2015 -- 4,2015,24,800,800 migrants feared dead in Mediterranean shipwreck,33.867198,about 60 miles (96km) off the Libyan coast and 120 miles (193km) south of the Italian island of Lampedusa.,12.279102,"33.867198, 12.279102",739,"700 migrants feared dead in Mediterranean shipwreck on April 19, 2015",Central Mediteranean Route,The Guardian,http://www.theguardian.com/world/2015/apr/19/700-migrants-feared-dead-mediterranean-shipwreck-worst-yet
78861,burned,,2015-04-17T00:00:00Z,2Q2015,2015 -- 4,2015,1,1,"Just under 70 migrants, many suffering from severe burns, were picked up by Italian coastguards in the Mediterranean sea between northern Libya and Italy on Friday, after spending two days stranded on a half-inflated dinghy. One 25-year old woman died during the journey.",33.349987,Between northern Libya and Italy,13.58879,"33.349987, 13.58879",0,"Severely burnt migrants found stranded in the Mediterranean on April 17, 2015",Central Mediterranean route,,https://ruptly.tv/vod/view/27158/italy-severely-burnt-migrants-found-stranded-in-the-mediterranean-graphic
78478,Drowned,,2015-04-16T00:00:00Z,2Q2015,2015 -- 4,2015,0,41,,36.2,Between LY and Trapani,12.5,"36.2, 12.5",41,41 feared dead on April 16 2015,Central Mediterranean Route,AP,
78476,Drowned,,2015-04-14T00:00:00Z,2Q2015,2015 -- 4,2015,0,12,,34.7,Between LY and Sicily,15.5,"34.7, 15.5",12,12 thrown overboard on April 14,Central European Route,AP,
78306,Drowned,,2015-04-13T02:00:00Z,2Q2015,2015 -- 4,2015,9,400,"About 400 migrants are feared died in an attempt to reach Italy from Libya when their boat capsized, survivors said.",35,Off Libya (24 hours after departure),15.1,"35, 15.1",400,Ship capsizes off Libya on Apr 15 2015,Central Mediterranean Route,Reuters,
78172,Drowned,,2015-04-12T00:00:00Z,2Q2015,2015 -- 4,2015,9,9,,33.4,Off Libya,15.3,"33.4, 15.3",0,9 dead in shipwreck off Libya on Apr 12 2015,Central Mediterranean Route,Reuters,
78114,Unknown,,2015-04-11T00:00:00Z,2Q2015,2015 -- 4,2015,1,1,"Migrants were picked up by three merchant vessels and an Italian navy ship. In all 978 people were rescued, one person had died before help arrived.",34.9,,15,"34.9, 15",0,"One dead on April 11, 2015",Central Mediterranean Route,Times of Malta,
78112,Drowned,,2015-04-10T00:00:00Z,2Q2015,2015 -- 4,2015,1,1,A ship carrying 200 migrants capsized near Egypt's Mediterranean coast.,32,"off Borg Borolos, Kafr al-Sheikh",30.6,"32, 30.6",0,"Shipwreck off Kafr al-Sheikh on April 10, 2015",Central Mediterranean Route,MadaMasr,
78096,Drowned,,2015-04-07T00:00:00Z,2Q2015,2015 -- 4,2015,7,11,"Seven persons were found dead while another nine were rescued by members of the Turkish coast guard, after they were spotted east of the Greek island Symi, near Rhodes.",36.6,East of Symi,27.9,"36.6, 27.9",4,7 dead in Symi on Apr 7 2015,Eastern Mediterranean Route,Greek Reporter,
77230,Drowned,,2015-03-17T00:00:00Z,1Q2015,2015 -- 3,2015,5,5,At least five people were killed when a boat carrying migrants sank near the southwestern province of Muƒüla early on March 17.,36.9,Off Kos,27.4,"36.9, 27.4",0,"5 die on March 17, 2015",Eastern Mediterranean Sea,H√ºrriyet,
77186,Drowned,,2015-03-09T00:00:00Z,1Q2015,2015 -- 3,2015,4,12,Four dead and 8 missing on a 30-person boat.,29.01,Off Lanzarote,-12.79,"29.01, -12.79",8,"4 dead off the Canary Islands on March 9, 2015",West African Route,El Mundo,
76897,Drowned,,2015-03-04T00:00:00Z,1Q2015,2015 -- 3,2015,10,50," A boat transporting migrants has capsized off Sicily, killing at least ten people.",36.1,off Sicily,15.2,"36.1, 15.2",40,"50 dead on March 4, 2015",Central Mediterranean Route,AFP,
77628,Drowned,,2015-02-26T00:00:00Z,1Q2015,2015 -- 2,2015,2,2,Two men jump ship as they are being deported from the UK to Belgium.,51.924,500m off Harwich,1.44,"51.924, 1.44",0,"2 Albanians jump ship on Feb 26, 2015",,East Anglian Daily Times,
76884,untreated diabetes,,2015-02-20T00:00:00Z,1Q2015,2015 -- 2,2015,1,1,,,,,,0,Death of Mohamed Camara,,Socialist Worker,
76894,Suicide - hanged,,2015-02-13T00:00:00Z,1Q2015,2015 -- 2,2015,1,1,,40.634676,,22.943048,"40.634676, 22.943048",0,Suicide at Amygdaleza camp,,Socialist Worker,
76892,Suicide,,2015-02-13T00:00:00Z,1Q2015,2015 -- 2,2015,1,1,,40.634676,Thessaloniki police station,22.943048,"40.634676, 22.943048",0,Migrants commits suicide at Thessaloniki police station,,Socialist Worker,
76382,Drowned,,2015-02-10T00:00:00Z,1Q2015,2015 -- 2,2015,0,300,300 migrants and refugees are thought to be dead by UN agencies based on survivors' testimonies.,33.7,Off Libya,13.6,"33.7, 13.6",300,300 die in stormy sea in early February 2015,Central Mediterranean Route,NYT,
76888,HIV after being denied treatment,,2015-02-10T00:00:00Z,1Q2015,2015 -- 2,2015,1,1,,38.1260386,,23.7367192,"38.1260386, 23.7367192",0,Death of Sayed Mehdi Achmpari,,Socialist Worker,
76304,Hypotherimia,,2015-02-09T00:00:00Z,1Q2015,2015 -- 2,2015,29,29,More than 20 died of hypothermia. Another 15 in critical condition.,35.4,Off Lampedusa,12.6,"35.4, 12.6",0,29 die of hypothermia off Lampedusa on 9 February 2015,Central Mediterranean Route,"adnkronos.com, Reuters",
76102,Drowned,,2015-01-30T00:00:00Z,1Q2015,2015 -- 1,2015,8,8,A boat carrying illegal migrants sank off the Mediterranean shore near the Spanish enclave of Melillla.,35.235482,"Boukana beach, near Nador",-2.873268,"35.235482, -2.873268",0,8 dead off Morocco on 30 January 2015,Western Mediterranean Route,AP,
75654,"Drowned, dehydration",,2015-01-22T00:00:00Z,1Q2015,2015 -- 1,2015,1,21,"A Maltese patrol boat rescued about 80 migrants, who claimed 20 had died since leaving from Tripoli. A man died in a Maltese hospital after disembarking.",35.4,Off Malta,14,"35.4, 14",20,20 missing off Malta on 22 January 2015,Central Mediterranean Route,Times of Malta,
75619,car crash,,2015-01-20T00:00:00Z,1Q2015,2015 -- 1,2015,12,12,"A people smuggler was carrying 12 Nigerien illegal immigrants from Tarhuna to Tripoli when a military patrol pursued his vehicle. During the pursuit, two military vehicles hit the smuggler's car, causing a tragic accident, in which the smugglers, the 12 immigrants and four troops were killed.",32.5,Between Tarhuna and Tripoli,13.3,"32.5, 13.3",0,12 killed in car chase in Libya on 20 January 2014,,Anadolu Agency,
77409,Drowned,,2015-01-05T00:00:00Z,1Q2015,2015 -- 1,2015,6,6,A patera capsized. Refugees and migrants from another boat were able to rescue six people.,36.4,80km off the Algerian coast,-0.9,"36.4, -0.9",0,5 dead off Murcia on Jan 5 2015,Western Mediterranean,El Periodico,
74815,,,2014-12-31T00:00:00Z,4Q2014,2014 -- 12,2014,4,4,Four migrants were found dead on a cargo ship which was taken to Italy after apparently being abandoned by its crew in Greek waters.,39.2,Off Corfu,19.7,"39.2, 19.7",0,Four migrants found dead on packed cargo ship brought to Italy on 31 December 2014,Eastern Mediterranean Route,Reuters,
74032,Drowned,,2014-12-23T00:00:00Z,4Q2014,2014 -- 12,2014,4,4,Four African migrants died on a raft while attempting the Mediterranean Sea crossing to southern Italy.,35.4,south of Lampedusa,12.6,"35.4, 12.6",0,4 die near Lampedusa on 23 December 2014,Central Mediterannean Route,"Xinhua, ANSA",
73828,Drowned,,2014-12-19T00:00:00Z,4Q2014,2014 -- 12,2014,9,9,Moroccan authorities recovered the bodies of three babies and six adults who died while trying to cross to Spain in a small boat.,35.97,Strait of Gibraltar,-5.84,"35.97, -5.84",0,"Nine migrants die in Strait of Gibraltar on December 19, 2014",Western Mediterranean Route,The Local,
72866,Run over by lorry,,2014-12-12T00:00:00Z,4Q2014,2014 -- 12,2014,1,1,A Sudanese man believed to have travelled to the UK from Calais by clinging to the bottom of a lorry has died after falling between its wheels on the M25.,51.7,Junction 24 of M25,-0.15,"51.7, -0.15",0,"Death on M25 on December 12, 2014",,ITV,
72766,Drowned,,2014-12-06T00:00:00Z,4Q2014,2014 -- 12,2014,0,20,A vessel got into trouble south of Almeria. 30 were rescued.,36.3,Off Almeria,-2.5,"36.3, -2.5",20,"20 missing after storm off Almeria on December 8, 2014",Western Mediterranean Route,World Bulletin,
72703,hypothermia and dehydration,,2014-12-05T00:00:00Z,4Q2014,2014 -- 12,2014,17,17,Italian sailors have rescued 278 migrants in the Strait of Sicily but found 16 others dead in their inflatable boat and one more who died shortly after help arrived.,35.5,Off Lampedusa,12.6,"35.5, 12.6",0,"17 dead near Lampedusa on Dec 5, 2014",Central Mediterranean Route,Reuters,
75444,Drowned,,2014-12-03T00:00:00Z,4Q2014,2014 -- 12,2014,0,10,Two Cameroonian migrants are suspected by Spanish police of killing up to 10 other migrants by pushing them from a boat into stormy waters in a fight over a prayer session.,,,,,10,10 people thrown overboard on 3 December 2014,Western Mediterranean Route,Press Association,
72654,,,2014-11-28T00:00:00Z,4Q2014,2014 -- 11,2014,0,18,IOM reported that 18 migrants from Africa and the Middle East attempting to reach Europe disappeared and are presumed dead.,,,,,18,"18 missing migrants presumed dead on Nov 30, 2014",,AFP,
72657,Burnt,,2014-11-20T00:00:00Z,4Q2014,2014 -- 11,2014,2,2,Two Britain-bound migrants burn to death in the back of lorry in Dunkirk.,51.03,"Dunkirk, France",2.38,"51.03, 2.38",0,"2 migrants burn to death in lorry on November 20, 2014",,Daily Mail,
72567,Lack of medical care,,2014-11-06T00:00:00Z,4Q2014,2014 -- 11,2014,1,1,"Asfak had suffered serious respiratory problems for months, though he was only hospitalised as his condition became life threatening, according to Greek anti-racism group Keerfa.",38.1262665,Amygdaleza detention center,23.7379745,"38.1262665, 23.7379745",0,Death of Mohamed Asfak on 6 November 2014,,AFP,
70812,Drowned,,2014-11-02T00:00:00Z,4Q2014,2014 -- 11,2014,10,30,A small boat carrying about 40 people capsized on its way to Romania. Turkish coast guards rescued sex persons.,41.24,near Rumeli Feneri,29.12,"41.24, 29.12",20,Boat sinks off north coast of Istanbul on 2 November 2014,Eastern Mediteranean Sea,H√ºrriyet,
76208,Drowned,,2014-11-01T00:00:00Z,4Q2014,2014 -- 11,2014,2,2,Two boats carrying 38 Algerian migrants were intercepted off the coast of Almeria. Two migrants died during the crossing when they fell overboard.,36.4,Off Almeria,-2.3,"36.4, -2.3",0,2 fall overboard near Almeria in November 2014,Western Mediterranean Route,euroweeklynews,
64794,Run over,,2014-10-21T00:00:00Z,4Q2014,2014 -- 10,2014,3,3,A 16-year-old girl Ethiopian girl died after being hit by a car as she attempted to run across a motorway outside Calais in the early hours of the morning. She was the third migrant to die on the roads in as many weeks.,50.9,"Calais, France",1.86,"50.9, 1.86",0,"Death of an Ethiopian girl on October 21, 2014 in Calais",,Telegraph,
72722,drowning,SZ,2014-10-10T00:00:00Z,4Q2014,2014 -- 10,2014,18,38,Eighteen people were killed when a boat capsized near the Konta landing point straddling the small ports of Farmoriah and Benty,9.224,Off Guinea,-13.538,"9.224, -13.538",20,Event off Guinea on 10.10.14,Western African Route,AFP,
72724,drowning,SZ,2014-10-03T00:00:00Z,4Q2014,2014 -- 10,2014,0,40,Two shipwrecks off the coast of Libya are thought to have left about 130 migrants dead,33.51,Off Libya,12.8,"33.51, 12.8",40,"Event off Libya on Oct 3, 2014",Central Mediterranean Route,dpa,
58376,Drowned,,2014-10-02T00:00:00Z,4Q2014,2014 -- 10,2014,10,90,A boat with about 180 people on board sank shortly after leaving. 90 were rescued.,33.6,3nm off Tripoli,13.3,"33.6, 13.3",80,Shipwreck off Tripoli,Central Mediteranean Route,AFP,
72726,drowning,SZ,2014-10-01T00:00:00Z,4Q2014,2014 -- 10,2014,2,8,a dinghy carrying 8 migrants sank,35.94,Off Morocco,-5.38,"35.94, -5.38",6,Event off Morocco,Central Mediterranean Route,AFP,
70800,Lack of medicine,,2014-09-30T00:00:00Z,3Q2014,2014 -- 9,2014,0,1,"26-year-old Palestinian, Wael Adeeb Shahwan left the Gaza Strip for Alexandria, smuggled through the tunnels and on the high seas. One night around 20 September, Wael was smuggled onto a boat near Alexandria. The smugglers had stolen everyone's bags and mobile phones, meaning Wael - a diabetic - did not have his insulin.",,Off the Egyptian coast,,,1,Death of a diabetic on a raft in September 2014,Central Mediterannean Route,,
72728,drowning,SZ,2014-09-29T00:00:00Z,3Q2014,2014 -- 9,2014,70,70,Two boats carrying migrants to Europe capsize near Tripoli,32.92,Off Tripoli,13.335,"32.92, 13.335",0,"Event off Libya on Sep 29, 2014",Central Mediterranean Route,AP,
57511,Drowned,,2014-09-22T00:00:00Z,3Q2014,2014 -- 9,2014,10,45,The overcrowded boat was attempting the crossing from North Africa to Italy.,33.3,50km off the Libyan coast,13.6,"33.3, 13.6",35,"45 die in shipwreck on September 22, 2014",Central Mediterranean Route,AFP,
57360,Drowned,,2014-09-15T00:00:00Z,3Q2014,2014 -- 9,2014,3,6,102 migrants were rescued off Al-Qarbuli.,33,Off Al-Qarbuli,13.4,"33, 13.4",3,"6 dead off Al-Qarbuli on September 15, 2014",Central Mediteranean Route,AFP,
57331,Drowned,,2014-09-14T00:00:00Z,3Q2014,2014 -- 9,2014,0,225,A boat capsized a few miles off the Libyan coast. 26 were rescued by the Libyan Navy.,33.4,near Tajoura,13.3,"33.4, 13.3",225,"200 die in shipwreck on September 14, 2014",Central Mediterranean Route,"Libyan Navy, AJE",
57302,Drowned,,2014-09-13T00:00:00Z,3Q2014,2014 -- 9,2014,15,15,Fifteen migrants from Gaza died on Saturday after a boat they were riding in capsized. The boat had been wrecked after hitting a rock off the coast soon after departing from shore.,32.3,off the coast of al-Ajami,29.7,"32.3, 29.7",0,"15 Palestinian migrants dead after boat capsizes off Egypt coast on September 13, 2014",Central Mediterranean Route,Ma'an,
57234,Drowned,,2014-09-12T00:00:00Z,3Q2014,2014 -- 9,2014,7,500,"A merchant ship rescued two migrants, who said a total of 30 had been on board. Later interviews put the figure at 500. They also added that the smugglers purposefully sunk the boat.",34.1,300mi SE of Malta,15.7,"34.1, 15.7",0,"Shipwreck off Malta on September 12, 2014",Central Mediterranean Route,"AP, IOM",
72730,drowning,SZ,2014-09-12T00:00:00Z,3Q2014,2014 -- 9,2014,2,2,two migrants drowned and six more were rescued when their boat sank in the Mediterranean Sea near Malta,35,Off Malta,16,"35, 16",0,Event off Malta on 12.09.14,Central Mediterranean Route,AFP,
72732,drowning,SZ,2014-09-10T00:00:00Z,3Q2014,2014 -- 9,2014,160,160,"more than 160 African migrants were feared dead after an overloaded boat heading for Italy capsized off the coast of Libya, Libyan officials recovered dozens of bodies, 36 are rescued",33.1,Off Libya,13.3,"33.1, 13.3",0,Event off Libya,Central Mediterranean Route,Telegraph,
72734,drowning,SZ,2014-08-31T00:00:00Z,3Q2014,2014 -- 8,2014,15,15,Libyan coastguards found 15 bodies of sub-Saharan African migrants floating in the sea near a ripped inflatable boat,33,Off Tripoli,14,"33, 14",0,"Event off Libya on Aug 31, 2014",Central Mediterranean Route,AFP,
56657,Drowned,,2014-08-31T00:00:00Z,3Q2014,2014 -- 8,2014,0,100,"The coast guard found the damaged rubber boat off the shores of al-Qarbouli, 50 kilometers (30 miles) east of Tripoli. The coast guard has estimated the boat carried at least 100 people.",33,Off Al Garbouli,14,"33, 14",100,Boat capsizes off Al Garbouli on August 31 2014,Central Mediterranean Route,AP,
72736,drowning,SZ,2014-08-30T00:00:00Z,3Q2014,2014 -- 8,2014,36,36,The Tunisian coast guard recovered the bodies of 36 migrants who drowned when their boat sank in the Mediterranean near the maritime border with Libya,34.1,Off Tunisia,12.3,"34.1, 12.3",0,Event off Tunisia,Central Mediterranean Route,Reuters,
56633,Drowned,,2014-08-29T00:00:00Z,3Q2014,2014 -- 8,2014,41,41,"A boat capsized off Zuwara. No other information is available, except that bodies have been washed ashore in nearby Tunisia and that many more have been sighted at sea.",33,"Off Zuwara, Libya",12.1,"33, 12.1",0,"Boat capsizes off Zuwara on August 20, 2014",Central Mediterranean Route,AFP,
63119,,,2014-08-27T00:00:00Z,3Q2014,2014 -- 8,2014,1,1,,52.314079,"Vluchtgarage center, Amsterdam",4.975107,"52.314079, 4.975107",0,Death of Nassir Guuleed in Amsterdam in August 2014,,Volkskrant,
56549,Drowned,,2014-08-24T00:00:00Z,3Q2014,2014 -- 8,2014,24,24,"A fishing boat carrying roughly 400 people capsized north of the Libyan coast in bad weather conditions. The Italian navy and coastguard, in a joint operation with a nearby merchant ship, rescued 364 people. 24 bodies have been recovered and more are feared dead.",33,north of the Libyan coast,13.1,"33, 13.1",0,Boat capsizes North of the Libyan coast on 24 August 2014,Central Mediterranean Route,UNHCR,
72738,unclear,SZ,2014-08-24T00:00:00Z,3Q2014,2014 -- 8,2014,18,18,"Eighteen people are found dead on an inflatable dinghy floating south of Lampedusa by the Italian navy, 73 are rescued",35.4,Off Lampedusa,12.6,"35.4, 12.6",0,Event off Lampedusa on 24.08.14,Central Mediterranean Route,AFP,
56520,,,2014-08-23T00:00:00Z,3Q2014,2014 -- 8,2014,18,18,The Italian Navy boat Sirio rescued a boat with 73 migrants and 18 corpses. They were disembarked at Pozzalo.,33.7,20 miles off the Libyan coast,14.05,"33.7, 14.05",0,"18 found dead on August 23, 2014",Central Mediterranean Route,Italian Navy,
56524,,,2014-08-22T00:00:00Z,3Q2014,2014 -- 8,2014,0,270,More than 250 migrants may have died when a boat sank a kilometre off the Libyan coast.,32.9,"1 km off the Garbuli, Libya",13.5,"32.9, 13.5",250,Boat sinks 1 kilometers off Libyan coats on 22 Aug 2014,Central Mediterranean Route,Thomson Reuters,
72740,burnt do death,SZ,2014-08-22T00:00:00Z,3Q2014,2014 -- 8,2014,1,1,Greece's coastguard recovered the body of a migrant who died when a vessel containing at least another 80 people caught fire and sank in the Aegean,36,"Off Tilos, Greece",27,"36, 27",0,"Event off Greece on Aug 22, 2014",Eastern Mediterranean Route,AFP,
56597,Asphyxiation due to vomiting,,2014-08-21T00:00:00Z,3Q2014,2014 -- 8,2014,1,1,An Algerian national died during his deportation. Policemen were present when he died but did not call for help.,48.9,On the way to Charles de Gaulle airport,2.4,"48.9, 2.4",0,Death of Abdelhak Goradia,,Rue89,
56101,,,2014-08-14T05:00:00Z,3Q2014,2014 -- 8,2014,1,1,One man found dead in container with 35 migrants.,51.46046,Tilbury Docks,0.344943,"51.46046, 0.344943",0,1 dead in container on Aug 16 2014,,Sky News,
55859,,,2014-08-02T05:00:00Z,3Q2014,2014 -- 8,2014,2,2,"The Italian navy talked of 2 bodies recovered on its Twitter feed, without giving any further details.",,Mediterranean - unknown details,,,0,"2 dead recovered on August 3, 2014",Central Mediterranean route,Italian Navy,
72742,drowning,SZ,2014-07-30T00:00:00Z,3Q2014,2014 -- 7,2014,150,150,"At least 150 migrants died when their boat sank off Libya's coast, two dozen people survived",32.857,Off Libya,14.306,"32.857, 14.306",0,"Event off Libya on Jul 30, 2014",Central Mediterranean Route,Libya Herals,
55669,Drowned,,2014-07-28T05:00:00Z,3Q2014,2014 -- 7,2014,20,128,A makeshift boat sank off the Libyan coast. 22 were rescued by the Libyan navy.,33.04,100 km east of Tripoli,12.23,"33.04, 12.23",108,"20 die in shipwreck on July 29, 2014",Central Mediteranean Route,AFP,
55995,Run over by a bus,,2014-07-22T05:00:00Z,3Q2014,2014 -- 7,2014,1,1,"Ahmed Abdallah, 16, crossed the channel hidden under a bus. When he tried to leave, he was crushed by the bus.",,,,,0,Run over by a bus,,Secours catholique,http://passeursdhospitalites.wordpress.com/2014/08/12/encore-un-gosse-mort-a-la-frontiere/
55520,"Stabbed, drowned",,2014-07-19T05:00:00Z,3Q2014,2014 -- 7,2014,29,129,"Survivors told investigators that a fight broke out as persons who were riding in the hold, suffocating from heat and a lack of oxygen, tried to climb on the upper deck. It is understood that the latch to the lower deck was forced shut and a ladder was removed. Conditions soon became unbearable with the intense heat emitted by the engine and the lack of oxygen and those below forced the door open and tried to climb onto the upper deck.",36.4,,13.1,"36.4, 13.1",100,"Brawl erupts on boat on July 20, 2014",Central Mediterranean Route,"ToM, Malta Independent",
72744,drowning,SZ,2014-07-19T00:00:00Z,3Q2014,2014 -- 7,2014,52,52,migrants are feared to have drowned during transfer to a Danish freighter from the rickety fishing boat,34,Off Libya/Malta,14,"34, 14",0,"Event off Libya on Jul 19, 2014",Central Mediterranean Route,Ansa,
55439,Asphixiation,,2014-07-18T05:00:00Z,3Q2014,2014 -- 7,2014,19,19,Killed by toxic fumes from the boat's engine.,35.9,148km from Lampedusa,12.37,"35.9, 12.37",0,"19 suffocate to death on boat on July 19, 2014",Central European Route,"BBC, Al Jazeera",
55429,Crushed in stampede,,2014-07-17T05:00:00Z,3Q2014,2014 -- 7,2014,10,10,"300 to 400 immigrants were in a boat that was taking in water. An Italian merchant ship that was in the area was requested to assist but 10 people or more, including a baby, died possibly in a stampede during the rescue. They were found dead in the vessel‚Äôs hold.",35.3,Off Malta,14.3,"35.3, 14.3",0,"10 die in rescue operation on July 18, 2014",Central Mediterranean Route,Times of Malta,
