"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Somalia","SOM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460000","","480","399","388","626","700","622","337","130","558","589","199","368","357","493","669","901","1842","1815","1937","2099","2309","2425","",
"Serbia","SRB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98997","97995","96739","86351","73608","70707","66370","57083","",
"Sub-Saharan Africa (developing only)","SSA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5641625","5008974","5234269","6155625","6490186","5743448","4131880","3279652","3138336","3316430","3413307","3070183","3058339","2836859","2730803","2561600","2412742","2295000","2124149","2089538","2195568","2699553","2835828","3005606","",
"South Sudan","SSD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105023","202581","229587","",
"Sub-Saharan Africa (all income levels)","SSF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5641625","5008974","5234269","6155625","6490186","5743448","4131880","3279652","3138336","3316430","3413307","3070183","3058339","2836859","2730803","2561600","2412742","2295000","2124149","2089538","2195568","2699553","2835828","3005606","",
"Small states","SST","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155229","182191","121301","116122","71403","63500","61808","60392","51989","75285","93731","90573","81093","80243","65752","43751","56047","56924","76599","74248","67765","62639","54891","53930","",
"Sao Tome and Principe","STP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","50","39","","","11","","","","","","","","","","1","1","1","1","","","","",
"Slovak Republic","SVK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1521","159","2339","1387","746","424","443","457","472","444","414","409","368","248","279","317","401","461","546","662","701","",
"Slovenia","SVN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74100","45000","29156","22314","10014","5135","3465","4382","2816","2411","390","2069","304","251","254","263","268","289","314","142","176","213","",
"Sweden","SWE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109663","124470","131073","162402","200791","199212","191171","186725","178795","159513","157220","146491","142193","112167","73408","74915","79913","75078","77038","81356","82629","86615","92872","114175","",
"Swaziland","SWZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42074","49569","55580","48889","643","712","575","592","592","616","690","690","653","686","704","760","752","789","775","759","759","759","505","507","",
"Sint Maarten (Dutch part)","SXM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","3","",
"Seychelles","SYC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284856","296256","309672","353392","366283","373530","375150","383906","391009","384856","390989","399599","408519","417508","437341","458137","1144572","1955236","1567595","1526575","1501442","1242391","975695","517255","",
"Turks and Caicos Islands","TCA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","",
"Chad","TCD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","109","100","100","302","8810","23478","17692","12950","33455","146400","259880","275412","286743","294017","330510","338495","347939","366494","373695","434479","",
"Togo","TGO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3477","3406","3353","3280","12370","10876","12589","12682","11816","12113","12223","12257","12294","12395","11285","9287","6328","1328","9377","8531","14051","19270","23540","20613","",
"Thailand","THA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99821","88164","63625","119232","100817","106565","107962","169154","138332","100133","104965","110711","112614","119053","121139","117053","133117","125643","112932","105297","96675","89253","84479","136499","",
"Tajikistan","TJK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","300","695","620","1166","2174","3634","4541","15364","15346","3437","3306","1834","1018","929","1133","1799","2679","3131","3323","2248","2048","",
"Turkmenistan","TKM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15400","15400","23323","15580","15787","14625","18464","14188","14005","13693","13511","13253","11963","750","125","79","60","62","59","46","45","",
"Timor-Leste","TLS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","3","3","1","1","1","1","","","","",
"Tonga","TON","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","3","",
"Trinidad and Tobago","TTO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","33","37","29","22","18","20","",
"Tunisia","TUN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","130","111","99","19","199","176","506","528","454","436","97","102","99","90","87","93","101","94","92","89","4097","1435","730","",
"Turkey","TUR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","30462","28477","23267","24927","12841","8166","2446","2528","2815","3103","3472","3301","2490","3033","2399","2633","6956","11103","10350","10032","14465","267063","609938","",
"Tuvalu","TUV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Taiwan, China","TWN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265184","288103","292148","564520","883250","829671","498732","570367","543881","622203","680862","646900","689373","649770","602088","548824","485295","435630","321909","118731","109286","131243","101021","102099","",
"Uganda","UGA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145718","162521","196290","286500","286500","229350","264294","188513","204545","218191","236622","199736","217302","230903","250482","257256","272007","228959","162132","127345","135801","139448","197877","220555","",
"Ukraine","UKR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5193","5193","3591","4564","6101","2697","2951","2983","2966","2877","2459","2346","2275","7277","7201","7334","3022","3176","2807","2968","",
"Upper middle income","UMC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6699555","6931396","7078457","5376311","5018287","4945703","4882901","4937003","4951923","4963886","4819111","4878645","4358747","3948322","4072154","3953208","4602581","4958058","4869671","4976382","4983696","4753345","5082608","5879018","",
"Uruguay","URY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","81","90","138","113","132","138","133","163","87","79","90","99","91","97","121","125","140","145","168","189","174","181","203","",
"United States","USA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","464887","513882","579952","623069","631051","623294","607024","563837","533969","521143","508222","515853","485171","452548","420854","379340","843498","281219","279548","275461","264574","264763","262023","263662","",
"Uzbekistan","UZB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000","8001","2627","2900","3159","1071","1014","38350","39579","44936","44682","44455","43950","1415","1054","821","555","311","214","176","141","",
"St. Vincent and the Grenadines","VCT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1720","1990","2221","2177","1613","1596","301","158","188","132","59","58","58","244","408","720","200907","201161","201313","201547","202022","203644","204340","",
"Virgin Islands (U.S.)","VIR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21150","20148","16263","5084","5000","34400","34400","15000","15000","15000","15945","15945","15945","15360","2360","2357","2357","2357","2357","2357","1928","990","","","",
"Vanuatu","VUT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","4","4","","2","2","",
"West Bank and Gaza","PSE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910637","968704","1026771","1084838","1142905","1200972","1249368","1308438","1348288","1384655","1428891","1483394","1532589","1587920","1634952","1685851","1739266","1793901","1836123","1885188","2015855","1895043","1944544","1994493","",
"World","WLD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19813209","19421342","20541628","19198115","18776307","18068728","16665220","15484459","15054242","15367240","15870654","15958783","14619749","13729244","13792790","13011934","14326132","15951787","15161623","15163210","15516350","15202525","","","",
"Samoa","WSM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2938","29977","59680","54450","48306","53453","53546","40964","61382","60477","60545","69468","82803","61881","66384","81937","95794","117363","140169","170854","190092","214740","237182","241288","",
"South Africa","ZAF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250000","91894","101408","22645","6819","8388","14538","15063","18605","23344","26558","27683","29714","35086","36736","43546","47974","57899","57899","65233","65881","",
"Congo, Dem. Rep.","COD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416435","482959","391127","572070","1724365","1433760","675973","297538","240214","285270","332509","362012","332978","234033","199323","204341","208371","177390","155162","185809","166336","152749","65109","113362","",
"Zambia","ZMB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138049","140676","142104","141126","141126","129965","131139","165072","168564","206386","250940","284173","246765","226697","173907","155718","120253","112931","83485","56785","47857","45632","25653","23594","",
"Zimbabwe","ZWE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190950","197627","237713","100482","2199","514","595","806","1655","2071","4127","8706","9432","12721","6884","13850","3519","3981","3468","3995","4435","4561","4356","6389","",
