"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Cuba","CUB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3988","","5092","3606","2002","1829","1694","1280","1067","967","954","1036","1005","836","795","706","667","615","525","454","411","384","371","384","",
"Curacao","CUW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","14","15","",
"Cayman Islands","CYM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","3","6","",
"Cyprus","CYP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","60","80","82","66","55","49","43","84","117","76","83","173","349","531","701","924","1194","1465","2888","3394","3503","3631","3883","",
"Czech Republic","CZE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691","9399","188","1186","2655","2266","1731","1805","1232","1186","1216","1297","1516","1144","1802","1887","2037","2110","2323","2449","2449","2805","3184","",
"Germany","DEU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","816000","821500","1236000","1418000","1354600","1267900","1266000","1049000","949200","975500","906000","903000","980000","960395","876622","700016","605406","578879","582735","593799","594269","571684","589737","187567","",
"Djibouti","DJI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77606","96144","28000","34065","33406","27310","25076","23590","23582","23271","23243","23176","21702","27034","18035","10456","9259","6651","9228","12111","15104","20340","19139","20015","",
"Dominica","DMA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32906","36110","39118","44564","49558","64844","66373","68122","69015","69006","71035","73284","73597","69858","65310","44374","36659","26788","23401","20355","17922","13399","11814","13170","",
"Dominican Republic","DOM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1966","1571","510","1331","1252","985","640","638","614","625","510","","","","","","","","","","599","595","758","721","",
"Algeria","DZA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169110","169124","219314","219067","219073","192489","190267","170746","165226","165249","169656","169422","169233","169033","169048","94101","94180","94137","94093","94137","94144","94148","94133","94150","",
"East Asia & Pacific (developing only)","EAP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","453346","429546","396348","424447","407428","446979","450724","490303","505076","628312","594198","551125","510300","449102","456067","464458","484364","472348","463586","485541","492004","488524","487137","547913","",
