"","Ca","pH"
"292",361.6,7.1
"293",824,7.1
"294",119.3,7.1
"295",522.7,7.1
"296",438,7.1
"297",311,7.1
"298",320.5,7.1
"299",296.5,7.1
"300",395.1,7.1
"301",301,7.1
"302",300.1,7.1
"303",520,7.1
"304",386.9,7.1
"305",299.3,7.1
"306",2251.1,7.1
"307",517.3,7.1
"308",643.2,7.1
"309",753.8,7.1
"310",317.9,7.1
"311",339.5,7.1
"312",462.6,7.1
"313",324.7,7.1
"314",638,7.2
"315",380,7.2
"316",426,7.2
"317",431,7.2
"318",391,7.2
"319",618,7.2
"320",288,7.2
"321",384,7.2
"322",451,7.2
"323",324,7.2
"324",311,7.2
"325",299,7.2
"326",476,7.2
"327",450,7.2
"328",387,7.2
"329",404,7.2
"330",406,7.2
"331",320,7.2
"332",426,7.2
"333",285,7.2
"334",329,7.2
"335",321,7.2
"336",600,7.2
"337",579.4,7.2
"338",582.1,7.2
"339",356.1,7.2
"340",408.4,7.2
"341",525.2,7.2
"342",382.7,7.2
"343",372.3,7.2
"344",360,7.2
"345",317.1,7.2
"346",355.4,7.2
"347",370.8,7.2
"348",411.3,7.2
"349",387.5,7.2
"350",390.6,7.2
"351",402.3,7.2
"352",441,7.2
"353",373.5,7.2
"354",372.9,7.2
"355",410.9,7.2
"356",418.9,7.2
"357",310.2,7.2
"358",469,7.2
"359",692.8,7.2
"360",373.5,7.2
"361",3045.1,7.2
"362",2383.1,7.2
"363",3880.1,7.2
"364",519.2,7.2
"365",546.4,7.2
"366",673,7.2
"367",494,7.2
"368",394.9,7.2
"369",355.1,7.2
"370",571,7.3
"371",557,7.3
"372",1423.5,7.3
"373",417,7.3
"374",318,7.3
"375",373.3,7.3
"376",336.3,7.3
"377",348,7.3
"378",347,7.3
"379",594.4,7.3
"380",531.7,7.3
"381",345.5,7.3
"382",407.9,7.3
"383",404.7,7.3
"384",410.1,7.3
"385",416.2,7.3
"386",376.6,7.3
"387",458.2,7.3
"388",519.4,7.3
"389",381.8,7.3
"390",341,7.3
"391",307.8,7.3
"392",325,7.3
"393",378.9,7.3
"394",415.4,7.3
"395",393.7,7.3
"396",100.7,7.3
"397",361.4,7.3
"398",428,7.3
"399",2851.1,7.3
"400",599.4,7.3
"401",711.2,7.3
"402",969.5,7.3
"403",543.5,7.3
"404",531.6,7.3
"405",375.6,7.3
"406",340.8,7.3
"407",510.7,7.3
"408",650.7,7.3
"409",528.6,7.3
"410",372.1,7.3
"411",571.5,7.4
"412",437.9,7.4
"413",566.3,7.4
"414",349.2,7.4
"415",354.4,7.4
"416",503.2,7.4
"417",530.5,7.4
"418",359.1,7.4
"419",360.5,7.4
"420",396,7.4
"421",387,7.4
"422",859.9,7.4
"423",543.3,7.4
"424",468,7.4
"425",448.8,7.5
"426",370,7.5
"427",502.1,7.5
"428",920.9,7.5
