pincode,lat,lon,place
400052,-0.16515426,0.33379412,"U P Nagar, Mumbai"
400052,-0.16515426,0.33379412,"Union Park, Mumbai"
400052,-0.16515426,0.33379412,"Vithalbhai Patel Road, Mumbai"
400052,-0.16515426,0.33379412,"Zhabwala Chowk, Mumbai"
400053,-0.16517682,0.33474207,"State Bank Colony, Mumbai"
400054,-0.165064,0.33401132,"Andrews Road, Mumbai"
400054,-0.165064,0.33401132,"Anjir Shopping Centre, Mumbai"
400054,-0.165064,0.33401132,"Arun Bazar, Mumbai"
400054,-0.165064,0.33401132,"Bajaj Wadi, Mumbai"
400054,-0.165064,0.33401132,"Beasant Street, Mumbai"
400054,-0.165064,0.33401132,"Bindu Shopping Center, Mumbai"
400054,-0.165064,0.33401132,"Birlawadi Juhu, Mumbai"
400054,-0.165064,0.33401132,"Bombay Collage Co Op Soty, Mumbai"
400054,-0.165064,0.33401132,"Bombay Flying Club, Mumbai"
400054,-0.165064,0.33401132,"Central Avenue, Mumbai"
400054,-0.165064,0.33401132,"Chapel Lane, Mumbai"
400054,-0.165064,0.33401132,"Chuna Bhatti, Mumbai"
400054,-0.165064,0.33401132,"Church Avenue, Mumbai"
400054,-0.165064,0.33401132,"Convent Avenue, Mumbai"
400054,-0.165064,0.33401132,"Cottage Lane, Mumbai"
400054,-0.165064,0.33401132,"Croft Lane, Mumbai"
400054,-0.165064,0.33401132,"Dadabhoy Cross Lane, Mumbai"
400054,-0.165064,0.33401132,"Dattatraya Road, Mumbai"
400054,-0.165064,0.33401132,"East Gross Lane, Mumbai"
400054,-0.165064,0.33401132,"Fabrican Industrial Estat, Mumbai"
400054,-0.165064,0.33401132,"Francis Avenue, Mumbai"
400054,-0.165064,0.33401132,"Gandhi Gram Road, Mumbai"
400054,-0.165064,0.33401132,"Gandhi Road, Mumbai"
400054,-0.165064,0.33401132,"Gazdar Scheme, Mumbai"
400054,-0.165064,0.33401132,"Ghatkopar Colony, Mumbai"
400054,-0.165064,0.33401132,"Gujar Lane, Mumbai"
400054,-0.165064,0.33401132,"Hansraj Wadi, Mumbai"
400054,-0.165064,0.33401132,"Indira Nagar, Mumbai"
400054,-0.165064,0.33401132,"Indranarayan Street, Mumbai"
400054,-0.165064,0.33401132,"Irish Park, Mumbai"
400054,-0.165064,0.33401132,"Kerala Nagar, Mumbai"
400054,-0.165064,0.33401132,"Main Avenue, Mumbai"
400054,-0.165064,0.33401132,"Meerabaug, Mumbai"
400054,-0.165064,0.33401132,"N V Marg Azad Rd Koliwada, Mumbai"
400054,-0.165064,0.33401132,"Navjivan Co-Op Hsg Soc, Mumbai"
400054,-0.165064,0.33401132,"North Avenue, Mumbai"
400054,-0.165064,0.33401132,"Old Police Lane, Mumbai"
400054,-0.165064,0.33401132,"Phirozshah Mehta Garden, Mumbai"
400054,-0.165064,0.33401132,"Phirozshah Road /Street, Mumbai"
400054,-0.165064,0.33401132,"Railway Quaraters Scruz, Mumbai"
400054,-0.165064,0.33401132,"Reserve Bank Quarters, Mumbai"
400054,-0.165064,0.33401132,"Rose Lands, Mumbai"
400054,-0.165064,0.33401132,"Ruia Park, Mumbai"
400054,-0.165064,0.33401132,"Saibaba Lane, Mumbai"
400054,-0.165064,0.33401132,"Sanraswat Co Op Hsg Socty, Mumbai"
400054,-0.165064,0.33401132,"Santacruz West, Mumbai"
400054,-0.165064,0.33401132,"Saraswat Colony Santacruz, Mumbai"
400054,-0.165064,0.33401132,"Saraswati Road, Mumbai"
400054,-0.165064,0.33401132,"Sarojini Naidu Road S Cru, Mumbai"
400054,-0.165064,0.33401132,"Senipuri Market, Mumbai"
400054,-0.165064,0.33401132,"Shahaji Raje Marg, Mumbai"
400054,-0.165064,0.33401132,"Sharadchandra Chatarji Ma, Mumbai"
400054,-0.165064,0.33401132,"Sharatchandra Chatterjee, Mumbai"
400054,-0.165064,0.33401132,"Shastri Nagar, Mumbai"
400054,-0.165064,0.33401132,"Shopping Centre Sai Bazar, Mumbai"
400054,-0.165064,0.33401132,"Shree Industrial Estate, Mumbai"
400054,-0.165064,0.33401132,"Smt Hiraben V Desai Marg, Mumbai"
400054,-0.165064,0.33401132,"St Alosous Road, Mumbai"
400054,-0.165064,0.33401132,"St Andrews Road, Mumbai"
400054,-0.165064,0.33401132,"St Joseph Avenue, Mumbai"
400054,-0.165064,0.33401132,"Station Road Santacruz, Mumbai"
400054,-0.165064,0.33401132,"Supper Bazar, Mumbai"
400054,-0.165064,0.33401132,"Swamivivekanda Rd, Mumbai"
400054,-0.165064,0.33401132,"Tagore Road, Mumbai"
400054,-0.165064,0.33401132,"Talmaki Road, Mumbai"
400054,-0.165064,0.33401132,"Tilak Road, Mumbai"
400054,-0.165064,0.33401132,"Upasana Lane, Mumbai"
400054,-0.165064,0.33401132,"Vaikunthbhai Mehta Marg, Mumbai"
400054,-0.165064,0.33401132,"Vallabhbhai Patel Road, Mumbai"
400054,-0.165064,0.33401132,"Veer Baji Prabhu Deshpand, Mumbai"
400054,-0.165064,0.33401132,"Vithalbhai Patel Road, Mumbai"
400054,-0.165064,0.33401132,"Vithaldasnagar, Mumbai"
400054,-0.165064,0.33401132,"Wellington Colony, Mumbai"
400054,-0.165064,0.33401132,"West Avenue, Mumbai"
400055,-0.16485895,0.33383012,"Ahmedabad Exp Hwy S.Cruz, Mumbai"
400055,-0.16485895,0.33383012,"Air View Building, Mumbai"
400055,-0.16485895,0.33383012,"Ajagarali Compound, Mumbai"
