,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
1986:Q3,24.70,29.34,41.90,81.78,81.76,43.39,14.67,40.54,33.01,21.88,14.34,28.89,112.49,51.37,22.05,24.52,47.33,25.74,30.21,39.43,9.86,,48.53,,
1986:Q4,24.81,29.86,43.00,83.30,81.64,44.15,15.41,41.30,33.54,22.60,14.15,29.29,113.63,51.08,22.53,24.76,48.56,26.31,31.21,40.19,9.93,,49.18,,
1987:Q1,25.08,30.38,44.09,83.64,80.71,40.89,16.08,42.28,34.04,23.66,14.03,28.60,115.39,50.91,22.53,25.20,47.05,27.71,32.30,40.90,10.27,,49.74,,
1987:Q2,25.40,30.46,45.60,86.69,80.63,40.95,17.05,42.00,34.70,24.57,13.69,29.31,117.89,50.55,23.12,25.35,50.89,29.14,33.14,41.47,10.71,,50.57,,
1987:Q3,25.97,30.83,46.95,88.30,80.75,40.75,18.06,43.93,35.48,25.41,14.23,30.37,122.60,51.56,23.80,25.42,50.08,30.57,34.07,41.91,11.09,,51.67,,
1987:Q4,27.03,31.20,48.23,89.29,81.15,40.39,19.27,45.80,36.35,26.99,14.60,31.09,124.94,54.37,24.63,25.77,50.70,32.04,35.75,42.33,11.61,,52.63,,
1988:Q1,28.21,31.77,48.74,93.51,81.88,40.77,20.41,47.00,37.36,28.61,14.95,31.33,125.93,56.88,25.56,25.90,51.66,32.81,37.22,42.93,12.03,,53.48,,
1988:Q2,29.81,32.88,49.55,97.43,82.47,40.69,21.52,50.27,38.36,30.20,14.93,29.88,126.99,59.27,26.61,26.42,51.40,33.85,38.86,43.74,12.29,,54.35,,
1988:Q3,32.84,33.43,51.39,100.40,83.10,41.54,22.47,53.01,39.44,33.65,15.98,30.76,128.05,61.66,27.75,26.91,51.67,34.08,41.06,44.14,12.75,,55.37,,
1988:Q4,35.90,33.76,52.93,108.67,83.88,41.88,23.67,58.71,40.59,35.87,15.75,32.92,129.69,62.05,29.00,27.19,51.45,34.34,42.64,44.71,13.20,,56.51,,
1989:Q1,38.88,35.49,54.63,109.21,84.98,41.39,25.18,61.10,41.96,37.22,15.71,37.71,132.18,64.67,30.67,27.64,50.38,35.03,44.79,45.18,13.60,,57.85,,
1989:Q2,39.59,36.68,57.43,112.51,85.66,41.41,26.55,65.15,43.10,38.47,16.34,40.65,134.61,68.68,32.00,28.08,49.06,35.49,46.93,45.77,14.23,,59.15,,
1989:Q3,39.79,37.45,57.55,113.44,86.17,40.76,27.89,67.53,44.20,39.05,16.67,41.72,137.38,69.48,33.26,28.76,46.98,36.16,48.53,46.65,14.75,,60.18,,
1989:Q4,39.71,38.80,58.81,115.81,86.62,40.13,28.91,66.06,45.25,38.56,17.86,44.15,141.56,70.76,34.44,29.02,46.46,36.84,49.50,47.18,15.08,,61.28,,
1990:Q1,39.97,40.47,61.29,114.94,86.11,38.28,30.34,66.51,46.20,38.27,18.51,47.59,147.83,74.69,35.70,28.94,45.84,37.45,51.92,47.42,15.71,,62.66,,
1990:Q2,40.28,40.36,63.29,112.30,86.55,38.32,31.02,67.67,47.11,37.87,19.15,50.10,152.95,78.89,36.78,29.36,45.55,37.96,52.87,47.60,16.43,,63.82,,
1990:Q3,40.13,41.11,61.11,112.25,87.06,37.54,31.61,66.01,47.91,37.77,19.20,51.39,158.99,81.48,37.73,28.78,44.60,38.24,53.69,47.78,16.82,,64.81,,
1990:Q4,40.11,42.04,60.29,110.54,87.75,37.26,32.42,64.22,48.66,37.59,18.94,52.94,162.61,85.51,38.56,28.69,42.88,38.20,53.67,47.73,17.15,,65.52,,
