"Country","Christian","Muslim","Unaffiliated","Hindu","Buddhist","Folk Religions","Other Religions","Jewish"
"Lebanon","1620000","2590000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Lesotho","2100000","< 10000","70000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Liberia","3430000","480000","60000","< 10000","< 10000","20000","< 10000","< 10000"
"Libya","170000","6140000","10000","< 10000","20000","< 10000","< 10000","< 10000"
"Liechtenstein","30000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Lithuania","2980000","< 10000","330000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Luxembourg","360000","10000","140000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Macau","40000","< 10000","80000","< 10000","90000","320000","< 10000","< 10000"
"Madagascar","17680000","620000","1440000","10000","< 10000","940000","20000","< 10000"
"Malawi","12320000","1930000","370000","< 10000","< 10000","260000","< 10000","< 10000"
"Malaysia","2670000","18100000","190000","1720000","5010000","650000","60000","< 10000"
"Maldives","< 10000","310000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Mali","490000","14200000","420000","< 10000","< 10000","250000","< 10000","< 10000"
"Malta","400000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Marshall Islands","50000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Martinique","390000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Mauritania","< 10000","3430000","< 10000","< 10000","< 10000","20000","< 10000","< 10000"
"Mauritius","330000","220000","< 10000","730000","< 10000","< 10000","< 10000","< 10000"
"Mayotte","< 10000","200000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Mexico","107910000","< 10000","5330000","< 10000","< 10000","70000","20000","70000"
"Moldova","3480000","20000","50000","< 10000","< 10000","< 10000","< 10000","20000"
"Monaco","30000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Mongolia","60000","90000","990000","< 10000","1520000","100000","< 10000","< 10000"
"Montenegro","490000","120000","20000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Montserrat","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Morocco","20000","31940000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Mozambique","13260000","4200000","4200000","< 10000","< 10000","1720000","< 10000","< 10000"
"Namibia","2230000","< 10000","40000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Nauru","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Nepal","140000","1370000","80000","24170000","3080000","1100000","20000","< 10000"
"Netherlands","8410000","1000000","6990000","80000","40000","30000","30000","30000"
"Netherlands Antilles","190000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"New Caledonia","210000","< 10000","30000","< 10000","< 10000","< 10000","< 10000","< 10000"
"New Zealand","2490000","50000","1600000","90000","70000","20000","30000","< 10000"
"Nicaragua","4970000","< 10000","730000","< 10000","< 10000","80000","< 10000","< 10000"
"Niger","120000","15270000","110000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Nigeria","78050000","77300000","680000","< 10000","10000","2290000","90000","< 10000"
"Niue","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"North Korea","480000","< 10000","17350000","< 10000","370000","3010000","3130000","< 10000"
"Northern Mariana Islands","50000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Norway","4140000","180000","490000","20000","30000","< 10000","10000","< 10000"
"Oman","180000","2390000","< 10000","150000","20000","< 10000","30000","< 10000"
"Pakistan","2750000","167410000","20000","3330000","20000","30000","20000","< 10000"
"Palau","20000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Palestinian territories","100000","3940000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Panama","3270000","30000","170000","< 10000","< 10000","20000","20000","10000"
"Papua New Guinea","6800000","< 10000","< 10000","< 10000","< 10000","30000","20000","< 10000"
"Paraguay","6250000","< 10000","70000","< 10000","< 10000","110000","10000","< 10000"
"Peru","27780000","< 10000","860000","< 10000","50000","290000","90000","< 10000"
"Philippines","86370000","5150000","90000","< 10000","80000","1430000","130000","< 10000"
"Poland","36100000","< 10000","2150000","< 10000","< 10000","< 10000","< 10000","10000"
"Portugal","10010000","60000","470000","10000","60000","50000","< 10000","< 10000"
"Puerto Rico","3630000","< 10000","70000","< 10000","10000","30000","< 10000","< 10000"
"Qatar","240000","1190000","20000","240000","50000","< 10000","10000","< 10000"
"Republic of Macedonia","1220000","810000","30000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Republic of the Congo","3470000","50000","360000","< 10000","< 10000","110000","40000","< 10000"
"Reunion","740000","40000","20000","40000","< 10000","< 10000","< 10000","< 10000"
"Romania","21380000","70000","20000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Russia","104750000","14290000","23180000","30000","170000","310000","< 10000","230000"
"Rwanda","9920000","190000","380000","< 10000","< 10000","100000","20000","< 10000"
"Samoa","180000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"San Marino","30000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Sao Tome and Principe","140000","< 10000","20000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Saudi Arabia","1200000","25520000","180000","310000","90000","70000","70000","< 10000"
"Senegal","450000","11980000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Serbia","7190000","330000","250000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Seychelles","80000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Sierra Leone","1230000","4580000","< 10000","< 10000","< 10000","50000","< 10000","< 10000"
"Singapore","920000","730000","830000","260000","1730000","120000","490000","< 10000"
"Slovakia","4660000","< 10000","780000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Slovenia","1590000","70000","370000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Solomon Islands","520000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Somalia","< 10000","9310000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"South Africa","40710000","860000","7450000","570000","100000","210000","170000","70000"
"South Korea","14170000","100000","22350000","< 10000","11050000","400000","110000","< 10000"
"South Sudan","6010000","610000","50000","< 10000","< 10000","3270000","< 10000","< 10000"
"Spain","36240000","980000","8740000","20000","< 10000","20000","10000","60000"
"Sri Lanka","1530000","2040000","< 10000","2830000","14450000","< 10000","< 10000","< 10000"
"St. Helena","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"St. Kitts and Nevis","50000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"St. Lucia","160000","< 10000","10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"St. Pierre and Miquelon","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"St. Vincent and the Grenadines","100000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Sudan","1810000","30490000","350000","< 10000","< 10000","950000","< 10000","< 10000"
"Suriname","270000","80000","30000","100000","< 10000","30000","< 10000","< 10000"
"Swaziland","1040000","< 10000","120000","< 10000","< 10000","10000","< 10000","< 10000"
"Sweden","6310000","430000","2540000","20000","40000","20000","20000","10000"
"Switzerland","6230000","420000","910000","30000","30000","< 10000","< 10000","20000"
"Syria","1060000","18930000","420000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Taiwan","1280000","10000","2950000","< 10000","4950000","10260000","3760000","< 10000"
"Tajikistan","110000","6650000","100000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Tanzania","27540000","15770000","650000","50000","< 10000","800000","30000","< 10000"
"Thailand","600000","3770000","190000","70000","64420000","60000","< 10000","< 10000"
"Timor-Leste","1120000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Togo","2640000","840000","370000","< 10000","< 10000","2150000","30000","< 10000"
"Tokelau","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Tonga","100000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Trinidad and Tobago","880000","80000","30000","300000","< 10000","30000","20000","< 10000"
"Tunisia","20000","10430000","20000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Turkey","320000","71330000","860000","< 10000","40000","20000","150000","20000"
"Turkmenistan","320000","4690000","30000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Turks and Caicos Islands","40000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Tuvalu","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Uganda","28980000","3840000","170000","100000","< 10000","290000","40000","< 10000"
"Ukraine","38100000","560000","6690000","10000","20000","< 10000","< 10000","50000"
"United Arab Emirates","940000","5780000","90000","490000","150000","< 10000","60000","< 10000"
"United Kingdom","44100000","2740000","13220000","800000","240000","160000","500000","280000"
"United States","243060000","2770000","50980000","1790000","3570000","630000","1900000","5690000"
"Uruguay","1950000","< 10000","1370000","< 10000","< 10000","30000","< 10000","< 10000"
"U.S. Virgin Islands","100000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Uzbekistan","630000","26550000","220000","< 10000","10000","10000","< 10000","10000"
"Vanuatu","220000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Vatican City","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Venezuela","25890000","90000","2900000","< 10000","< 10000","60000","20000","< 10000"
"Vietnam","7170000","160000","26040000","< 10000","14380000","39750000","350000","< 10000"
"Wallis and Futuna","10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Western Sahara","< 10000","530000","< 10000","< 10000","< 10000","< 10000","< 10000","< 10000"
"Yemen","40000","23830000","20000","150000","< 10000","< 10000","< 10000","< 10000"
"Zambia","12770000","70000","70000","10000","< 10000","40000","120000","< 10000"
"Zimbabwe","10930000","110000","990000","< 10000","< 10000","480000","40000","10000"
