date,latitude,longitude,depth,magnitude
1914-01-30T11:36:00.000Z,-35,-73,0,7.5
1914-02-26T12:58:00.000Z,-18,-67,130,7.2
1914-03-30T07:41:00.000Z,17,-92,150,7.2
1914-04-11T23:30:00.000Z,-12,163,50,7.2
1914-05-26T21:22:00.000Z,-2,137,0,7.9
1914-06-26T02:07:00.000Z,-4.5,102.5,0,7.6
1914-07-05T06:38:00.000Z,-5.5,129,200,7.1
1914-08-05T05:41:00.000Z,43.5,91.5,0,7.2
1914-10-04T00:22:00.000Z,16,-61,100,7.4
1914-10-04T05:06:00.000Z,37.5,32.5,0,7.1
1914-10-11T23:17:00.000Z,12,94,80,7.2
1914-10-23T13:18:00.000Z,6,132.5,0,7.6
1914-11-24T19:53:00.000Z,22,143,110,7.9
1915-01-05T22:33:00.000Z,-15,168,200,7.3
1915-01-06T07:26:00.000Z,25.1,123.3,150,7.3
1915-02-26T04:36:00.000Z,-20,180,600,7.1
1915-03-01T02:59:00.000Z,23.6,123.5,0,7.5
1915-03-18T01:45:00.000Z,42.1,143.6,35,7.2
1915-05-01T12:00:00.000Z,47.5,154.5,35,7.9
1915-06-07T04:29:00.000Z,-18.5,-68.5,160,7.3
1915-07-31T08:31:00.000Z,54,162,0,7.5
1915-08-06T20:12:00.000Z,43,150.5,0,7.1
1915-09-07T08:20:00.000Z,14,-89,80,7.4
1915-10-03T13:52:00.000Z,40.5,-117.5,0,7.6
1915-11-01T14:24:00.000Z,38.3,142.9,35,7.5
1915-11-21T08:13:00.000Z,32,-115,0,7.1
1916-01-01T21:20:00.000Z,-4,154,0,7.7
1916-01-13T14:18:00.000Z,-3,136,0,7.3
1916-01-13T16:20:00.000Z,-3,135.5,0,7.6
1916-01-24T14:55:00.000Z,41,37,0,7.2
1916-02-01T15:36:00.000Z,29.5,131.5,0,7.4
1916-02-07T05:51:00.000Z,48.5,178.5,0,7.5
1916-02-28T04:20:00.000Z,12,-90,0,7.3
1916-04-07T16:26:00.000Z,-30,55,0,7.2
1916-04-18T11:01:00.000Z,53.25,-170,170,7.4
1916-04-24T15:02:00.000Z,11,-85,0,7.2
1916-04-26T09:21:00.000Z,10,-85,0,7.1
1916-06-22T04:32:00.000Z,-28.5,-63,600,7.4
1916-07-08T16:34:00.000Z,-18,180,600,7.1
1916-08-03T08:30:00.000Z,-4,144.5,0,7.1
1916-08-28T13:39:00.000Z,30,81,0,7.2
1916-08-28T14:27:00.000Z,23.9,120.5,5,7.2
1916-09-11T13:30:00.000Z,-9,113,100,7.1
1916-09-15T14:01:00.000Z,34.4,141.2,35,7.1
1916-10-03T08:26:00.000Z,-14,-74.5,0,7.1
1916-10-31T22:30:00.000Z,45.4,154,0,7.6
1917-01-30T10:45:00.000Z,56.5,163,0,7.7
1917-02-21T03:29:00.000Z,19.5,-78.5,0,7.2
1917-04-21T07:49:00.000Z,37,70.5,220,7.1
1917-05-02T01:26:00.000Z,-29,-177,0,8.1
1917-05-31T15:47:00.000Z,54.5,-160,0,7.5
1917-06-26T12:49:00.000Z,-14.37,-173.35,0,8
1917-07-04T07:38:00.000Z,25,123,0,7.2
1917-07-30T04:52:00.000Z,-3.5,141,0,7.6
1917-07-31T06:54:00.000Z,29,104,0,7.3
1917-07-31T10:23:00.000Z,42,131,500,7.4
1917-08-30T11:07:00.000Z,-7.5,128,100,7.3
1917-08-31T18:36:00.000Z,4,-74,0,7.1
1917-11-04T20:03:00.000Z,4.8,96.8,0,7.1
1917-11-16T11:19:00.000Z,-29,-177.5,0,7.3
1917-12-30T06:50:00.000Z,15,-97,0,7.5
1918-01-31T05:18:00.000Z,45.447,136.741,330.4,7.4
1918-02-07T13:20:00.000Z,6.778,126.688,218.1,7.2
1918-02-13T14:07:00.000Z,23.54,117.243,15,7.2
1918-05-20T21:36:00.000Z,7.341,-34.802,15,7.1
1918-05-21T00:55:00.000Z,-28.899,-71.893,35,7.6
1918-05-22T13:30:00.000Z,-17.47,-176.486,35,7.1
1918-07-03T13:52:00.000Z,-3.471,143.217,35,7.2
