@lat	@lon	addr:housenumber
45.4901126	-73.5802254	1186
45.4910693	-73.5802684	1236
45.4906060	-73.5794358	1200
45.4879885	-73.5844965	4020
45.4879464	-73.5845824	4030
45.4876034	-73.5851574	4040
45.4871185	-73.5864370	21
45.4870463	-73.5862396	15
45.4870162	-73.5861280	11
45.4889177	-73.5847719	4000
45.4885686	-73.5841944	4023
45.4888033	-73.5848834	4004
45.4880452	-73.5857589	4036
45.4870764	-73.5867889	4120
45.4862219	-73.5875871	4192
45.4877744	-73.5859992	4050
45.4875760	-73.5862313	4084
45.4872389	-73.5866258	4112
45.4858032	-73.5866928	4172
45.4867660	-73.5850620	4100
45.4887564	-73.5841529	1200
45.4911285	-73.5788461	1920
45.4918043	-73.5791069	1901
45.4912026	-73.5798966	1967
45.4916299	-73.5793717	1921A
45.4921171	-73.5794846	1900
45.4920149	-73.5795962	1910
45.4914433	-73.5802399	1958
45.4921352	-73.5797335	1905
45.4923097	-73.5797335	1254
45.4924962	-73.5801455	1280
45.4919186	-73.5789610	1220
45.4921833	-73.5794073	1242
45.4919246	-73.5797335	1922
45.4916238	-73.5800682	1952
45.4920269	-73.5798966	1911
45.4916719	-73.5802742	1951
45.4919788	-73.5811583	1972
45.4926346	-73.5803686	1900
45.4869716	-73.5847732	4064
45.4873627	-73.5831682	1
45.4866106	-73.5830995	8
45.4866767	-73.5831939	9
45.4868873	-73.5832712	10
45.4870077	-73.5835630	14
45.4870619	-73.5836832	16
45.4871160	-73.5838462	17
45.4867730	-73.5845157	141
45.4849136	-73.5849878	1087
45.4849919	-73.5851938	1089
45.4855876	-73.5863439	1123
45.4856538	-73.5864555	1125
45.4872130	-73.5825042	5
45.4870619	-73.5845586	4054
45.4873025	-73.5841466	4034
45.4876034	-73.5835887	4020
45.4873868	-73.5840093	4030
45.4866948	-73.5842840	135
45.4862315	-73.5833742	51
45.4864300	-73.5841981	124
45.4866467	-73.5845930	136
45.4861292	-73.5831853	3
45.4862555	-73.5830223	1
45.4857320	-73.5838892	33
45.4849196	-73.5848505	75
45.4858524	-73.5837347	29
45.4860750	-73.5834772	21
45.4849738	-73.5856830	1192
45.4853469	-73.5863353	1120
45.4853108	-73.5858804	1109
45.4854913	-73.5861980	1119
45.4855394	-73.5856487	83
45.4862074	-73.5848419	19
45.4401993	-73.6224214	7573
45.4648091	-73.5676783	3900
45.4650439	-73.5672491	275
45.5133296	-73.5711048	3515
45.5136733	-73.5718008	3547
45.5140664	-73.5726410	3601
45.5155100	-73.5710370	170
45.5145848	-73.5687784	185
45.5141985	-73.5688395	157
45.5141192	-73.5692248	3420
45.5151250	-73.5713560	3564
45.5142797	-73.5707406	3510
45.5147175	-73.5716998	3558
45.5141597	-73.5708548	3508
45.5141072	-73.5707392	3506
45.5142342	-73.5706451	3504
45.5140938	-73.5703308	3484
45.5139897	-73.5701046	3470
45.5139615	-73.5713991	3550
45.5143092	-73.5721498	3580
45.5137469	-73.5709146	3522
45.5131495	-73.5696098	3426
45.5138227	-73.5707747	3495
45.5132365	-73.5695532	3425
45.5134349	-73.5692319	65
45.5151709	-73.5712023	3579
45.5141930	-73.5691467	3421
45.5129593	-73.5706027	3500
